Date,Time,Open,High,Low,Close,Volume
10/2/2019,10:03,220.65,220.72,220.4,220.43,93582
10/2/2019,10:04,220.43,220.79,220.34,220.79,107701
10/2/2019,10:05,220.76,220.89,220.62,220.74,137789
10/2/2019,10:06,220.7326,221.02,220.6094,220.9756,98608
10/2/2019,10:07,220.97,221.0044,220.78,220.95,72425
10/2/2019,10:08,220.95,221.13,220.93,220.97,113243
10/2/2019,10:09,220.94,220.94,220.57,220.6451,64500
10/2/2019,10:10,220.645,220.7,220.52,220.67,62339
10/2/2019,10:11,220.6721,220.93,220.67,220.815,77102
10/2/2019,10:12,220.82,220.9,220.61,220.8204,101011
10/2/2019,10:13,220.8337,221,220.8247,220.8676,70459
10/2/2019,10:14,220.88,220.96,220.6766,220.78,59591
10/2/2019,10:15,220.78,221.26,220.78,221.11,140998
10/2/2019,10:16,221.0996,221.1018,220.69,220.72,81172
10/2/2019,10:17,220.725,220.81,220.65,220.78,44854
10/2/2019,10:18,220.77,221.06,220.72,220.95,82520
10/2/2019,10:19,220.93,221.18,220.91,221.081,91674
10/2/2019,10:20,221.08,221.22,220.81,221.1,93818
10/2/2019,10:21,221.12,221.46,221.07,221.4093,116219
10/2/2019,10:22,221.41,221.43,221.19,221.19,101432
10/2/2019,10:23,221.17,221.245,221.06,221.135,37184
10/2/2019,10:24,221.145,221.15,220.78,220.79,81392
10/2/2019,10:25,220.78,220.8,220.62,220.6273,71337
10/2/2019,10:26,220.62,220.6849,220.53,220.6193,59622
10/2/2019,10:27,220.61,220.73,220.55,220.71,45921
10/2/2019,10:28,220.7,220.7,220.43,220.4439,82180
10/2/2019,10:29,220.43,220.6,220.37,220.4696,59676
10/2/2019,10:30,220.47,220.47,219.54,219.97,336300
10/2/2019,10:31,219.97,219.98,219.54,219.68,153652
10/2/2019,10:32,219.64,219.92,219.58,219.7,140469
10/2/2019,10:33,219.72,219.77,219.58,219.681,125569
10/2/2019,10:34,219.66,219.94,219.66,219.912,122875
10/2/2019,10:35,219.9207,220.14,219.84,219.9234,124782
10/2/2019,10:36,219.91,220.02,219.7501,219.96,50806
10/2/2019,10:37,219.95,220.002,219.68,219.88,68211
10/2/2019,10:38,219.88,220.08,219.82,219.89,54922
10/2/2019,10:39,219.8715,219.98,219.78,219.88,48853
10/2/2019,10:40,219.89,219.9307,219.55,219.71,164970
10/2/2019,10:41,219.73,219.765,219.36,219.6,132471
10/2/2019,10:42,219.6,219.89,219.5301,219.86,59901
10/2/2019,10:43,219.8523,219.8523,219.65,219.73,62863
10/2/2019,10:44,219.73,219.76,219.62,219.66,61612
10/2/2019,10:45,219.63,219.77,219.43,219.55,93688
10/2/2019,10:46,219.54,219.82,219.48,219.7199,138201
10/2/2019,10:47,219.7,219.84,219.48,219.58,113322
10/2/2019,10:48,219.57,219.68,219.54,219.59,91389
