ticker,curr_date,curr_time,p_ask_price,p_bid_price,p_value,p_volume,p_implied_volatility,p_ask_size,p_bid_size
CRM,10/9/2019,11:00,147.22,146.96,146.97,8884,0.1408,6701,2984
CRM,10/9/2019,11:01,147.01,146.8,146.83,4431,0.0985,1351,3169
CRM,10/9/2019,11:02,146.9,146.72,146.86,7901,0.0136,2740,846
CRM,10/9/2019,11:03,146.9956,146.86,146.98,1600,0.1375,1117,146
CRM,10/9/2019,11:04,147.03,146.9813,147.02,1511,0.0896,62,328
CRM,10/9/2019,11:05,147.03,146.96,146.98,2900,0.0865,2566,1566
CRM,10/9/2019,11:06,146.94,146.87,146.885,900,0.0152,850,409
CRM,10/9/2019,11:07,146.985,146.83,146.865,1754,0.2922,487,1320
CRM,10/9/2019,11:08,146.91,146.825,146.91,350,0.2952,171,159
CRM,10/9/2019,11:09,146.96,146.9054,146.94,1383,0.2424,1229,930
CRM,10/9/2019,11:10,146.95,146.93,146.93,300,0.1196,60,215
CRM,10/9/2019,11:11,146.93,146.85,146.93,2027,0.0039,559,62
CRM,10/9/2019,11:12,146.9041,146.82,146.82,2900,0.1945,1820,490
CRM,10/9/2019,11:13,146.82,146.715,146.715,2200,0.0646,603,854
CRM,10/9/2019,11:14,146.81,146.75,146.78,1500,0.1547,1456,483
CRM,10/9/2019,11:15,146.87,146.71,146.82,1700,0.0906,260,158
CRM,10/9/2019,11:16,146.79,146.73,146.76,5164,0.2401,2488,4211
CRM,10/9/2019,11:17,146.81,146.73,146.79,1961,0.2854,615,664
CRM,10/9/2019,11:18,146.95,146.78,146.95,2400,0.1108,572,52
CRM,10/9/2019,11:19,146.89,146.87,146.87,300,0.0186,117,246
CRM,10/9/2019,11:20,146.95,146.86,146.95,1900,0.0823,449,1162
CRM,10/9/2019,11:21,146.92,146.81,146.87,7361,0.2711,6059,3389
CRM,10/9/2019,11:22,146.91,146.88,146.91,600,0.0635,354,200
CRM,10/9/2019,11:23,146.962,146.8924,146.94,2717,0.1668,1202,2609
CRM,10/9/2019,11:24,146.93,146.84,146.84,2800,0.0948,1387,1426
CRM,10/9/2019,11:25,146.87,146.81,146.85,3900,0.0058,2181,3675
CRM,10/9/2019,11:26,146.81,146.76,146.8,900,0.0901,867,84
CRM,10/9/2019,11:27,146.81,146.7252,146.79,2287,0.1893,100,5
CRM,10/9/2019,11:28,146.73,146.68,146.68,1051,0.2151,909,302
CRM,10/9/2019,11:29,146.7,146.64,146.69,1301,0.0652,483,408
CRM,10/9/2019,11:30,146.79,146.73,146.75,1800,0.2051,1649,505
CRM,10/9/2019,11:31,146.85,146.79,146.85,507,0.0228,38,334
CRM,10/9/2019,11:32,146.93,146.86,146.92,4426,0.2762,2621,1052
CRM,10/9/2019,11:33,146.92,146.88,146.9,4153,0.1857,1802,3196
CRM,10/9/2019,11:34,146.96,146.91,146.95,3585,0.0896,1060,3043
CRM,10/9/2019,11:35,146.98,146.855,146.855,3045,0.1076,800,2093
CRM,10/9/2019,11:36,146.89,146.85,146.85,800,0.0600,350,177
CRM,10/9/2019,11:37,146.87,146.84,146.87,700,0.0125,696,98
CRM,10/9/2019,11:38,146.91,146.82,146.91,1206,0.0243,593,104
CRM,10/9/2019,11:39,146.98,146.86,146.86,1700,0.0837,1294,1390
CRM,10/9/2019,11:40,146.87,146.8,146.87,1100,0.1184,695,875
CRM,10/9/2019,11:41,146.95,146.87,146.95,1100,0.1391,311,421
CRM,10/9/2019,11:42,147.02,146.96,147.02,3096,0.2209,1228,2850
CRM,10/9/2019,11:43,147.02,146.96,147.02,1800,0.2253,1514,474
CRM,10/9/2019,11:44,147.005,146.98,147,2070,0.1728,1713,77
CRM,10/9/2019,11:45,147.15,147.05,147.15,4717,0.0823,83,1665
CRM,10/9/2019,11:46,147.28,147.13,147.24,6930,0.0461,5558,5488
CRM,10/9/2019,11:47,147.28,147.05,147.05,6279,0.1153,5375,2516
CRM,10/9/2019,11:48,147.19,146.96,147.165,3891,0.0955,2751,630
CRM,10/9/2019,11:49,147.21,147.13,147.17,1700,0.1042,1075,420
CRM,10/9/2019,11:50,147.23,147.15,147.21,6735,0.1104,6196,3701
CRM,10/9/2019,11:51,147.24,147.18,147.24,1196,0.0401,169,956
CRM,10/9/2019,11:52,147.2003,147.15,147.17,1200,0.2796,984,515
CRM,10/9/2019,11:53,147.2,147.11,147.19,911,0.1122,513,445
CRM,10/9/2019,11:54,147.19,147.15,147.19,700,0.1422,95,92
CRM,10/9/2019,11:55,147.21,147.13,147.14,1600,0.2639,1202,789
CRM,10/9/2019,11:56,147.18,147.11,147.11,2444,0.1741,757,1313
CRM,10/9/2019,11:57,147.19,147.1,147.19,1620,0.0957,1292,490
CRM,10/9/2019,11:58,147.22,147.16,147.22,2402,0.2753,1247,1878
CRM,10/9/2019,11:59,147.2,147.16,147.1672,2361,0.1929,1231,2232
CRM,10/9/2019,12:00,147.2,147.19,147.2,1000,0.1482,180,164
CRM,10/9/2019,12:01,147.24,147.22,147.24,4799,0.1321,2889,460
CRM,10/9/2019,12:02,147.22,147.16,147.2,2538,0.1212,1545,406
CRM,10/9/2019,12:03,147.18,147.13,147.16,1632,0.2653,537,1286
CRM,10/9/2019,12:04,147.2088,147.176,147.1772,1650,0.1310,1067,196
CRM,10/9/2019,12:05,147.21,147.16,147.2,2645,0.0038,1216,2611
CRM,10/9/2019,12:06,147.32,147.225,147.31,5503,0.0014,3191,1085
CRM,10/9/2019,12:07,147.305,147.21,147.28,1990,0.1160,1738,732
CRM,10/9/2019,12:08,147.32,147.25,147.27,1013,0.2953,771,719
CRM,10/9/2019,12:09,147.2793,147.18,147.2081,2308,0.1132,742,2034
CRM,10/9/2019,12:10,147.23,147.205,147.23,300,0.2881,5,126
CRM,10/9/2019,12:11,147.285,147.2361,147.285,1252,0.1183,438,484
CRM,10/9/2019,12:12,147.28,147.26,147.27,1052,0.0779,349,201
CRM,10/9/2019,12:13,147.32,147.26,147.32,1004,0.0629,930,883
CRM,10/9/2019,12:14,147.34,147.29,147.34,2694,0.2147,1745,795
CRM,10/9/2019,12:15,147.37,147.33,147.34,1590,0.2072,386,1224
CRM,10/9/2019,12:16,147.34,147.27,147.27,1676,0.2301,1263,149
CRM,10/9/2019,12:17,147.28,147.23,147.24,2201,0.0959,521,1925
CRM,10/9/2019,12:18,147.3,147.225,147.225,800,0.2618,607,58
CRM,10/9/2019,12:19,147.22,147.19,147.19,200,0.2179,20,162
CRM,10/9/2019,12:20,147.2655,147.21,147.24,1124,0.1476,338,137
CRM,10/9/2019,12:21,147.3,147.245,147.265,1950,0.0559,505,124
CRM,10/9/2019,12:22,147.3,147.285,147.2996,628,0.0575,515,166
CRM,10/9/2019,12:23,147.27,147.245,147.26,601,0.1777,8,128
CRM,10/9/2019,12:24,147.24,147.24,147.24,100,0.1314,39,79
CRM,10/9/2019,12:25,147.27,147.24,147.24,695,0.1201,467,262
CRM,10/9/2019,12:26,147.2575,147.21,147.21,2664,0.1503,2209,1777
CRM,10/9/2019,12:27,147.24,147.19,147.22,1740,0.2838,1402,636
CRM,10/9/2019,12:28,147.235,147.15,147.19,3649,0.2292,3380,2244
CRM,10/9/2019,12:29,147.25,147.1861,147.25,1166,0.1018,1109,613
CRM,10/9/2019,12:30,147.3,147.25,147.3,1200,0.1515,634,592
CRM,10/9/2019,12:31,147.31,147.3,147.31,300,0.2348,175,183
CRM,10/9/2019,12:32,147.345,147.3131,147.34,1508,0.2398,148,1204
CRM,10/9/2019,12:33,147.37,147.335,147.35,3001,0.0039,113,873
CRM,10/9/2019,12:34,147.375,147.32,147.32,4423,0.0536,2520,3234
CRM,10/9/2019,12:35,147.41,147.34,147.4,2121,0.1476,857,728
CRM,10/9/2019,12:36,147.38,147.37,147.37,200,0.2550,112,138
CRM,10/9/2019,12:37,147.37,147.35,147.37,300,0.1767,102,42
CRM,10/9/2019,12:38,147.3868,147.32,147.32,1309,0.0233,179,733
CRM,10/9/2019,12:39,147.36,147.35,147.35,300,0.2005,3,92
CRM,10/9/2019,12:40,147.36,147.34,147.36,1004,0.0128,491,367
CRM,10/9/2019,12:41,147.365,147.34,147.365,1002,0.0707,213,296
CRM,10/9/2019,12:42,147.4,147.35,147.35,1299,0.0690,1168,909
CRM,10/9/2019,12:43,147.38,147.34,147.36,700,0.1268,358,675
CRM,10/9/2019,12:44,147.384,147.36,147.375,939,0.0597,762,772
CRM,10/9/2019,12:45,147.33,147.31,147.31,1246,0.1618,725,748
CRM,10/9/2019,12:46,147.345,147.27,147.345,1471,0.1786,1120,115
CRM,10/9/2019,12:47,147.34,147.3,147.315,1001,0.0554,401,756
CRM,10/9/2019,12:48,147.31,147.28,147.28,1000,0.2868,711,866
CRM,10/9/2019,12:49,147.29,147.25,147.29,2107,0.0071,1942,446
CRM,10/9/2019,12:50,147.32,147.25,147.27,3213,0.2358,497,2417
CRM,10/9/2019,12:51,147.34,147.25,147.3,7752,0.1046,1010,7639
CRM,10/9/2019,12:52,147.35,147.26,147.26,5624,0.0049,470,613
CRM,10/9/2019,12:53,147.345,147.25,147.33,2050,0.0808,289,1388
CRM,10/9/2019,12:54,147.36,147.29,147.35,5183,0.0721,2367,4982
CRM,10/9/2019,12:55,147.36,147.31,147.36,2406,0.1292,964,1317
CRM,10/9/2019,12:56,147.47,147.34,147.39,54116,0.0652,24946,4854
CRM,10/9/2019,12:57,147.43,147.375,147.43,2721,0.0964,1625,2173
CRM,10/9/2019,12:58,147.45,147.39,147.39,3121,0.2787,2044,1407
CRM,10/9/2019,12:59,147.415,147.38,147.41,3412,0.0190,1399,2712
CRM,10/9/2019,13:00,147.6749,147.43,147.62,17581,0.0722,16898,10166
CRM,10/9/2019,13:01,147.61,147.55,147.55,3043,0.0026,1259,1936
