Date,Time,Open,High,Low,Close,Volume
2019-10-09,14:55,264.09,264.09,263.92,263.93,10610
2019-10-09,14:56,263.93,263.93,263.8896,263.89,4805
2019-10-09,14:57,263.9,263.93,263.88,263.88,925
2019-10-09,14:58,263.91,263.93,263.9,263.9,816
2019-10-09,14:59,263.9,263.96,263.9,263.96,1205
2019-10-09,15:00,263.93,263.96,263.9,263.93,2693
2019-10-09,15:01,263.98,264.03,263.9711,264.0148,4168
2019-10-09,15:02,264.04,264.13,264.0,264.07,11471
2019-10-09,15:03,264.02,264.05,264.0,264.02,2995
2019-10-09,15:04,264.02,264.05,264.01,264.0467,1734
2019-10-09,15:05,264.05,264.07,264.0,264.01,1800
2019-10-09,15:06,264.01,264.03,263.9875,263.99,3910
2019-10-09,15:07,264.0,264.05,264.0,264.05,4855
2019-10-09,15:08,264.06,264.07,264.03,264.0447,1956
2019-10-09,15:09,264.045,264.08,264.045,264.0789,2730
2019-10-09,15:10,264.05,264.08,264.0461,264.08,4395
2019-10-09,15:11,264.0881,264.0881,264.04,264.05,1925
2019-10-09,15:12,264.05,264.07,264.05,264.05,2000
2019-10-09,15:13,264.03,264.07,264.02,264.05,3080
2019-10-09,15:14,264.05,264.08,264.0,264.02,17944
2019-10-09,15:15,264.03,264.05,264.01,264.03,4212
2019-10-09,15:16,264.03,264.03,264.0,264.02,2405
2019-10-09,15:17,264.03,264.03,264.0,264.0,1300
2019-10-09,15:18,264.03,264.05,264.0,264.0,12300
2019-10-09,15:19,264.02,264.05,264.01,264.05,2570
2019-10-09,15:20,264.02,264.02,263.99,263.99,3643
2019-10-09,15:21,263.99,264.0,263.97,263.99,3708
2019-10-09,15:22,263.96,263.9899,263.955,263.98,2442
2019-10-09,15:23,263.98,264.03,263.97,264.03,3684
2019-10-09,15:24,264.0385,264.0503,264.0385,264.04,1596
2019-10-09,15:25,264.03,264.045,264.0,264.045,1700
2019-10-09,15:26,264.0,264.02,263.98,263.98,2900
2019-10-09,15:27,263.95,263.9883,263.95,263.95,982
2019-10-09,15:28,263.96,264.0342,263.96,264.01,2083
2019-10-09,15:29,264.0285,264.05,264.01,264.05,4704
2019-10-09,15:30,264.05,264.08,264.01,264.0582,3369
2019-10-09,15:31,264.06,264.12,264.06,264.1,1879
2019-10-09,15:32,264.11,264.17,264.11,264.1634,2300
2019-10-09,15:33,264.135,264.15,264.11,264.15,1100
2019-10-09,15:34,264.135,264.18,264.135,264.15,1312
2019-10-09,15:35,264.135,264.14,264.1041,264.1041,3650
2019-10-09,15:36,264.1,264.1501,264.1,264.1501,1490
2019-10-09,15:37,264.165,264.21,264.16,264.21,6233
2019-10-09,15:38,264.19,264.22,264.17,264.1962,2439
2019-10-09,15:39,264.2,264.24,264.18,264.22,3100
2019-10-09,15:40,264.205,264.205,264.1387,264.1387,3259
2019-10-09,15:41,264.15,264.16,264.15,264.15,1419
2019-10-09,15:42,264.14,264.2,264.13,264.2,5203
2019-10-09,15:43,264.2,264.2,263.5,263.88,134610
2019-10-09,15:44,263.84,263.8844,263.4142,263.42,31963
2019-10-09,15:45,263.4,263.68,263.38,263.64,20521
2019-10-09,15:46,263.65,263.67,263.44,263.4832,10696
2019-10-09,15:47,263.48,263.49,263.25,263.41,21637
2019-10-09,15:48,263.4,263.5,263.34,263.4597,23700
2019-10-09,15:49,263.4302,263.6,263.43,263.43,12155
2019-10-09,15:50,263.48,263.61,263.47,263.59,12177
2019-10-09,15:51,263.61,263.61,263.525,263.59,6430
2019-10-09,15:52,263.61,263.69,263.61,263.63,3400
2019-10-09,15:53,263.625,263.625,263.57,263.57,6100
2019-10-09,15:54,263.62,263.76,263.61,263.76,7356
2019-10-09,15:55,263.78,263.85,263.65,263.66,15003
2019-10-09,15:56,263.66,263.66,263.5,263.54,10309
2019-10-09,15:57,263.54,263.56,263.44,263.46,15548
2019-10-09,15:58,263.45,263.54,263.45,263.51,6073
2019-10-09,15:59,263.48,263.49,263.26,263.44,44604
2019-10-09,16:00,263.42,263.43,263.19,263.19,13668
2019-10-09,16:01,263.29,263.42,263.26,263.26,700
2019-10-09,16:02,263.33,263.33,263.29,263.3,2292
2019-10-09,16:05,263.39,263.39,263.39,263.39,700
2019-10-09,16:09,263.45,263.45,263.45,263.45,115
2019-10-09,16:10,263.48,263.49,263.48,263.49,2000
2019-10-09,16:14,263.45,263.45,263.45,263.45,100
2019-10-09,16:34,263.75,263.77,263.75,263.77,2000
2019-10-09,17:15,263.6,263.6,263.6,263.6,300
2019-10-09,18:00,263.65,263.8,263.65,263.78,2800
2019-10-09,18:15,263.67,263.67,263.67,263.67,200
2019-10-09,18:19,262.84,262.84,262.74,262.74,300
2019-10-09,18:20,262.53,262.53,261.64,261.64,1000
2019-10-09,18:21,261.0,261.0,260.92,260.92,900
2019-10-09,18:23,261.6,261.6,261.6,261.6,200
2019-10-09,18:24,261.64,261.64,261.62,261.62,200
2019-10-09,18:27,260.78,260.78,260.78,260.78,200
2019-10-09,18:28,260.76,260.76,260.76,260.76,100
2019-10-09,18:29,260.58,260.58,260.58,260.58,100
2019-10-09,18:30,260.62,260.62,260.62,260.62,100
2019-10-09,18:31,261.22,261.22,261.18,261.18,200
2019-10-09,18:33,261.22,261.22,261.1,261.12,800
2019-10-09,18:34,260.96,260.9999,260.95,260.95,4000
2019-10-09,18:35,260.74,260.74,260.68,260.68,400
2019-10-09,18:36,260.82,260.82,260.81,260.81,2100
2019-10-09,18:37,260.74,260.74,260.69,260.69,900
2019-10-09,18:38,260.69,260.69,260.56,260.56,2850
2019-10-09,18:40,260.6,260.6,260.36,260.36,2300
2019-10-09,18:41,260.34,260.36,260.34,260.36,2800
2019-10-09,18:42,260.74,260.74,260.74,260.74,1500
2019-10-09,18:45,260.68,260.68,260.68,260.68,300
2019-10-09,18:46,260.8,260.8,260.8,260.8,100
