Date,Time,Open,High,Low,Close,Volume
2019-10-08,09:34,44.7963,44.8,44.72,44.765,1800
2019-10-08,09:35,44.72,44.76,44.7,44.73,12063
2019-10-08,09:36,44.78,44.9,44.78,44.9,3313
2019-10-08,09:37,44.88,44.89,44.72,44.7314,2587
2019-10-08,09:38,44.745,44.88,44.738,44.8695,7130
2019-10-08,09:39,44.83,44.98,44.79,44.9369,10352
2019-10-08,09:40,44.91,44.96,44.8825,44.8825,3561
2019-10-08,09:41,44.8492,44.92,44.8492,44.905,2947
2019-10-08,09:42,44.88,45.04,44.81,45.04,23252
2019-10-08,09:43,44.96,45.003,44.96,45.003,1100
2019-10-08,09:44,44.993,45.05,44.95,45.028,9090
2019-10-08,09:45,45.02,45.025,45.0,45.005,1964
2019-10-08,09:46,44.985,45.0,44.73,44.75,28548
2019-10-08,09:47,44.75,44.82,44.75,44.7859,4645
2019-10-08,09:48,44.775,44.775,44.67,44.69,7398
2019-10-08,09:49,44.7,44.77,44.6636,44.76,17033
2019-10-08,09:50,44.75,44.76,44.67,44.76,15753
2019-10-08,09:51,44.75,44.75,44.73,44.7363,7789
2019-10-08,09:52,44.7,44.75,44.68,44.75,8282
2019-10-08,09:53,44.7295,44.75,44.7,44.71,8971
2019-10-08,09:54,44.7359,44.75,44.71,44.75,4176
2019-10-08,09:55,44.72,44.75,44.6964,44.75,27302
2019-10-08,09:56,44.745,44.746,44.68,44.69,10811
2019-10-08,09:57,44.67,44.69,44.61,44.6177,9677
2019-10-08,09:58,44.61,44.62,44.55,44.5974,4542
2019-10-08,09:59,44.6,44.6,44.5,44.56,13128
2019-10-08,10:00,44.59,44.7,44.5875,44.7,10456
2019-10-08,10:01,44.7,44.75,44.6,44.62,11111
2019-10-08,10:02,44.6,44.61,44.55,44.55,4770
2019-10-08,10:03,44.55,44.5669,44.53,44.55,3338
2019-10-08,10:04,44.5599,44.5805,44.53,44.53,6085
2019-10-08,10:05,44.53,44.5875,44.52,44.571,3420
2019-10-08,10:06,44.57,44.5708,44.5314,44.5549,5733
2019-10-08,10:07,44.59,44.66,44.54,44.58,2665
2019-10-08,10:08,44.5536,44.57,44.55,44.57,5445
2019-10-08,10:09,44.561,44.72,44.54,44.72,7613
2019-10-08,10:10,44.72,44.82,44.64,44.79,8644
2019-10-08,10:11,44.7401,44.88,44.7401,44.88,6142
2019-10-08,10:12,44.88,44.88,44.78,44.78,19684
2019-10-08,10:13,44.7724,44.8,44.7724,44.79,1350
2019-10-08,10:14,44.775,44.8,44.76,44.76,3143
2019-10-08,10:15,44.77,44.78,44.72,44.72,6014
2019-10-08,10:16,44.72,44.75,44.65,44.65,8209
2019-10-08,10:17,44.6629,44.72,44.628,44.7081,7350
2019-10-08,10:18,44.71,44.755,44.6799,44.6799,18115
2019-10-08,10:19,44.68,44.73,44.6733,44.73,2540
2019-10-08,10:20,44.68,44.74,44.67,44.74,3639
2019-10-08,10:21,44.75,44.75,44.74,44.74,1738
2019-10-08,10:22,44.7258,44.7258,44.67,44.7042,5997
2019-10-08,10:23,44.72,44.74,44.68,44.6884,3640
2019-10-08,10:24,44.69,44.74,44.69,44.72,3020
2019-10-08,10:25,44.7,44.7,44.67,44.6776,3053
