ticker,curr_date,curr_time,p_ask_price,p_bid_price,p_value,p_volume,p_implied_volatility,p_ask_size,p_bid_size
FB,9/26/2019,9:23,180.39,180.3501,180.39,400,0.3988,143,71
FB,9/26/2019,9:24,180.35,180.35,180.35,200,0.3985,153,73
FB,9/26/2019,9:25,180.33,180.33,180.33,100,0.0825,34,75
FB,9/26/2019,9:27,180.45,180.39,180.45,4103,0.2974,1955,1454
FB,9/26/2019,9:28,180.8,180.48,180.8,772,0.3304,112,427
FB,9/26/2019,9:29,181.32,180.8,181.31,5466,0.1763,4930,4777
FB,9/26/2019,9:30,181.4,180.57,180.6001,208792,0.1261,30875,138509
FB,9/26/2019,9:31,181.18,180.605,180.84,82276,0.0122,81277,81856
FB,9/26/2019,9:32,181.15,180.42,180.528,73277,0.1905,58277,7280
FB,9/26/2019,9:33,180.62,180.13,180.19,98428,0.2172,87591,77159
FB,9/26/2019,9:34,180.33,179.62,179.74,123415,0.2400,97084,9959
FB,9/26/2019,9:35,179.98,179.67,179.92,62045,0.1540,31491,23428
FB,9/26/2019,9:36,180.08,179.6,179.63,68468,0.3981,8293,33600
FB,9/26/2019,9:37,180,179.66,179.95,26039,0.0312,3122,8953
FB,9/26/2019,9:38,180.12,179.8405,179.96,39340,0.2165,35361,38106
FB,9/26/2019,9:39,180.05,179.8543,180.02,64579,0.3297,43680,38429
FB,9/26/2019,9:40,180.08,179.48,179.61,81902,0.3018,40527,2531
FB,9/26/2019,9:41,179.59,179.23,179.375,92214,0.0557,13870,90941
FB,9/26/2019,9:42,179.56,179.1,179.4602,61748,0.3159,7249,14783
FB,9/26/2019,9:43,179.63,179.3,179.5201,27504,0.3431,8172,10884
FB,9/26/2019,9:44,179.82,179.49,179.775,45867,0.1003,17865,35737
FB,9/26/2019,9:45,179.84,179.58,179.8167,49969,0.3899,43309,24871
FB,9/26/2019,9:46,179.88,179.58,179.67,44234,0.3748,5643,27929
FB,9/26/2019,9:47,179.6994,179.46,179.66,27573,0.0069,4155,12745
FB,9/26/2019,9:48,179.81,179.57,179.7989,34075,0.0284,22263,1886
FB,9/26/2019,9:49,180,179.75,179.98,44481,0.1397,17481,6351
FB,9/26/2019,9:50,180.04,179.81,179.86,28924,0.0279,11146,1537
FB,9/26/2019,9:51,180.015,179.83,179.93,50651,0.2360,14323,24649
FB,9/26/2019,9:52,180.11,179.75,179.75,56964,0.3377,24129,12612
FB,9/26/2019,9:53,179.76,179.56,179.6,24683,0.3291,1956,22650
FB,9/26/2019,9:54,179.72,179.46,179.58,60273,0.3034,39656,40040
FB,9/26/2019,9:55,179.81,179.37,179.4,47088,0.2998,15388,38137
FB,9/26/2019,9:56,179.5337,179.31,179.53,26668,0.2754,972,11749
FB,9/26/2019,9:57,179.56,179.43,179.44,17679,0.1650,10547,214
FB,9/26/2019,9:58,179.48,179.34,179.45,33014,0.1074,11307,20988
