Date,Time,Open,High,Low,Close,Volume
2019-10-09,11:55,8.53,8.54,8.52,8.52,42364
2019-10-09,11:56,8.52,8.53,8.52,8.525,12449
2019-10-09,11:57,8.5236,8.5299,8.52,8.525,10499
2019-10-09,11:58,8.525,8.525,8.51,8.515,32054
2019-10-09,11:59,8.515,8.52,8.505,8.505,22106
2019-10-09,12:00,8.51,8.52,8.51,8.515,20939
2019-10-09,12:01,8.51,8.51,8.5,8.5,33321
2019-10-09,12:02,8.5,8.505,8.495,8.5,33000
2019-10-09,12:03,8.5039,8.51,8.5,8.51,19904
2019-10-09,12:04,8.51,8.52,8.51,8.515,18129
2019-10-09,12:05,8.52,8.52,8.51,8.515,11417
2019-10-09,12:06,8.52,8.52,8.51,8.515,6544
2019-10-09,12:07,8.515,8.53,8.51,8.52,41253
2019-10-09,12:08,8.52,8.525,8.52,8.525,4892
2019-10-09,12:09,8.53,8.53,8.52,8.525,33838
2019-10-09,12:10,8.525,8.53,8.52,8.52,8324
2019-10-09,12:11,8.525,8.525,8.51,8.51,11998
2019-10-09,12:12,8.51,8.5156,8.51,8.51,9523
2019-10-09,12:13,8.51,8.515,8.51,8.51,4757
2019-10-09,12:14,8.51,8.52,8.51,8.515,28957
2019-10-09,12:15,8.52,8.52,8.51,8.52,10946
2019-10-09,12:16,8.52,8.53,8.515,8.5199,34810
2019-10-09,12:17,8.515,8.52,8.51,8.515,6046
2019-10-09,12:18,8.52,8.52,8.51,8.515,4274
2019-10-09,12:19,8.515,8.52,8.51,8.51,6657
2019-10-09,12:20,8.52,8.52,8.51,8.515,20715
2019-10-09,12:21,8.515,8.525,8.51,8.51,75540
2019-10-09,12:22,8.51,8.515,8.51,8.51,15398
2019-10-09,12:23,8.5135,8.52,8.5,8.505,20690
2019-10-09,12:24,8.505,8.51,8.5,8.5051,14005
2019-10-09,12:25,8.505,8.505,8.49,8.4975,24721
2019-10-09,12:26,8.49,8.497,8.49,8.49,31242
2019-10-09,12:27,8.49,8.4923,8.48,8.48,25007
2019-10-09,12:28,8.48,8.485,8.47,8.48,28021
2019-10-09,12:29,8.4742,8.48,8.47,8.475,7692
2019-10-09,12:30,8.475,8.485,8.47,8.47,88797
2019-10-09,12:31,8.475,8.48,8.47,8.47,6050
2019-10-09,12:32,8.475,8.48,8.47,8.475,10100
2019-10-09,12:33,8.475,8.48,8.47,8.4793,9711
2019-10-09,12:34,8.48,8.48,8.47,8.48,36484
2019-10-09,12:35,8.47,8.49,8.47,8.485,20044
2019-10-09,12:36,8.4865,8.4865,8.47,8.475,59725
2019-10-09,12:37,8.475,8.48,8.47,8.475,7413
2019-10-09,12:38,8.475,8.4784,8.47,8.47,14399
2019-10-09,12:39,8.475,8.48,8.47,8.475,5878
2019-10-09,12:40,8.475,8.48,8.47,8.47,3575
2019-10-09,12:41,8.475,8.515,8.47,8.505,395501
2019-10-09,12:42,8.505,8.52,8.5,8.5184,65173
2019-10-09,12:43,8.515,8.52,8.51,8.515,104735
2019-10-09,12:44,8.52,8.52,8.51,8.51,29683
2019-10-09,12:45,8.512,8.515,8.5,8.5,21411
2019-10-09,12:46,8.5,8.5,8.49,8.495,29572
2019-10-09,12:47,8.5,8.5,8.49,8.49,11722
2019-10-09,12:48,8.5,8.5,8.49,8.495,6004
2019-10-09,12:49,8.49,8.5,8.49,8.495,8741
2019-10-09,12:50,8.5,8.5,8.49,8.495,10307
2019-10-09,12:51,8.495,8.5,8.49,8.5,5584
2019-10-09,12:52,8.5,8.5,8.49,8.495,3790
2019-10-09,12:53,8.495,8.5,8.49,8.495,6118
2019-10-09,12:54,8.495,8.5,8.49,8.495,22338
2019-10-09,12:55,8.495,8.5,8.49,8.49,5994
2019-10-09,12:56,8.495,8.5,8.49,8.495,3274
2019-10-09,12:57,8.495,8.5,8.49,8.5,13069
2019-10-09,12:58,8.495,8.5,8.49,8.49,7540
2019-10-09,12:59,8.495,8.5,8.49,8.4966,8554
2019-10-09,13:00,8.495,8.53,8.495,8.525,61576
2019-10-09,13:01,8.525,8.53,8.52,8.52,100835
2019-10-09,13:02,8.525,8.525,8.51,8.51,55301
2019-10-09,13:03,8.515,8.52,8.51,8.51,33657
2019-10-09,13:04,8.515,8.515,8.5,8.5,20025
2019-10-09,13:05,8.5,8.5,8.49,8.5,66064
2019-10-09,13:06,8.5,8.505,8.49,8.505,23716
2019-10-09,13:07,8.505,8.51,8.5,8.5,4581
2019-10-09,13:08,8.5,8.5056,8.5,8.5,9585
2019-10-09,13:09,8.5,8.51,8.5,8.505,39549
2019-10-09,13:10,8.5059,8.5059,8.49,8.495,30244
2019-10-09,13:11,8.495,8.505,8.495,8.505,42755
2019-10-09,13:12,8.505,8.51,8.5,8.505,11744
2019-10-09,13:13,8.5,8.51,8.5,8.505,9936
2019-10-09,13:14,8.505,8.5099,8.5,8.505,4900
2019-10-09,13:15,8.505,8.51,8.5,8.505,9815
2019-10-09,13:16,8.5,8.51,8.5,8.51,15826
2019-10-09,13:17,8.505,8.51,8.5,8.5,106525
2019-10-09,13:18,8.505,8.51,8.5,8.5,10326
2019-10-09,13:19,8.5,8.505,8.5,8.505,2900
2019-10-09,13:20,8.5,8.51,8.5,8.505,6269
2019-10-09,13:21,8.5,8.515,8.5,8.515,27177
2019-10-09,13:22,8.515,8.515,8.51,8.51,7300
2019-10-09,13:23,8.515,8.52,8.51,8.5107,7851
2019-10-09,13:24,8.515,8.52,8.51,8.52,15036
2019-10-09,13:25,8.51,8.515,8.51,8.51,7563
2019-10-09,13:26,8.51,8.52,8.51,8.515,10163
2019-10-09,13:27,8.515,8.52,8.51,8.515,6302
2019-10-09,13:28,8.515,8.515,8.51,8.5144,2191
2019-10-09,13:29,8.52,8.53,8.515,8.52,211794
2019-10-09,13:30,8.52,8.53,8.515,8.525,17160
2019-10-09,13:31,8.525,8.54,8.52,8.535,31479
2019-10-09,13:32,8.54,8.55,8.54,8.545,56635
2019-10-09,13:33,8.55,8.55,8.54,8.545,112198
2019-10-09,13:34,8.54,8.545,8.54,8.54,33733
2019-10-09,13:35,8.545,8.5499,8.54,8.54,12031
2019-10-09,13:36,8.545,8.545,8.54,8.545,3308
2019-10-09,13:37,8.54,8.545,8.54,8.54,5081
2019-10-09,13:38,8.54,8.545,8.54,8.54,4400
2019-10-09,13:39,8.54,8.545,8.54,8.545,4029
