Date,Time,Open,High,Low,Close,Volume
2019-10-09,09:29,33.94,33.94,33.79,33.85,4920
2019-10-09,09:30,33.98,34.024,33.91,33.91,120824
2019-10-09,09:31,33.9,33.9,33.8,33.82,51452
2019-10-09,09:32,33.8111,33.8357,33.79,33.8,56578
2019-10-09,09:33,33.81,33.9,33.81,33.89,36775
2019-10-09,09:34,33.89,33.935,33.87,33.92,19322
2019-10-09,09:35,33.92,33.99,33.9,33.99,10950
2019-10-09,09:36,33.98,34.08,33.98,34.04,15224
2019-10-09,09:37,34.045,34.09,34.02,34.085,24867
2019-10-09,09:38,34.09,34.16,34.08,34.14,27221
2019-10-09,09:39,34.15,34.18,34.12,34.18,11342
2019-10-09,09:40,34.18,34.19,34.1081,34.15,25479
2019-10-09,09:41,34.16,34.18,34.13,34.13,25434
2019-10-09,09:42,34.12,34.12,34.04,34.05,8674
2019-10-09,09:43,34.04,34.09,34.04,34.065,4560
2019-10-09,09:44,34.05,34.06,33.9801,33.9995,19849
2019-10-09,09:45,34.01,34.13,34.01,34.11,63562
2019-10-09,09:46,34.12,34.15,34.12,34.15,11955
2019-10-09,09:47,34.145,34.18,34.11,34.17,33626
2019-10-09,09:48,34.18,34.2,34.13,34.19,37138
2019-10-09,09:49,34.19,34.19,34.1349,34.14,29418
2019-10-09,09:50,34.15,34.18,34.1143,34.15,36226
2019-10-09,09:51,34.16,34.2,34.13,34.14,46134
2019-10-09,09:52,34.14,34.175,34.095,34.1,17724
2019-10-09,09:53,34.09,34.091,34.035,34.05,18346
2019-10-09,09:54,34.05,34.0847,34.04,34.0452,14303
2019-10-09,09:55,34.04,34.08,34.04,34.06,9982
2019-10-09,09:56,34.06,34.08,34.055,34.08,5152
2019-10-09,09:57,34.085,34.105,34.08,34.1,16875
2019-10-09,09:58,34.1,34.1,34.07,34.09,11641
2019-10-09,09:59,34.1,34.13,34.095,34.13,6282
2019-10-09,10:00,34.12,34.12,34.095,34.12,9721
2019-10-09,10:01,34.12,34.125,34.04,34.085,14765
2019-10-09,10:02,34.08,34.11,34.08,34.1,6182
2019-10-09,10:03,34.09,34.1,34.085,34.095,3778
2019-10-09,10:04,34.095,34.105,34.0827,34.105,7112
2019-10-09,10:05,34.1,34.13,34.095,34.095,7472
2019-10-09,10:06,34.095,34.1,34.0536,34.06,11249
2019-10-09,10:07,34.07,34.07,34.05,34.065,3030
2019-10-09,10:08,34.06,34.06,34.0338,34.035,7214
2019-10-09,10:09,34.03,34.06,34.03,34.04,7861
2019-10-09,10:10,34.045,34.085,34.04,34.08,16886
2019-10-09,10:11,34.0801,34.085,34.07,34.085,3728
2019-10-09,10:12,34.09,34.095,34.075,34.085,4871
2019-10-09,10:13,34.085,34.1,34.08,34.095,14468
