ticker,curr_date,curr_time,p_ask_price,p_bid_price,p_value,p_volume,p_implied_volatility,p_ask_size,p_bid_size
GOOGL,9/19/2019,11:34,1241.2,1240.29,1240.57,1700,0.0153,320,12
GOOGL,9/19/2019,11:35,1241.2,1240.85,1240.98,600,0.0041,352,217
GOOGL,9/19/2019,11:36,1241.58,1241.17,1241.17,800,0.2953,502,475
GOOGL,9/19/2019,11:37,1241.61,1241.04,1241.61,1400,0.1086,556,752
GOOGL,9/19/2019,11:38,1241.225,1240.63,1240.946,1800,0.2617,1564,1349
GOOGL,9/19/2019,11:39,1241.2,1241.2,1241.2,100,0.2728,76,57
GOOGL,9/19/2019,11:40,1241.07,1240.9192,1240.935,650,0.1016,463,141
GOOGL,9/19/2019,11:41,1240.935,1240.6775,1240.77,1200,0.0788,428,908
GOOGL,9/19/2019,11:42,1240.36,1239.75,1239.75,1817,0.2178,443,927
GOOGL,9/19/2019,11:43,1239.66,1238.68,1238.68,800,0.1126,643,624
GOOGL,9/19/2019,11:44,1238.7536,1237.755,1238.1242,4361,0.1329,3884,1401
GOOGL,9/19/2019,11:45,1238.075,1237.4555,1238.075,1000,0.2125,664,482
GOOGL,9/19/2019,11:46,1238.56,1237.97,1238.56,1400,0.0258,973,63
GOOGL,9/19/2019,11:47,1238.55,1238.55,1238.55,100,0.0566,40,12
GOOGL,9/19/2019,11:48,1238.87,1238.67,1238.87,400,0.2947,51,248
GOOGL,9/19/2019,11:49,1238.97,1238.064,1238.064,625,0.0492,221,444
GOOGL,9/19/2019,11:50,1238.37,1238.05,1238.05,200,0.1296,100,167
GOOGL,9/19/2019,11:51,1237.7,1236.99,1237.08,700,0.0673,314,73
GOOGL,9/19/2019,11:52,1237.665,1237.665,1237.665,100,0.2205,7,84
GOOGL,9/19/2019,11:53,1238.0127,1237.71,1238.0127,1500,0.0397,1328,47
GOOGL,9/19/2019,11:55,1238.38,1237.98,1238.24,1400,0.2933,1056,1093
GOOGL,9/19/2019,11:56,1238.1,1237.5,1237.82,3100,0.1961,495,2983
