Date,Time,Open,High,Low,Close,Volume
2019-10-08,10:00,226.26,226.4014,226.19,226.4014,5030
2019-10-08,10:01,226.365,226.39,226.19,226.345,50922
2019-10-08,10:02,226.345,226.45,225.89,225.97,41931
2019-10-08,10:03,226.0,226.27,226.0,226.21,3317
2019-10-08,10:04,226.3,226.36,226.09,226.13,13435
2019-10-08,10:05,226.15,226.32,226.15,226.29,1136
2019-10-08,10:06,226.28,226.28,226.1,226.2222,3146
2019-10-08,10:07,226.2226,226.35,226.1841,226.35,3915
2019-10-08,10:08,226.34,226.39,226.3313,226.34,4739
2019-10-08,10:09,226.32,226.3999,226.185,226.33,3328
2019-10-08,10:10,226.29,226.4,226.26,226.32,4002
2019-10-08,10:11,226.28,226.28,226.04,226.06,3300
2019-10-08,10:12,226.15,226.3,226.15,226.3,3292
2019-10-08,10:13,226.32,226.48,226.32,226.3543,4265
2019-10-08,10:14,226.3778,226.55,226.35,226.525,3194
2019-10-08,10:15,226.5,226.5,226.385,226.385,2652
2019-10-08,10:16,226.39,226.49,226.38,226.41,4837
2019-10-08,10:17,226.44,226.6,226.41,226.57,5308
2019-10-08,10:18,226.57,226.66,226.5472,226.65,4846
2019-10-08,10:19,226.7257,226.8,226.71,226.8,1719
2019-10-08,10:20,226.7,226.8,226.68,226.755,3671
2019-10-08,10:21,226.7,226.78,226.6,226.6,7490
2019-10-08,10:22,226.555,226.555,226.41,226.5,3757
2019-10-08,10:23,226.49,226.49,226.3608,226.485,2875
2019-10-08,10:24,226.515,226.515,226.39,226.405,5392
2019-10-08,10:25,226.405,226.45,226.355,226.44,3716
2019-10-08,10:26,226.39,226.42,226.35,226.35,2511
2019-10-08,10:27,226.3,226.37,226.21,226.3,2471
2019-10-08,10:28,226.31,226.37,226.31,226.37,1355
2019-10-08,10:29,226.37,226.41,226.14,226.25,4031
2019-10-08,10:30,226.24,226.5,226.13,226.4569,1859
2019-10-08,10:31,226.39,226.44,226.22,226.22,1550
2019-10-08,10:32,226.25,226.25,226.12,226.155,2601
2019-10-08,10:33,226.13,226.13,225.92,225.95,7453
2019-10-08,10:34,225.88,225.955,225.84,225.92,7115
2019-10-08,10:35,225.92,226.3,225.92,226.27,10954
2019-10-08,10:36,226.27,226.31,226.14,226.25,10816
2019-10-08,10:37,226.2,226.31,226.2,226.21,3406
2019-10-08,10:38,226.33,226.4389,226.32,226.355,4003
2019-10-08,10:39,226.4,226.65,226.4,226.65,1300
2019-10-08,10:40,226.7,226.8507,226.67,226.8507,5177
2019-10-08,10:41,226.86,226.92,226.66,226.66,15472
2019-10-08,10:42,226.7,226.8368,226.64,226.8368,5266
2019-10-08,10:43,226.9,226.9,226.83,226.84,707
2019-10-08,10:44,226.93,226.945,226.73,226.7765,12954
2019-10-08,10:45,226.78,226.83,226.645,226.645,6184
2019-10-08,10:46,226.6,226.65,226.44,226.505,2738
2019-10-08,10:47,226.5286,226.5286,226.3569,226.3569,7047
2019-10-08,10:48,226.39,226.55,226.37,226.55,9160
2019-10-08,10:49,226.61,226.61,226.4005,226.41,3515
2019-10-08,10:50,226.4558,226.4558,226.39,226.39,2466
2019-10-08,10:51,226.42,226.5299,226.4,226.48,1334
2019-10-08,10:52,226.485,226.585,226.48,226.48,2791
2019-10-08,10:53,226.44,226.61,226.44,226.61,2250
2019-10-08,10:54,226.64,226.82,226.64,226.8028,1484
2019-10-08,10:55,226.87,227.54,226.87,227.47,6665
2019-10-08,10:56,227.4,227.5,227.27,227.27,5007
2019-10-08,10:57,227.235,227.33,227.15,227.205,7158
2019-10-08,10:58,227.27,227.34,227.1397,227.19,2850
2019-10-08,10:59,227.16,227.2809,227.101,227.19,6333
2019-10-08,11:00,227.25,227.2846,227.16,227.2,2909
2019-10-08,11:01,227.2477,227.28,227.04,227.04,3047
2019-10-08,11:02,227.08,227.1073,226.98,226.98,2936
2019-10-08,11:03,227.03,227.11,227.015,227.09,1100
2019-10-08,11:04,227.0775,227.15,226.98,227.135,17295
2019-10-08,11:05,227.175,227.2,227.07,227.115,2375
2019-10-08,11:06,227.07,227.15,227.04,227.135,2620
2019-10-08,11:07,227.12,227.12,227.06,227.07,3998
2019-10-08,11:08,227.08,227.11,226.94,226.97,7718
2019-10-08,11:09,227.02,227.055,227.0,227.03,2613
2019-10-08,11:10,226.96,227.0791,226.96,227.0791,1124
2019-10-08,11:11,227.02,227.04,226.94,227.0312,3065
2019-10-08,11:12,227.04,227.12,226.985,227.07,3099
2019-10-08,11:13,227.015,227.0507,226.99,226.99,2681
2019-10-08,11:14,226.99,227.103,226.93,227.06,2174
2019-10-08,11:15,227.06,227.1425,227.03,227.1425,1651
2019-10-08,11:16,227.195,227.23,227.16,227.23,2098
2019-10-08,11:17,227.27,227.28,227.16,227.16,4789
2019-10-08,11:18,227.17,227.17,227.03,227.03,2956
2019-10-08,11:19,227.046,227.046,226.94,226.99,1031
2019-10-08,11:20,226.94,226.96,226.76,226.76,5668
2019-10-08,11:21,226.83,226.8579,226.59,226.61,5083
2019-10-08,11:22,226.655,226.7,226.6,226.66,2386
2019-10-08,11:23,226.73,226.75,226.68,226.68,1796
2019-10-08,11:24,226.64,226.72,226.53,226.72,3675
2019-10-08,11:25,226.68,226.7339,226.66,226.66,2195
2019-10-08,11:26,226.64,226.64,226.58,226.615,1183
2019-10-08,11:27,226.58,226.72,226.57,226.72,3230
2019-10-08,11:28,226.74,226.77,226.64,226.64,1877
2019-10-08,11:29,226.65,226.68,226.55,226.585,3790
2019-10-08,11:30,226.64,226.64,226.42,226.42,4163
2019-10-08,11:31,226.39,226.49,226.38,226.47,2011
2019-10-08,11:32,226.45,226.63,226.43,226.55,3314
2019-10-08,11:33,226.51,226.51,226.16,226.4,6992
2019-10-08,11:34,226.311,226.325,226.26,226.26,2229
2019-10-08,11:35,226.24,226.54,226.24,226.49,3350
2019-10-08,11:36,226.51,226.57,226.51,226.5509,300
2019-10-08,11:37,226.59,226.66,226.52,226.62,3400
2019-10-08,11:38,226.69,226.75,226.69,226.75,600
2019-10-08,11:39,226.77,226.79,226.56,226.56,5573
2019-10-08,11:40,226.61,226.64,226.47,226.47,1642
2019-10-08,11:41,226.43,226.54,226.43,226.51,2002
2019-10-08,11:42,226.5,226.565,226.5,226.52,6158
2019-10-08,11:43,226.54,226.56,226.4,226.4,5100
2019-10-08,11:44,226.4658,226.515,226.36,226.41,2907
2019-10-08,11:45,226.49,226.57,226.49,226.565,5037
2019-10-08,11:46,226.51,226.59,226.5,226.57,6583
2019-10-08,11:47,226.57,226.59,226.4185,226.42,5137
2019-10-08,11:48,226.39,226.55,226.36,226.505,2528
2019-10-08,11:49,226.48,226.56,226.45,226.5543,1800
2019-10-08,11:50,226.53,226.58,226.485,226.5,3110
2019-10-08,11:51,226.515,226.63,226.5,226.52,4979
2019-10-08,11:52,226.52,226.565,226.5,226.5125,3475
2019-10-08,11:53,226.51,226.62,226.51,226.585,5747
2019-10-08,11:54,226.56,226.7,226.55,226.66,4137
2019-10-08,11:55,226.66,226.66,226.58,226.66,5600
2019-10-08,11:56,226.62,226.62,226.51,226.55,4299
2019-10-08,11:57,226.55,226.74,226.54,226.74,4779
2019-10-08,11:58,226.75,226.76,226.69,226.7228,5435
2019-10-08,11:59,226.75,226.75,226.62,226.62,1883
2019-10-08,12:00,226.71,226.74,226.63,226.68,2520
2019-10-08,12:01,226.64,226.7,226.53,226.67,16506
2019-10-08,12:02,226.665,226.755,226.65,226.72,2306
2019-10-08,12:03,226.8,226.8,226.71,226.71,3452
2019-10-08,12:04,226.71,226.71,226.7,226.7,700
2019-10-08,12:05,226.68,226.812,226.68,226.812,1450
2019-10-08,12:06,226.79,226.92,226.79,226.92,800
2019-10-08,12:07,226.925,226.94,226.8526,226.89,2796
2019-10-08,12:08,226.895,226.96,226.895,226.9306,1044
2019-10-08,12:09,226.99,227.08,226.93,226.95,5300
2019-10-08,12:10,226.97,226.99,226.91,226.91,1600
2019-10-08,12:11,226.935,226.98,226.92,226.97,10905
2019-10-08,12:12,226.99,227.12,226.98,226.98,51287
2019-10-08,12:13,227.0099,227.12,227.0099,227.09,1895
2019-10-08,12:14,227.12,227.3,227.11,227.29,2135
2019-10-08,12:15,227.27,227.31,227.26,227.265,1785
2019-10-08,12:16,227.235,227.25,227.21,227.225,700
2019-10-08,12:17,227.21,227.21,227.11,227.11,1601
2019-10-08,12:18,227.11,227.11,227.045,227.045,1500
2019-10-08,12:19,227.08,227.17,227.07,227.115,2703
2019-10-08,12:20,227.121,227.295,227.121,227.295,1400
2019-10-08,12:21,227.285,227.355,227.285,227.345,1625
2019-10-08,12:22,227.355,227.355,227.29,227.315,4333
2019-10-08,12:23,227.33,227.345,227.275,227.295,1912
2019-10-08,12:24,227.29,227.34,227.29,227.34,1796
