Date,Time,Open,High,Low,Close,Volume
9/26/2019,14:01,152.49,152.4925,152.34,152.35,193158
9/26/2019,14:02,152.35,152.41,152.34,152.4,26535
9/26/2019,14:03,152.4,152.4525,152.395,152.43,18735
9/26/2019,14:04,152.43,152.47,152.39,152.47,43314
9/26/2019,14:05,152.46,152.51,152.44,152.45,26252
9/26/2019,14:06,152.44,152.46,152.42,152.44,14060
9/26/2019,14:07,152.44,152.48,152.43,152.47,12857
9/26/2019,14:08,152.47,152.54,152.47,152.54,8481
9/26/2019,14:09,152.55,152.64,152.55,152.61,62229
9/26/2019,14:10,152.61,152.68,152.58,152.6,65041
9/26/2019,14:11,152.605,152.62,152.59,152.6085,46788
9/26/2019,14:12,152.59,152.65,152.59,152.59,55024
9/26/2019,14:13,152.58,152.62,152.58,152.6,24306
9/26/2019,14:14,152.61,152.66,152.61,152.645,17575
9/26/2019,14:15,152.64,152.665,152.64,152.66,44385
9/26/2019,14:16,152.66,152.79,152.66,152.7899,31013
9/26/2019,14:17,152.79,152.79,152.72,152.72,35098
9/26/2019,14:18,152.72,152.735,152.64,152.655,77914
9/26/2019,14:19,152.65,152.66,152.61,152.64,43546
9/26/2019,14:20,152.65,152.69,152.64,152.66,18018
9/26/2019,14:21,152.66,152.73,152.66,152.73,11239
9/26/2019,14:22,152.73,152.78,152.72,152.78,36007
9/26/2019,14:23,152.78,152.805,152.75,152.77,46397
9/26/2019,14:24,152.78,152.82,152.76,152.81,14026
9/26/2019,14:25,152.81,152.83,152.72,152.73,28004
9/26/2019,14:26,152.71,152.735,152.665,152.67,22261
9/26/2019,14:27,152.665,152.665,152.6,152.6,17322
9/26/2019,14:28,152.5906,152.65,152.58,152.59,14682
9/26/2019,14:29,152.59,152.62,152.58,152.58,4884
9/26/2019,14:30,152.59,152.63,152.585,152.6236,17691
9/26/2019,14:31,152.63,152.66,152.63,152.65,13135
9/26/2019,14:32,152.65,152.69,152.635,152.68,9402
9/26/2019,14:33,152.67,152.69,152.65,152.69,10517
9/26/2019,14:34,152.69,152.72,152.68,152.705,17683
9/26/2019,14:35,152.71,152.71,152.66,152.66,43334
9/26/2019,14:36,152.6649,152.69,152.6649,152.69,19602
9/26/2019,14:37,152.69,152.7,152.635,152.65,19889
9/26/2019,14:38,152.66,152.69,152.66,152.665,8249
9/26/2019,14:39,152.66,152.69,152.66,152.69,6303
9/26/2019,14:40,152.69,152.74,152.67,152.69,22466
9/26/2019,14:41,152.68,152.71,152.66,152.67,17756
9/26/2019,14:42,152.68,152.72,152.68,152.7,9684
9/26/2019,14:43,152.7,152.73,152.69,152.7,11782
9/26/2019,14:44,152.7,152.71,152.65,152.66,24596
9/26/2019,14:45,152.66,152.68,152.66,152.68,7446
9/26/2019,14:46,152.68,152.71,152.67,152.67,5893
9/26/2019,14:47,152.67,152.7,152.66,152.68,7593
9/26/2019,14:48,152.675,152.72,152.675,152.71,4061
9/26/2019,14:49,152.71,152.75,152.7,152.74,15669
9/26/2019,14:50,152.74,152.74,152.68,152.68,13751
9/26/2019,14:51,152.68,152.7,152.63,152.7,8378
9/26/2019,14:52,152.69,152.69,152.64,152.64,4381
