Date,Time,Open,High,Low,Close,Volume
2019-10-10,10:10,114.0282,114.13,113.96,113.96,27405
2019-10-10,10:11,113.95,114.0,113.93,113.99,11812
2019-10-10,10:12,113.99,113.99,113.9,113.93,13644
2019-10-10,10:13,113.9353,113.94,113.82,113.84,9988
2019-10-10,10:14,113.83,113.94,113.83,113.92,11619
2019-10-10,10:15,113.91,114.04,113.91,113.965,14408
2019-10-10,10:16,113.97,114.01,113.95,113.96,11013
2019-10-10,10:17,113.98,114.12,113.96,114.11,21930
2019-10-10,10:18,114.09,114.11,114.02,114.0872,13469
2019-10-10,10:19,114.09,114.14,114.0607,114.07,7769
2019-10-10,10:20,114.07,114.12,114.025,114.1,19037
2019-10-10,10:21,114.105,114.15,114.04,114.04,9025
2019-10-10,10:22,114.05,114.06,114.02,114.03,8398
2019-10-10,10:23,114.04,114.05,113.98,113.995,12430
2019-10-10,10:24,113.995,114.03,113.995,114.015,13524
2019-10-10,10:25,114.02,114.06,114.015,114.045,11191
2019-10-10,10:26,114.07,114.13,114.07,114.11,9897
2019-10-10,10:27,114.12,114.12,114.0664,114.1,15000
2019-10-10,10:28,114.11,114.15,114.07,114.14,31153
2019-10-10,10:29,114.145,114.23,114.12,114.23,26473
2019-10-10,10:30,114.24,114.29,114.2,114.22,28180
2019-10-10,10:31,114.22,114.25,114.17,114.17,26717
2019-10-10,10:32,114.15,114.22,114.145,114.1725,12850
2019-10-10,10:33,114.18,114.27,114.175,114.26,14689
2019-10-10,10:34,114.27,114.32,114.24,114.305,15885
2019-10-10,10:35,114.31,114.335,114.29,114.31,14619
2019-10-10,10:36,114.31,114.36,114.3,114.32,14699
2019-10-10,10:37,114.295,114.36,114.27,114.35,15770
2019-10-10,10:38,114.34,114.39,114.33,114.38,8546
2019-10-10,10:39,114.38,114.39,114.34,114.35,22595
2019-10-10,10:40,114.35,114.4,114.35,114.4,8567
2019-10-10,10:41,114.38,114.49,114.365,114.48,20918
2019-10-10,10:42,114.475,114.575,114.4749,114.54,63480
2019-10-10,10:43,114.53,114.59,114.505,114.54,27309
2019-10-10,10:44,114.53,114.595,114.53,114.585,11480
2019-10-10,10:45,114.595,114.64,114.55,114.59,24215
2019-10-10,10:46,114.6,114.62,114.57,114.59,18087
2019-10-10,10:47,114.58,114.59,114.53,114.53,16201
2019-10-10,10:48,114.54,114.56,114.4905,114.4977,14365
2019-10-10,10:49,114.505,114.54,114.49,114.5325,40184
2019-10-10,10:50,114.54,114.6,114.51,114.595,46840
2019-10-10,10:51,114.595,114.655,114.58,114.63,33775
2019-10-10,10:52,114.63,114.675,114.62,114.635,35686
2019-10-10,10:53,114.6358,114.695,114.63,114.6459,25706
2019-10-10,10:54,114.65,114.66,114.59,114.62,17941
2019-10-10,10:55,114.62,114.73,114.62,114.71,30622
2019-10-10,10:56,114.715,114.77,114.6842,114.755,26630
2019-10-10,10:57,114.75,114.785,114.72,114.74,17251
2019-10-10,10:58,114.745,114.75,114.688,114.745,34202
2019-10-10,10:59,114.75,114.84,114.75,114.84,19625
2019-10-10,11:00,114.85,114.86,114.77,114.775,15237
2019-10-10,11:01,114.77,114.8097,114.76,114.8097,20240
2019-10-10,11:02,114.81,114.84,114.805,114.83,19617
2019-10-10,11:03,114.82,114.86,114.785,114.785,12622
2019-10-10,11:04,114.78,114.81,114.75,114.755,20863
2019-10-10,11:05,114.76,114.83,114.74,114.83,16503
2019-10-10,11:06,114.84,114.9,114.8,114.805,18232
2019-10-10,11:07,114.805,114.81,114.77,114.81,17879
2019-10-10,11:08,114.81,114.89,114.805,114.87,12696
2019-10-10,11:09,114.87,114.95,114.87,114.895,26216
2019-10-10,11:10,114.89,114.95,114.855,114.95,28333
2019-10-10,11:11,114.96,114.99,114.935,114.98,17468
2019-10-10,11:12,114.98,114.985,114.93,114.94,20429
2019-10-10,11:13,114.94,115.0,114.92,115.0,120071
2019-10-10,11:14,114.995,115.04,114.98,114.98,46783
2019-10-10,11:15,114.99,115.02,114.96,115.015,31405
2019-10-10,11:16,115.02,115.02,114.865,114.865,21183
2019-10-10,11:17,114.87,114.94,114.84,114.94,18869
2019-10-10,11:18,114.95,114.9944,114.945,114.975,34484
2019-10-10,11:19,114.97,115.01,114.92,114.92,14885
2019-10-10,11:20,114.93,114.94,114.875,114.875,14097
2019-10-10,11:21,114.88,114.89,114.79,114.815,20612
2019-10-10,11:22,114.82,114.8489,114.77,114.78,19529
2019-10-10,11:23,114.78,114.88,114.775,114.87,12877
2019-10-10,11:24,114.87,114.875,114.825,114.875,9906
2019-10-10,11:25,114.88,114.89,114.77,114.805,21192
2019-10-10,11:26,114.805,114.83,114.78,114.82,13610
2019-10-10,11:27,114.82,114.8299,114.795,114.81,18850
