Date,Time,Open,High,Low,Close,Volume
2019-10-10,10:09,213.04,213.05,212.9,212.945,5661
2019-10-10,10:10,212.945,213.03,212.93,212.93,1600
2019-10-10,10:11,212.9416,212.9416,212.87,212.87,645
2019-10-10,10:12,212.9,212.9,212.8319,212.86,2081
2019-10-10,10:13,212.8,212.8,212.65,212.65,1621
2019-10-10,10:14,212.67,212.86,212.67,212.775,3008
2019-10-10,10:15,212.81,212.87,212.64,212.655,4729
2019-10-10,10:16,212.68,212.68,212.61,212.61,2700
2019-10-10,10:17,212.62,212.78,212.59,212.76,2049
2019-10-10,10:18,212.81,212.9557,212.81,212.9557,1873
2019-10-10,10:19,212.895,213.0,212.88,212.92,2349
2019-10-10,10:20,212.9399,212.9399,212.8745,212.92,401
2019-10-10,10:21,212.9535,212.9535,212.84,212.89,1542
2019-10-10,10:22,212.89,212.9,212.84,212.84,1523
2019-10-10,10:23,212.85,212.95,212.81,212.95,1100
2019-10-10,10:24,212.9068,213.0,212.9068,212.97,1450
2019-10-10,10:25,212.98,212.98,212.89,212.9,2621
2019-10-10,10:26,212.85,212.85,212.64,212.64,2200
2019-10-10,10:27,212.64,212.64,212.54,212.57,4447
2019-10-10,10:28,212.54,212.54,212.395,212.395,3785
2019-10-10,10:29,212.3949,212.435,212.35,212.42,1850
2019-10-10,10:30,212.46,212.4973,212.39,212.46,2289
2019-10-10,10:31,212.45,212.59,212.44,212.59,1803
2019-10-10,10:32,212.615,212.69,212.44,212.48,3462
2019-10-10,10:33,212.465,212.49,212.3897,212.49,3089
2019-10-10,10:34,212.53,212.62,212.53,212.6079,1181
2019-10-10,10:35,212.69,212.7472,212.625,212.7472,2354
2019-10-10,10:36,212.76,212.76,212.67,212.7,2168
2019-10-10,10:37,212.7,212.72,212.66,212.71,2850
2019-10-10,10:38,212.72,212.8,212.71,212.8,1558
2019-10-10,10:39,212.76,212.77,212.73,212.75,1300
2019-10-10,10:40,212.78,212.78,212.6,212.6,3484
2019-10-10,10:41,212.66,212.68,212.63,212.6533,3450
2019-10-10,10:42,212.66,212.7,212.66,212.67,1200
2019-10-10,10:43,212.67,212.82,212.67,212.81,2209
2019-10-10,10:44,212.82,212.9,212.81,212.86,950
2019-10-10,10:45,212.81,212.8385,212.79,212.79,1200
2019-10-10,10:46,212.72,212.755,212.72,212.755,547
2019-10-10,10:47,212.72,212.72,212.59,212.59,2888
2019-10-10,10:48,212.56,212.585,212.52,212.5657,951
2019-10-10,10:49,212.58,212.58,212.45,212.45,1950
2019-10-10,10:50,212.45,212.53,212.45,212.53,1853
2019-10-10,10:51,212.58,212.64,212.45,212.46,6721
2019-10-10,10:52,212.435,212.435,212.34,212.355,5888
2019-10-10,10:53,212.38,212.46,212.35,212.46,2225
2019-10-10,10:54,212.445,212.4553,212.385,212.4553,667
2019-10-10,10:55,212.435,212.45,212.39,212.39,2074
2019-10-10,10:56,212.39,212.43,212.35,212.38,5425
2019-10-10,10:57,212.37,212.47,212.37,212.44,2916
2019-10-10,10:58,212.46,212.46,212.38,212.41,1950
2019-10-10,10:59,212.46,212.5,212.44,212.5,1200
2019-10-10,11:00,212.52,212.53,212.5098,212.5098,1009
2019-10-10,11:01,212.55,212.641,212.525,212.641,1991
2019-10-10,11:02,212.635,212.67,212.59,212.61,4526
2019-10-10,11:03,212.6144,212.63,212.56,212.56,3175
2019-10-10,11:04,212.56,212.71,212.545,212.63,5095
2019-10-10,11:05,212.65,212.83,212.64,212.745,8425
2019-10-10,11:06,212.74,212.81,212.72,212.78,4122
2019-10-10,11:07,212.7923,212.83,212.69,212.7,1909
2019-10-10,11:08,212.7137,212.79,212.71,212.79,1532
2019-10-10,11:09,212.83,212.84,212.77,212.8221,1666
2019-10-10,11:10,212.83,212.97,212.83,212.93,4979
2019-10-10,11:11,212.88,212.95,212.88,212.9496,3384
2019-10-10,11:12,212.93,212.93,212.7308,212.79,2598
2019-10-10,11:13,212.85,212.93,212.85,212.93,1125
2019-10-10,11:14,212.9629,213.0,212.94,212.98,3135
2019-10-10,11:15,212.99,212.99,212.92,212.9681,1336
2019-10-10,11:16,212.93,212.9371,212.93,212.93,415
2019-10-10,11:17,212.94,212.94,212.9,212.9,700
2019-10-10,11:18,212.88,212.8805,212.85,212.87,603
2019-10-10,11:19,212.89,212.94,212.89,212.94,1670
2019-10-10,11:20,212.9645,212.9645,212.86,212.86,1707
2019-10-10,11:21,212.84,212.9883,212.84,212.9365,3007
2019-10-10,11:22,212.95,212.99,212.95,212.99,425
2019-10-10,11:23,212.95,212.98,212.94,212.98,704
2019-10-10,11:24,212.955,212.97,212.94,212.96,535
2019-10-10,11:25,212.96,212.98,212.91,212.91,2116
2019-10-10,11:26,212.94,213.012,212.935,213.012,818
2019-10-10,11:27,213.005,213.01,212.95,212.97,1509
2019-10-10,11:28,213.03,213.04,212.99,212.99,700
2019-10-10,11:29,212.97,213.0,212.71,212.84,28678
2019-10-10,11:30,212.795,212.89,212.77,212.89,5049
2019-10-10,11:31,212.89,212.89,212.72,212.76,2647
2019-10-10,11:32,212.76,212.86,212.76,212.8464,4276
2019-10-10,11:33,212.78,212.79,212.6507,212.6507,3188
2019-10-10,11:34,212.72,212.76,212.71,212.75,2852
2019-10-10,11:35,212.74,212.76,212.68,212.68,1727
2019-10-10,11:37,212.59,212.625,212.57,212.605,4667
2019-10-10,11:38,212.6,212.63,212.6,212.63,2185
2019-10-10,11:39,212.631,212.631,212.631,212.631,102
2019-10-10,11:40,212.65,212.65,212.5234,212.58,2437
2019-10-10,11:41,212.5,212.535,212.5,212.5,400
2019-10-10,11:42,212.53,212.55,212.52,212.52,902
2019-10-10,11:43,212.515,212.54,212.47,212.54,3220
2019-10-10,11:44,212.53,212.53,212.46,212.52,1100
2019-10-10,11:45,212.5,212.57,212.47,212.57,2385
2019-10-10,11:46,212.59,212.59,212.59,212.59,500
2019-10-10,11:47,212.6,212.6,212.54,212.5703,979
2019-10-10,11:48,212.559,212.68,212.5421,212.66,2143
2019-10-10,11:49,212.7,212.7,212.62,212.62,1800
2019-10-10,11:50,212.67,212.68,212.67,212.68,628
2019-10-10,11:51,212.61,212.66,212.61,212.6486,1008
2019-10-10,11:52,212.67,212.67,212.64,212.64,917
2019-10-10,11:53,212.59,212.62,212.59,212.62,300
2019-10-10,11:54,212.65,212.71,212.65,212.675,595
2019-10-10,11:55,212.675,212.73,212.675,212.72,3531
