Date,Time,Open,High,Low,Close,Volume
2019-10-16,15:45,140.14,140.2112,140.13,140.21,45643
2019-10-16,15:46,140.21,140.23,140.1846,140.21,30364
2019-10-16,15:47,140.205,140.27,140.205,140.26,32772
2019-10-16,15:48,140.26,140.28,140.245,140.27,28349
2019-10-16,15:49,140.28,140.29,140.21,140.23,32489
2019-10-16,15:50,140.23,140.28,140.22,140.265,47210
2019-10-16,15:51,140.265,140.27,140.25,140.255,34192
2019-10-16,15:52,140.255,140.33,140.235,140.305,114430
2019-10-16,15:53,140.3,140.31,140.26,140.29,43871
2019-10-16,15:54,140.29,140.38,140.26,140.37,120554
2019-10-16,15:55,140.365,140.38,140.24,140.25,124571
2019-10-16,15:56,140.26,140.3,140.245,140.255,72044
2019-10-16,15:57,140.26,140.41,140.25,140.34,200259
2019-10-16,15:58,140.35,140.43,140.335,140.37,122846
2019-10-16,15:59,140.36,140.51,140.31,140.48,373178
2019-10-16,16:00,140.41,140.41,140.37,140.37,2878864
2019-10-16,16:01,140.4,140.4164,140.4,140.4164,1220
2019-10-16,16:03,140.4,140.4,140.36,140.36,778
2019-10-16,16:05,140.42,140.42,140.37,140.37,200
2019-10-16,16:06,140.42,140.42,140.42,140.42,395
2019-10-16,16:07,140.38,140.44,140.37,140.44,2524
2019-10-16,16:08,140.41,140.41,140.41,140.41,199
2019-10-16,16:10,140.46,140.46,140.46,140.46,900
2019-10-16,16:11,140.48,140.49,140.4101,140.4101,3526
2019-10-16,16:12,140.5,140.51,140.49,140.5,2454
2019-10-16,16:13,140.41,140.5,140.41,140.5,8957
2019-10-16,16:14,140.55,140.59,140.55,140.59,480
2019-10-16,16:15,140.58,140.58,140.58,140.58,222
2019-10-16,16:16,140.54,140.54,140.54,140.54,112
2019-10-16,16:19,140.56,140.56,140.55,140.56,312
2019-10-16,16:20,140.55,140.55,140.55,140.55,128
2019-10-16,16:23,140.55,140.55,140.55,140.55,100
2019-10-16,16:25,140.55,140.55,140.51,140.51,1130
2019-10-16,16:27,140.51,140.51,140.51,140.51,790
2019-10-16,16:28,140.51,140.51,140.51,140.51,650
2019-10-16,16:30,140.41,140.51,140.41,140.51,84753
2019-10-16,16:32,140.45,140.45,140.45,140.45,100
2019-10-16,16:34,140.45,140.46,140.45,140.46,631
2019-10-16,16:36,140.5,140.5,140.5,140.5,300
2019-10-16,16:38,140.49,140.5,140.49,140.5,500
2019-10-16,16:39,140.5,140.5,140.41,140.41,30850
2019-10-16,16:41,140.51,140.51,140.5099,140.51,401
2019-10-16,16:42,140.45,140.4628,140.45,140.4628,262
2019-10-16,17:06,140.54,140.54,140.54,140.54,1180
2019-10-16,17:10,140.54,140.54,140.54,140.54,192
2019-10-16,17:13,140.54,140.55,140.54,140.55,458
2019-10-16,17:14,140.47,140.47,140.47,140.47,104
2019-10-16,17:15,140.48,140.48,140.48,140.48,200
2019-10-16,17:18,140.52,140.54,140.52,140.54,304
2019-10-16,17:21,140.54,140.54,140.54,140.54,200
2019-10-16,17:22,140.54,140.54,140.54,140.54,543
2019-10-16,17:25,140.54,140.54,140.54,140.54,100
2019-10-16,17:29,140.5,140.5,140.49,140.49,298
2019-10-16,17:38,140.54,140.54,140.54,140.54,126
2019-10-16,17:39,140.52,140.52,140.52,140.52,100
2019-10-16,17:47,140.5,140.5,140.5,140.5,658
2019-10-16,18:02,140.5,140.5,140.5,140.5,317
2019-10-16,18:06,140.53,140.53,140.53,140.53,107
2019-10-16,18:07,140.54,140.55,140.54,140.55,2893
2019-10-16,18:10,140.51,140.51,140.51,140.51,500
2019-10-16,18:11,140.54,140.54,140.54,140.54,500
2019-10-16,18:13,140.53,140.53,140.53,140.53,110
2019-10-16,18:14,140.51,140.51,140.5,140.5,1117
2019-10-16,18:23,140.55,140.55,140.55,140.55,100
2019-10-16,18:24,140.46,140.46,140.46,140.46,370
2019-10-16,18:28,140.46,140.46,140.45,140.45,375
2019-10-16,18:34,140.42,140.42,140.42,140.42,233
2019-10-16,18:45,140.42,140.42,140.4,140.4,335
