Date,Time,Open,High,Low,Close,Volume
9/26/2019,12:08,262.15,262.15,261.78,262.0654,8780
9/26/2019,12:09,262.1,262.24,261.86,261.89,10378
9/26/2019,12:10,261.89,262.08,261.8101,262.04,6188
9/26/2019,12:11,261.9945,262.11,261.81,262.07,9983
9/26/2019,12:12,262.07,262.3,262.01,262.13,22344
9/26/2019,12:13,262.13,262.475,262.13,262.4725,7493
9/26/2019,12:14,262.435,262.73,262.37,262.6283,16129
9/26/2019,12:15,262.6638,263.08,262.6638,263,17942
9/26/2019,12:16,263.02,263.09,262.9,262.955,10518
9/26/2019,12:17,262.985,263.35,262.93,263.1636,21084
9/26/2019,12:18,263.13,263.31,263.06,263.06,10196
9/26/2019,12:19,263.13,263.24,262.98,263.1965,10023
9/26/2019,12:20,263.22,263.24,263.07,263.1463,3995
9/26/2019,12:21,263.1,263.1,262.7401,262.96,17525
9/26/2019,12:22,263.03,263.05,262.5805,262.75,9994
9/26/2019,12:23,262.792,262.99,262.77,262.9,6749
9/26/2019,12:24,262.93,262.97,262.8,262.81,12452
9/26/2019,12:25,262.83,262.85,262.57,262.57,6141
9/26/2019,12:26,262.65,263.05,262.6,262.99,10768
9/26/2019,12:27,262.9,263.34,262.8899,263.21,11092
9/26/2019,12:28,263.2165,263.4099,263.02,263.4095,12602
9/26/2019,12:29,263.4,263.46,263.3,263.4499,7516
9/26/2019,12:30,263.42,263.43,263.264,263.264,6590
9/26/2019,12:31,263.37,263.4,263.16,263.16,2700
9/26/2019,12:32,263.189,263.19,262.83,263.19,6718
9/26/2019,12:33,263.09,263.42,263.06,263.42,15281
9/26/2019,12:34,263.34,263.35,263.18,263.18,6828
9/26/2019,12:35,263.18,263.1899,262.9186,263.01,10792
9/26/2019,12:36,262.93,263.22,262.84,262.84,14360
9/26/2019,12:37,262.74,262.888,262.74,262.8,1260
9/26/2019,12:38,262.77,262.9,262.57,262.775,5205
9/26/2019,12:39,262.781,263.06,262.7,262.94,5171
9/26/2019,12:40,263.04,263.05,262.85,262.865,3151
9/26/2019,12:41,262.8581,263.11,262.8581,262.96,9362
9/26/2019,12:42,262.86,263.05,262.84,262.95,1954
9/26/2019,12:43,262.87,262.9243,262.73,262.87,2725
9/26/2019,12:44,262.84,262.8899,262.64,262.67,1800
9/26/2019,12:45,262.715,262.78,262.45,262.705,15093
9/26/2019,12:46,262.76,263.11,262.7367,263.0496,5581
9/26/2019,12:47,263.045,263.08,262.93,263.0699,4790
9/26/2019,12:48,262.99,263.2,262.92,262.94,8409
9/26/2019,12:49,262.95,263.15,262.83,262.96,11900
9/26/2019,12:50,262.9868,263.08,262.8,262.86,8944
9/26/2019,12:51,262.95,263.21,262.95,263.07,6490
9/26/2019,12:52,263.15,263.41,263.01,263.24,8000
9/26/2019,12:53,263.29,263.35,263.03,263.0601,18427
9/26/2019,12:54,263.03,263.03,262.87,262.945,13218
9/26/2019,12:55,262.945,263.05,262.81,262.89,8884
9/26/2019,12:56,262.9,263.04,262.7016,262.7016,11051
9/26/2019,12:57,262.68,262.8615,262.6631,262.79,12256
9/26/2019,12:58,262.74,262.8187,262.57,262.58,4579
9/26/2019,12:59,262.59,262.65,262.5,262.65,4492
9/26/2019,13:00,262.67,262.68,262.4,262.45,5798
9/26/2019,13:01,262.42,262.61,262.4,262.6,3000
9/26/2019,13:02,262.66,262.6955,262.581,262.6955,1100
9/26/2019,13:03,262.64,262.75,262.64,262.691,3610
9/26/2019,13:04,262.78,262.94,262.78,262.935,8650
9/26/2019,13:05,262.919,263.08,262.919,262.98,6762
9/26/2019,13:06,263,263.09,262.98,263.0445,2426
9/26/2019,13:07,263.1,263.39,263.1,263.27,8026
9/26/2019,13:08,263.27,263.27,262.99,263,8144
