Date,Time,Open,High,Low,Close,Volume
2019-10-08,14:43,92.5,92.53,92.48,92.5,2126
2019-10-08,14:44,92.51,92.52,92.49,92.505,4056
2019-10-08,14:45,92.5,92.525,92.475,92.525,6948
2019-10-08,14:46,92.54,92.54,92.49,92.5,7108
2019-10-08,14:47,92.51,92.605,92.51,92.6,6012
2019-10-08,14:48,92.64,92.68,92.601,92.68,7100
2019-10-08,14:49,92.68,92.68,92.61,92.653,5452
2019-10-08,14:50,92.67,92.71,92.6,92.6282,5980
2019-10-08,14:51,92.62,92.62,92.57,92.58,3100
2019-10-08,14:52,92.58,92.6,92.55,92.56,5530
2019-10-08,14:53,92.55,92.56,92.51,92.53,3760
2019-10-08,14:54,92.5293,92.54,92.47,92.475,4448
2019-10-08,14:55,92.475,92.58,92.43,92.58,10050
2019-10-08,14:56,92.58,92.608,92.58,92.58,4943
2019-10-08,14:57,92.58,92.6,91.98,92.09,88909
2019-10-08,14:58,92.07,92.53,92.05,92.31,25552
2019-10-08,14:59,92.32,92.39,92.2301,92.35,13826
2019-10-08,15:00,92.34,92.53,92.34,92.5,17589
2019-10-08,15:01,92.49,92.53,92.39,92.4,3124
2019-10-08,15:02,92.4257,92.435,92.34,92.35,6425
2019-10-08,15:03,92.32,92.32,92.2287,92.2287,8347
2019-10-08,15:04,92.2075,92.28,92.2075,92.2575,10872
2019-10-08,15:05,92.27,92.38,92.265,92.275,6034
2019-10-08,15:06,92.27,92.29,92.17,92.17,10587
2019-10-08,15:07,92.185,92.3,92.185,92.3,5672
2019-10-08,15:08,92.285,92.3558,92.27,92.315,15493
2019-10-08,15:09,92.315,92.33,92.25,92.25,4418
2019-10-08,15:10,92.265,92.265,92.11,92.14,7882
2019-10-08,15:11,92.13,92.17,92.09,92.17,4902
2019-10-08,15:12,92.2282,92.2282,92.07,92.09,9124
2019-10-08,15:13,92.09,92.145,92.065,92.1401,5201
2019-10-08,15:14,92.12,92.15,92.0972,92.1,2978
2019-10-08,15:15,92.1,92.11,92.0519,92.07,3706
2019-10-08,15:16,92.07,92.1,92.0342,92.1,8973
2019-10-08,15:17,92.11,92.16,92.1061,92.135,3974
2019-10-08,15:18,92.13,92.17,92.11,92.17,4002
2019-10-08,15:19,92.19,92.2399,92.19,92.2,6657
2019-10-08,15:20,92.22,92.33,92.18,92.3,14167
2019-10-08,15:21,92.32,92.33,92.275,92.29,6484
2019-10-08,15:22,92.28,92.29,92.235,92.235,10029
2019-10-08,15:23,92.24,92.31,92.2,92.27,8194
2019-10-08,15:24,92.27,92.28,92.235,92.235,4212
