ticker,curr_date,curr_time,p_ask_price,p_bid_price,p_value,p_volume,p_implied_volatility,p_ask_size,p_bid_size
SPX,9/20/2019,13:29,2996.5,2995.29,2996.43,0,0,0,0
SPX,9/20/2019,13:30,2996.78,2994.42,2994.48,0,0,0,0
SPX,9/20/2019,13:31,2995.31,2994.06,2994.47,0,0,0,0
SPX,9/20/2019,13:32,2994.74,2993.85,2994.14,0,0,0,0
SPX,9/20/2019,13:33,2994.4,2993.51,2993.51,0,0,0,0
SPX,9/20/2019,13:34,2993.93,2993.2,2993.92,0,0,0,0
SPX,9/20/2019,13:35,2995.3,2993.87,2995.3,0,0,0,0
SPX,9/20/2019,13:36,2996.38,2995.32,2995.86,0,0,0,0
SPX,9/20/2019,13:37,2996.01,2995.21,2995.22,0,0,0,0
SPX,9/20/2019,13:38,2995.63,2994.94,2995.11,0,0,0,0
SPX,9/20/2019,13:39,2995.12,2994.27,2994.66,0,0,0,0
SPX,9/20/2019,13:40,2995.21,2994.53,2995.07,0,0,0,0
SPX,9/20/2019,13:41,2995.05,2993.74,2993.8,0,0,0,0
SPX,9/20/2019,13:42,2994.71,2993.78,2994.51,0,0,0,0
SPX,9/20/2019,13:43,2995.94,2994.07,2994.14,0,0,0,0
SPX,9/20/2019,13:44,2995.45,2994.14,2994.47,0,0,0,0
SPX,9/20/2019,13:45,2994.84,2993.91,2994.79,0,0,0,0
SPX,9/20/2019,13:46,2995.04,2993.68,2993.81,0,0,0,0
SPX,9/20/2019,13:47,2994.05,2993.15,2993.15,0,0,0,0
SPX,9/20/2019,13:48,2993.33,2992.51,2992.51,0,0,0,0
SPX,9/20/2019,13:49,2992.48,2991.18,2991.3,0,0,0,0
SPX,9/20/2019,13:50,2992.22,2991.03,2992.21,0,0,0,0
SPX,9/20/2019,13:51,2992.38,2991.48,2991.68,0,0,0,0
SPX,9/20/2019,13:52,2991.62,2990.89,2991.6,0,0,0,0
SPX,9/20/2019,13:53,2991.6,2990.55,2990.91,0,0,0,0
SPX,9/20/2019,13:54,2991.52,2990.91,2990.96,0,0,0,0
SPX,9/20/2019,13:55,2991.37,2990.71,2990.93,0,0,0,0
SPX,9/20/2019,13:56,2991.98,2990.91,2991.9,0,0,0,0
SPX,9/20/2019,13:57,2993.85,2991.87,2993.76,0,0,0,0
SPX,9/20/2019,13:58,2996.22,2993.74,2994.59,0,0,0,0
SPX,9/20/2019,13:59,2995.91,2993.64,2995.9,0,0,0,0
SPX,9/20/2019,14:00,2999.86,2995.97,2999.74,0,0,0,0
SPX,9/20/2019,14:01,3000.13,2998.36,2998.36,0,0,0,0
SPX,9/20/2019,14:02,3000.23,2997.49,2997.71,0,0,0,0
SPX,9/20/2019,14:03,2998.53,2997.12,2997.12,0,0,0,0
SPX,9/20/2019,14:04,2997.75,2996.85,2997.62,0,0,0,0
SPX,9/20/2019,14:05,2998.13,2997.18,2998.13,0,0,0,0
SPX,9/20/2019,14:06,2998.68,2997.41,2997.52,0,0,0,0
SPX,9/20/2019,14:07,2997.82,2996.62,2996.62,0,0,0,0
SPX,9/20/2019,14:08,2996.67,2994.68,2995.01,0,0,0,0
SPX,9/20/2019,14:09,2996.1,2995.05,2996,0,0,0,0
SPX,9/20/2019,14:10,2996.39,2995.84,2996.05,0,0,0,0
SPX,9/20/2019,14:11,2996.27,2995.45,2995.61,0,0,0,0
SPX,9/20/2019,14:12,2995.78,2995.28,2995.64,0,0,0,0
SPX,9/20/2019,14:13,2995.65,2995.18,2995.39,0,0,0,0
SPX,9/20/2019,14:14,2995.75,2994.7,2994.85,0,0,0,0
SPX,9/20/2019,14:15,2995.67,2994.76,2995.54,0,0,0,0
SPX,9/20/2019,14:16,2996.52,2995.22,2996.12,0,0,0,0
SPX,9/20/2019,14:17,2997.19,2995.78,2997.19,0,0,0,0
