ticker,curr_date,curr_time,p_ask_price,p_bid_price,p_value,p_volume,p_implied_volatility,p_ask_size,p_bid_size
UNP,10/7/2019,15:25,156.03,155.92,156.01,3110,0.1134,2041,438
UNP,10/7/2019,15:26,156.06,156.01,156.0594,5460,0.1714,4882,4316
UNP,10/7/2019,15:27,156.21,156.07,156.15,10278,0.0830,5464,7614
UNP,10/7/2019,15:28,156.19,156.06,156.07,20225,0.1852,19125,3819
UNP,10/7/2019,15:29,156.06,155.96,156.04,9454,0.1488,245,6502
UNP,10/7/2019,15:30,156.09,155.96,155.9663,4855,0.1792,443,4168
UNP,10/7/2019,15:31,155.95,155.84,155.85,5268,0.0272,1903,4705
UNP,10/7/2019,15:32,156.02,155.85,155.9775,12640,0.1613,8720,3906
UNP,10/7/2019,15:33,155.985,155.88,155.9,5378,0.1330,4800,4878
UNP,10/7/2019,15:34,155.93,155.83,155.86,8524,0.0904,4077,2734
UNP,10/7/2019,15:35,155.99,155.82,155.92,32929,0.0354,7630,15585
UNP,10/7/2019,15:36,155.96,155.905,155.915,8297,0.1285,2136,3844
UNP,10/7/2019,15:37,155.96,155.88,155.95,10321,0.0662,6258,9051
UNP,10/7/2019,15:38,155.99,155.91,155.99,10999,0.0346,5044,1327
UNP,10/7/2019,15:39,156.02,155.965,156,4400,0.0901,43,2013
UNP,10/7/2019,15:40,156.03,155.93,155.935,5510,0.1834,2798,1096
UNP,10/7/2019,15:41,155.96,155.9,155.92,6364,0.1509,5392,727
UNP,10/7/2019,15:42,155.97,155.885,155.9,5963,0.1903,586,752
UNP,10/7/2019,15:43,155.92,155.865,155.92,7441,0.0226,2996,4914
UNP,10/7/2019,15:44,155.96,155.88,155.91,10724,0.0542,6896,5049
UNP,10/7/2019,15:45,155.98,155.9,155.95,11796,0.1230,10825,2142
UNP,10/7/2019,15:46,156.04,155.94,156.01,4061,0.0647,3592,868
UNP,10/7/2019,15:47,156.01,155.93,155.95,4342,0.1344,110,4225
UNP,10/7/2019,15:48,155.95,155.87,155.88,4868,0.1364,763,894
UNP,10/7/2019,15:49,155.94,155.88,155.935,12180,0.1601,7035,2334
UNP,10/7/2019,15:50,155.935,155.74,155.88,62569,0.0345,42466,19466
UNP,10/7/2019,15:51,155.91,155.85,155.91,21545,0.1821,19729,16654
UNP,10/7/2019,15:52,155.96,155.88,155.95,25145,0.1711,9997,5388
UNP,10/7/2019,15:53,155.97,155.89,155.94,9858,0.1476,2771,6628
UNP,10/7/2019,15:54,155.96,155.78,155.92,27358,0.1033,17005,7019
UNP,10/7/2019,15:55,156.16,155.92,156.03,17062,0.1840,16033,13855
UNP,10/7/2019,15:56,156.06,155.92,156.03,12595,0.1750,1548,9618
UNP,10/7/2019,15:57,156.09,155.96,156.005,26439,0.1500,13775,15319
UNP,10/7/2019,15:58,156.11,155.99,156.11,32246,0.0707,23816,17477
UNP,10/7/2019,15:59,156.16,155.79,155.87,98788,0.1146,44818,57367
UNP,10/7/2019,16:02,155.91,155.91,155.91,579339,0.0418,463286,508167
UNP,10/7/2019,16:10,155.91,155.91,155.91,528,0.1200,424,442
UNP,10/7/2019,16:41,155.91,155.91,155.91,13175,0.0082,1300,8313
UNP,10/7/2019,16:44,155.91,155.91,155.91,611,0.1208,571,435
UNP,10/8/2019,9:30,154.5,153.92,154.12,42929,0.0997,11503,9408
UNP,10/8/2019,9:31,154.12,153.67,153.85,36020,0.0198,20552,33742
UNP,10/8/2019,9:32,154.12,153.85,153.975,5646,0.1354,1841,2059
UNP,10/8/2019,9:33,154.62,154.09,154.44,5928,0.1415,2918,2505
UNP,10/8/2019,9:34,154.455,154.23,154.455,3500,0.1096,304,3140
UNP,10/8/2019,9:35,154.56,154.34,154.45,2201,0.1602,277,466
UNP,10/8/2019,9:36,154.805,154.54,154.58,4443,0.1098,1881,1278
UNP,10/8/2019,9:37,154.49,154.2,154.2,2027,0.0463,494,1697
UNP,10/8/2019,9:38,154.3175,154.19,154.29,2830,0.1669,2163,2824
UNP,10/8/2019,9:39,154.23,154.1,154.15,2474,0.0067,1106,1959
UNP,10/8/2019,9:40,154.2,153.9,153.92,3174,0.1261,2929,1774
UNP,10/8/2019,9:41,153.98,153.79,153.89,3400,0.0754,1511,3214
UNP,10/8/2019,9:42,154.05,153.89,153.96,9618,0.0604,3116,8543
UNP,10/8/2019,9:43,154.03,153.89,153.9,6455,0.1582,4008,3441
UNP,10/8/2019,9:44,154.17,153.89,154.05,4445,0.1900,1659,3021
UNP,10/8/2019,9:45,154.14,153.89,153.89,6479,0.0960,1890,2022
UNP,10/8/2019,9:46,153.96,153.79,153.93,5114,0.0178,2670,4667
UNP,10/8/2019,9:47,153.9925,153.87,153.9925,2508,0.0856,1346,1643
UNP,10/8/2019,9:48,154.1,153.945,154.09,4189,0.0626,884,87
UNP,10/8/2019,9:49,154.115,154.025,154.115,7268,0.0081,2416,115
UNP,10/8/2019,9:50,154.14,154,154.11,76138,0.1368,1642,4158
UNP,10/8/2019,9:51,154.415,154.125,154.415,5089,0.0152,3587,4410
UNP,10/8/2019,9:52,154.5,154.27,154.43,4305,0.0467,1504,323
UNP,10/8/2019,9:53,154.48,154.31,154.36,3273,0.0850,1587,2504
UNP,10/8/2019,9:54,154.34,154.21,154.27,6348,0.0198,4453,6248
UNP,10/8/2019,9:55,154.3035,154.16,154.24,5257,0.1414,949,4185
UNP,10/8/2019,9:56,154.28,154.1,154.12,3881,0.1989,1101,529
UNP,10/8/2019,9:57,154.305,154.19,154.26,3600,0.0493,2387,1753
UNP,10/8/2019,9:58,154.21,154.06,154.165,8696,0.0942,417,2323
UNP,10/8/2019,9:59,154.3025,154.15,154.29,6136,0.0300,4372,767
UNP,10/8/2019,10:00,154.305,154.22,154.25,12150,0.0499,248,3729
UNP,10/8/2019,10:01,154.26,154.17,154.17,18337,0.1639,7759,17786
UNP,10/8/2019,10:02,154.21,154.01,154.015,7971,0.0458,5669,1239
UNP,10/8/2019,10:03,154.03,153.85,153.9,31121,0.1102,3552,21324
UNP,10/8/2019,10:04,154.17,153.905,154.08,7311,0.0117,3697,524
UNP,10/8/2019,10:05,154.2,154.0765,154.2,4394,0.1625,2444,878
UNP,10/8/2019,10:06,154.16,153.92,153.93,6202,0.0393,5055,2267
UNP,10/8/2019,10:07,154.01,153.89,153.98,8142,0.0694,1812,6671
UNP,10/8/2019,10:08,153.99,153.91,153.92,3271,0.1297,682,2841
