Date,Time,Open,High,Low,Close,Volume
2019-10-08,12:41,117.88,117.925,117.88,117.92,6226
2019-10-08,12:42,117.925,117.93,117.91,117.92,3301
2019-10-08,12:43,117.93,117.93,117.9002,117.92,4713
2019-10-08,12:44,117.92,118.07,117.92,118.015,20418
2019-10-08,12:45,118.015,118.2141,118.015,118.21,24381
2019-10-08,12:46,118.22,118.26,118.12,118.125,21395
2019-10-08,12:47,118.13,118.145,118.09,118.12,7835
2019-10-08,12:48,118.11,118.12,118.07,118.07,11815
2019-10-08,12:49,118.05,118.0622,117.96,117.96,4452
2019-10-08,12:50,117.96,118.005,117.96,117.99,4959
2019-10-08,12:51,117.99,118.01,117.95,117.99,5302
2019-10-08,12:52,118.0,118.08,117.98,118.07,2768
2019-10-08,12:53,118.06,118.08,118.05,118.07,4066
2019-10-08,12:54,118.06,118.08,118.035,118.08,3974
2019-10-08,12:55,118.08,118.09,118.03,118.05,34867
2019-10-08,12:56,118.05,118.09,117.98,117.98,3332
2019-10-08,12:57,118.0,118.02,117.9775,118.01,6935
2019-10-08,12:58,118.015,118.07,118.015,118.0354,3897
2019-10-08,12:59,118.03,118.05,117.98,118.035,8327
2019-10-08,13:00,118.04,118.04,117.995,118.01,6033
2019-10-08,13:01,118.0,118.025,117.99,118.0,9086
2019-10-08,13:02,118.0,118.005,117.97,117.97,3373
2019-10-08,13:03,117.98,118.0,117.9661,117.9918,4002
2019-10-08,13:04,117.99,117.99,117.95,117.96,7081
2019-10-08,13:05,117.96,117.9729,117.87,117.87,6356
2019-10-08,13:06,117.88,117.94,117.86,117.89,5638
2019-10-08,13:07,117.89,117.93,117.89,117.92,6260
2019-10-08,13:08,117.93,117.96,117.92,117.94,3600
2019-10-08,13:09,117.92,117.9432,117.91,117.91,2680
2019-10-08,13:10,117.9,117.915,117.87,117.8849,2794
2019-10-08,13:11,117.89,117.91,117.89,117.91,3402
2019-10-08,13:12,117.92,117.97,117.92,117.96,4275
2019-10-08,13:13,117.98,117.98,117.9,117.93,6046
2019-10-08,13:14,117.93,117.94,117.91,117.91,2002
2019-10-08,13:15,117.9,117.92,117.9,117.9,6653
2019-10-08,13:16,117.885,117.885,117.83,117.83,4014
2019-10-08,13:17,117.86,117.87,117.83,117.865,3200
2019-10-08,13:18,117.88,117.88,117.84,117.86,2033
2019-10-08,13:19,117.86,117.94,117.84,117.935,9143
2019-10-08,13:20,117.98,117.995,117.97,117.995,3773
2019-10-08,13:21,118.0,118.01,117.98,117.99,2450
2019-10-08,13:22,117.9863,118.06,117.95,118.045,5267
2019-10-08,13:23,118.06,118.06,118.04,118.05,2655
2019-10-08,13:24,118.05,118.06,118.03,118.05,4171
2019-10-08,13:25,118.06,118.07,118.05,118.06,4301
2019-10-08,13:26,118.05,118.12,118.05,118.09,3718
2019-10-08,13:27,118.1,118.13,118.1,118.13,5952
2019-10-08,13:28,118.12,118.13,118.085,118.0961,7596
2019-10-08,13:29,118.1,118.1,118.07,118.08,2610
2019-10-08,13:30,118.0717,118.1342,118.07,118.1331,10722
2019-10-08,13:31,118.14,118.17,118.12,118.14,21212
2019-10-08,13:32,118.14,118.16,118.105,118.11,2943
2019-10-08,13:33,118.11,118.11,118.05,118.05,3753
2019-10-08,13:34,118.05,118.055,118.01,118.035,2798
2019-10-08,13:35,118.03,118.0429,118.03,118.04,3224
2019-10-08,13:36,118.04,118.04,117.95,117.954,4355
2019-10-08,13:37,117.97,117.995,117.96,117.995,36572
2019-10-08,13:38,118.0,118.0,117.95,118.0,8814
2019-10-08,13:39,118.0,118.05,117.99,118.05,13570
2019-10-08,13:40,118.05,118.09,118.04,118.09,5356
2019-10-08,13:41,118.09,118.12,118.09,118.11,5805
2019-10-08,13:42,118.13,118.1632,118.12,118.1632,5798
2019-10-08,13:43,118.18,118.2186,118.16,118.1886,5668
2019-10-08,13:44,118.18,118.19,118.1656,118.18,2681
2019-10-08,13:45,118.18,118.2,118.13,118.1656,11532
2019-10-08,13:46,118.1674,118.17,118.13,118.16,5603
2019-10-08,13:47,118.15,118.1697,118.14,118.1553,2125
2019-10-08,13:48,118.15,118.16,118.13,118.15,5578
2019-10-08,13:49,118.16,118.17,118.15,118.155,3900
2019-10-08,13:50,118.155,118.17,118.1,118.15,7092
2019-10-08,13:51,118.15,118.16,118.13,118.155,8005
2019-10-08,13:52,118.16,118.18,118.15,118.1661,4053
2019-10-08,13:53,118.15,118.17,118.145,118.155,3493
2019-10-08,13:54,118.155,118.17,118.15,118.16,8123
2019-10-08,13:55,118.17,118.19,118.12,118.14,5025
2019-10-08,13:56,118.16,118.16,118.1271,118.145,3705
2019-10-08,13:57,118.1435,118.1435,118.12,118.12,4900
2019-10-08,13:58,118.13,118.16,118.12,118.14,3388
2019-10-08,13:59,118.14,118.15,118.12,118.12,6949
2019-10-08,14:00,118.13,118.18,118.07,118.08,13104
2019-10-08,14:01,118.08,118.12,118.045,118.08,11813
2019-10-08,14:02,118.08,118.1,118.05,118.08,18750
2019-10-08,14:03,118.0761,118.12,118.0761,118.1,7032
2019-10-08,14:04,118.11,118.14,118.06,118.09,11493
2019-10-08,14:05,118.1,118.13,118.0944,118.1177,8080
2019-10-08,14:06,118.12,118.19,118.12,118.17,9413
2019-10-08,14:07,118.18,118.19,118.16,118.17,9572
2019-10-08,14:08,118.17,118.2,118.17,118.18,6188
2019-10-08,14:09,118.1813,118.25,118.1813,118.2233,8783
2019-10-08,14:10,118.22,118.23,118.195,118.215,21275
2019-10-08,14:11,118.22,118.23,118.19,118.2,11891
2019-10-08,14:12,118.2,118.21,118.14,118.175,5250
2019-10-08,14:13,118.17,118.19,118.15,118.18,6076
2019-10-08,14:14,118.18,118.19,118.155,118.19,5697
2019-10-08,14:15,118.18,118.23,118.18,118.21,7369
2019-10-08,14:16,118.21,118.23,118.16,118.2,25498
2019-10-08,14:17,118.18,118.21,118.165,118.2,5490
2019-10-08,14:18,118.2,118.22,118.17,118.2186,4475
2019-10-08,14:19,118.2,118.234,118.175,118.175,17200
2019-10-08,14:20,118.18,118.22,118.16,118.1733,54546
2019-10-08,14:21,118.18,118.19,118.15,118.15,8189
2019-10-08,14:22,118.14,118.17,118.13,118.17,3217
2019-10-08,14:23,118.163,118.2,118.14,118.18,7297
2019-10-08,14:24,118.2,118.22,118.175,118.2,5217
2019-10-08,14:25,118.21,118.27,118.21,118.27,10476
2019-10-08,14:26,118.2545,118.26,118.2,118.2023,6358
2019-10-08,14:27,118.21,118.24,118.2,118.21,4940
2019-10-08,14:28,118.2,118.21,118.16,118.21,5012
2019-10-08,14:29,118.23,118.23,118.18,118.195,3734
2019-10-08,14:30,118.21,118.39,118.17,118.25,27603
2019-10-08,14:31,118.285,118.34,118.27,118.34,7298
2019-10-08,14:32,118.36,118.39,118.26,118.34,10541
