Date,Time,Open,High,Low,Close,Volume
2019-10-09,12:57,67.33,67.36,67.33,67.3433,82516
2019-10-09,12:58,67.35,67.35,67.32,67.34,6727
2019-10-09,12:59,67.34,67.38,67.34,67.3757,12658
2019-10-09,13:00,67.38,67.5,67.38,67.47,26763
2019-10-09,13:01,67.47,67.47,67.435,67.45,13913
2019-10-09,13:02,67.45,67.45,67.4101,67.43,3969
2019-10-09,13:03,67.425,67.44,67.42,67.4387,12182
2019-10-09,13:04,67.435,67.435,67.4,67.41,23239
2019-10-09,13:05,67.41,67.41,67.34,67.365,22953
2019-10-09,13:06,67.36,67.39,67.36,67.3871,5759
2019-10-09,13:07,67.38,67.4157,67.38,67.4157,6529
2019-10-09,13:08,67.4103,67.42,67.38,67.38,16349
2019-10-09,13:09,67.38,67.4,67.37,67.395,12026
2019-10-09,13:10,67.3946,67.4,67.38,67.385,10762
2019-10-09,13:11,67.39,67.41,67.38,67.3851,16603
2019-10-09,13:12,67.3802,67.3963,67.37,67.3961,9926
2019-10-09,13:13,67.39,67.405,67.37,67.39,10205
2019-10-09,13:14,67.3902,67.41,67.3864,67.3864,9055
2019-10-09,13:15,67.385,67.4,67.38,67.392,7125
2019-10-09,13:16,67.39,67.39,67.3412,67.35,22282
2019-10-09,13:17,67.35,67.35,67.33,67.3341,6484
2019-10-09,13:18,67.33,67.34,67.31,67.335,9990
2019-10-09,13:19,67.3344,67.34,67.33,67.34,6168
2019-10-09,13:20,67.33,67.33,67.31,67.325,13695
2019-10-09,13:21,67.32,67.34,67.32,67.34,2225
2019-10-09,13:22,67.34,67.35,67.33,67.3468,12885
2019-10-09,13:23,67.35,67.3563,67.34,67.3466,6236
2019-10-09,13:24,67.34,67.36,67.34,67.36,15095
2019-10-09,13:25,67.36,67.37,67.35,67.3521,7933
2019-10-09,13:26,67.36,67.36,67.34,67.355,6772
2019-10-09,13:27,67.355,67.3575,67.3344,67.3358,7676
2019-10-09,13:28,67.33,67.35,67.33,67.331,7081
2019-10-09,13:29,67.34,67.36,67.33,67.3573,3374
2019-10-09,13:30,67.3554,67.36,67.33,67.35,7249
2019-10-09,13:31,67.355,67.37,67.35,67.35,18408
2019-10-09,13:32,67.35,67.37,67.35,67.365,7882
2019-10-09,13:33,67.365,67.365,67.335,67.335,7442
2019-10-09,13:34,67.3335,67.35,67.33,67.3459,13600
2019-10-09,13:35,67.35,67.36,67.34,67.3599,6208
2019-10-09,13:36,67.355,67.3579,67.35,67.3563,5649
2019-10-09,13:37,67.36,67.36,67.34,67.35,5884
2019-10-09,13:38,67.35,67.38,67.34,67.38,13207
2019-10-09,13:39,67.38,67.4,67.38,67.39,12924
2019-10-09,13:40,67.39,67.4148,67.37,67.41,22075
2019-10-09,13:41,67.405,67.429,67.405,67.41,6116
2019-10-09,13:42,67.41,67.42,67.38,67.39,12316
2019-10-09,13:43,67.385,67.39,67.38,67.38,2422
2019-10-09,13:44,67.3871,67.39,67.38,67.385,3650
2019-10-09,13:45,67.38,67.39,67.38,67.38,5116
2019-10-09,13:46,67.385,67.415,67.38,67.41,22628
2019-10-09,13:47,67.41,67.4184,67.4,67.413,5259
2019-10-09,13:48,67.4158,67.42,67.41,67.415,5155
2019-10-09,13:49,67.4135,67.427,67.41,67.427,10063
2019-10-09,13:50,67.425,67.43,67.4,67.425,12957
2019-10-09,13:51,67.42,67.43,67.42,67.4296,3428
2019-10-09,13:52,67.425,67.4466,67.41,67.44,11095
2019-10-09,13:53,67.44,67.44,67.41,67.425,9952
2019-10-09,13:54,67.42,67.43,67.41,67.415,5216
2019-10-09,13:55,67.4144,67.4199,67.39,67.4199,15610
2019-10-09,13:56,67.4168,67.43,67.41,67.43,4549
2019-10-09,13:57,67.43,67.4463,67.43,67.4463,10589
2019-10-09,13:58,67.44,67.45,67.42,67.43,13688
2019-10-09,13:59,67.43,67.43,67.42,67.42,5200
2019-10-09,14:00,67.42,67.45,67.42,67.44,22667
2019-10-09,14:01,67.445,67.5,67.44,67.485,29792
2019-10-09,14:02,67.48,67.49,67.44,67.48,25592
2019-10-09,14:03,67.49,67.49,67.46,67.47,10573
