o_strike,o_symbol,o_position,o_ask_price,o_bid_price,o_volume,o_open_interest,o_implied_volatility,o_ask_size,o_bid_size,o_expiry,ticker,curr_date,curr_time
200,.AMGN200120P200,PUT,15.97,17.35,348,3441,0.04466402816201398,198,42,01/20/2020,AMGN,2019-10-07,15:51:00
205,.AMGN200120P205,PUT,17.97,19.349999999999998,206,4082,0.3649368423455214,123,32,01/20/2020,AMGN,2019-10-07,15:51:00
200,.AMGN200120C200,CALL,9.97,11.200000000000001,180,3998,0.6486017903993204,53,81,01/20/2020,AMGN,2019-10-07,15:51:00
205,.AMGN200120C205,CALL,13.97,15.200000000000001,8946,2981,0.6540939096358966,36,154,01/20/2020,AMGN,2019-10-07,15:51:00
200,.AMGN200120P200,PUT,14.96,16.34,763,1174,0.3367469592432959,36,59,01/20/2020,AMGN,2019-10-07,18:24:00
205,.AMGN200120P205,PUT,18.96,20.34,75,1309,0.9426628494248398,198,148,01/20/2020,AMGN,2019-10-07,18:24:00
200,.AMGN200120C200,CALL,10.96,12.190000000000001,449,2002,0.8966473805806556,166,57,01/20/2020,AMGN,2019-10-07,18:24:00
205,.AMGN200120C205,CALL,15.96,17.19,479,750,0.010532354099449082,30,19,01/20/2020,AMGN,2019-10-07,18:24:00
200,.AMGN200120P200,PUT,9.96,11.34,997,1724,0.7193306940921531,31,153,01/20/2020,AMGN,2019-10-08,09:29:00
205,.AMGN200120P205,PUT,16.96,18.34,444,4925,0.874876626110298,77,132,01/20/2020,AMGN,2019-10-08,09:29:00
200,.AMGN200120C200,CALL,14.96,16.19,381,4604,0.6125349451904555,101,77,01/20/2020,AMGN,2019-10-08,09:29:00
205,.AMGN200120C205,CALL,16.96,18.19,541,4374,0.0028600373625610187,138,164,01/20/2020,AMGN,2019-10-08,09:29:00
200,.AMGN200120P200,PUT,11.96,13.34,535,2336,0.5593053068676894,174,134,01/20/2020,AMGN,2019-10-08,09:30:00
205,.AMGN200120P205,PUT,13.96,15.34,501,353,0.2360379164525951,125,149,01/20/2020,AMGN,2019-10-08,09:30:00
200,.AMGN200120C200,CALL,11.96,13.190000000000001,764,647,0.45323167645457607,198,154,01/20/2020,AMGN,2019-10-08,09:30:00
205,.AMGN200120C205,CALL,19.96,21.19,997,3871,0.7011238989706011,25,1,01/20/2020,AMGN,2019-10-08,09:30:00
200,.AMGN200120P200,PUT,13.96,15.34,5212,799,0.8024865574007859,23,129,01/20/2020,AMGN,2019-10-08,09:31:00
205,.AMGN200120P205,PUT,13.96,15.34,188,1999,0.5449919481948785,133,148,01/20/2020,AMGN,2019-10-08,09:31:00
200,.AMGN200120C200,CALL,12.96,14.190000000000001,747,4902,0.9588322863238333,121,34,01/20/2020,AMGN,2019-10-08,09:31:00
205,.AMGN200120C205,CALL,20.96,22.19,941,4320,0.6506774610499954,172,75,01/20/2020,AMGN,2019-10-08,09:31:00
200,.AMGN200120P200,PUT,11.96,13.34,887,3964,0.944680177012626,83,44,01/20/2020,AMGN,2019-10-08,09:32:00
205,.AMGN200120P205,PUT,16.96,18.34,598,2944,0.7320128100024468,11,171,01/20/2020,AMGN,2019-10-08,09:32:00
200,.AMGN200120C200,CALL,14.96,16.19,632,1730,0.7134174538684269,40,143,01/20/2020,AMGN,2019-10-08,09:32:00
205,.AMGN200120C205,CALL,20.96,22.19,832,2724,0.05147122224637368,2,83,01/20/2020,AMGN,2019-10-08,09:32:00
200,.AMGN200120P200,PUT,15.96,17.34,368,83,0.40890736468122346,98,181,01/20/2020,AMGN,2019-10-08,09:33:00
205,.AMGN200120P205,PUT,18.96,20.34,545,721,0.9105476230500823,48,35,01/20/2020,AMGN,2019-10-08,09:33:00
200,.AMGN200120C200,CALL,9.96,11.190000000000001,840,3490,0.8192492308205371,61,16,01/20/2020,AMGN,2019-10-08,09:33:00
205,.AMGN200120C205,CALL,19.96,21.19,289,3231,0.49932717267220017,164,28,01/20/2020,AMGN,2019-10-08,09:33:00
200,.AMGN200120P200,PUT,10.95,12.329999999999998,286,4201,0.25114450542491673,71,74,01/20/2020,AMGN,2019-10-08,09:34:00
205,.AMGN200120P205,PUT,16.95,18.33,854,144,0.6829023997020792,129,61,01/20/2020,AMGN,2019-10-08,09:34:00
200,.AMGN200120C200,CALL,11.95,13.18,47,1192,0.8994343487817648,178,97,01/20/2020,AMGN,2019-10-08,09:34:00
205,.AMGN200120C205,CALL,16.95,18.18,128,4032,0.31379988213962373,47,46,01/20/2020,AMGN,2019-10-08,09:34:00
200,.AMGN200120P200,PUT,9.95,11.329999999999998,930,548,0.9089245661691976,108,106,01/20/2020,AMGN,2019-10-08,09:35:00
205,.AMGN200120P205,PUT,18.95,20.33,820,2953,0.6054856592325172,8,148,01/20/2020,AMGN,2019-10-08,09:35:00
200,.AMGN200120C200,CALL,10.95,12.18,632,4464,0.8881621900168899,124,167,01/20/2020,AMGN,2019-10-08,09:35:00
205,.AMGN200120C205,CALL,16.95,18.18,419,2283,0.8690955793863462,47,171,01/20/2020,AMGN,2019-10-08,09:35:00
200,.AMGN200120P200,PUT,10.95,12.329999999999998,403,2143,0.3813775018603224,155,186,01/20/2020,AMGN,2019-10-08,09:37:00
205,.AMGN200120P205,PUT,18.95,20.33,661,2608,0.7237322622946778,104,103,01/20/2020,AMGN,2019-10-08,09:37:00
200,.AMGN200120C200,CALL,11.95,13.18,67,1237,0.6867746475797226,96,168,01/20/2020,AMGN,2019-10-08,09:37:00
205,.AMGN200120C205,CALL,17.95,19.18,153,42,0.1727867183946149,70,124,01/20/2020,AMGN,2019-10-08,09:37:00
200,.AMGN200120P200,PUT,11.96,13.34,498,840,0.6845538225451973,3,181,01/20/2020,AMGN,2019-10-08,09:38:00
205,.AMGN200120P205,PUT,19.96,21.34,169,731,0.40715561222915575,124,110,01/20/2020,AMGN,2019-10-08,09:38:00
200,.AMGN200120C200,CALL,13.96,15.190000000000001,830,4612,0.270312419079926,166,77,01/20/2020,AMGN,2019-10-08,09:38:00
205,.AMGN200120C205,CALL,19.96,21.19,738,1781,0.12540806485652845,5,50,01/20/2020,AMGN,2019-10-08,09:38:00
200,.AMGN200120P200,PUT,14.95,16.33,450,4852,0.7930698326900749,181,17,01/20/2020,AMGN,2019-10-08,09:39:00
205,.AMGN200120P205,PUT,16.95,18.33,331,431,0.8990258151266295,29,90,01/20/2020,AMGN,2019-10-08,09:39:00
200,.AMGN200120C200,CALL,14.95,16.18,971,3146,0.4313866800651648,135,29,01/20/2020,AMGN,2019-10-08,09:39:00
205,.AMGN200120C205,CALL,17.95,19.18,123,134,0.9250506615121986,34,73,01/20/2020,AMGN,2019-10-08,09:39:00
200,.AMGN200120P200,PUT,15.95,17.33,760,3228,0.7436339258254752,175,9,01/20/2020,AMGN,2019-10-08,09:40:00
205,.AMGN200120P205,PUT,15.95,17.33,280,2041,0.23408244927673394,134,189,01/20/2020,AMGN,2019-10-08,09:40:00
200,.AMGN200120C200,CALL,15.95,17.18,620,3924,0.12708623906639804,199,69,01/20/2020,AMGN,2019-10-08,09:40:00
205,.AMGN200120C205,CALL,14.95,16.18,521,2610,0.10610897707269773,70,189,01/20/2020,AMGN,2019-10-08,09:40:00
200,.AMGN200120P200,PUT,13.95,15.329999999999998,785,1506,0.663999212206826,14,18,01/20/2020,AMGN,2019-10-08,09:41:00
205,.AMGN200120P205,PUT,17.95,19.33,571,2222,0.18520882009799833,152,17,01/20/2020,AMGN,2019-10-08,09:41:00
200,.AMGN200120C200,CALL,14.95,16.18,619,1371,0.9374436864281606,152,85,01/20/2020,AMGN,2019-10-08,09:41:00
205,.AMGN200120C205,CALL,19.95,21.18,466,449,0.2312886692565398,128,51,01/20/2020,AMGN,2019-10-08,09:41:00
200,.AMGN200120P200,PUT,10.95,12.329999999999998,881,472,0.6488121481614689,48,150,01/20/2020,AMGN,2019-10-08,09:42:00
205,.AMGN200120P205,PUT,13.95,15.329999999999998,858,3709,0.4108976727325039,159,184,01/20/2020,AMGN,2019-10-08,09:42:00
200,.AMGN200120C200,CALL,11.95,13.18,673,224,0.6904175420542187,95,114,01/20/2020,AMGN,2019-10-08,09:42:00
205,.AMGN200120C205,CALL,14.95,16.18,747,2559,0.5301617322122821,9,128,01/20/2020,AMGN,2019-10-08,09:42:00
200,.AMGN200120P200,PUT,8.95,10.329999999999998,586,4915,0.10272656860126284,88,152,01/20/2020,AMGN,2019-10-08,09:43:00
205,.AMGN200120P205,PUT,14.95,16.33,932,4833,0.40868818323388323,81,123,01/20/2020,AMGN,2019-10-08,09:43:00
200,.AMGN200120C200,CALL,12.95,14.18,905,2790,0.9168816795991416,7,197,01/20/2020,AMGN,2019-10-08,09:43:00
205,.AMGN200120C205,CALL,20.95,22.18,373,3279,0.8162119023532896,23,4,01/20/2020,AMGN,2019-10-08,09:43:00
200,.AMGN200120P200,PUT,12.96,14.34,118,4974,0.9814356438628614,60,119,01/20/2020,AMGN,2019-10-08,09:44:00
205,.AMGN200120P205,PUT,17.96,19.34,864,3578,0.09105743284236012,7,89,01/20/2020,AMGN,2019-10-08,09:44:00
200,.AMGN200120C200,CALL,10.96,12.190000000000001,80,969,0.8733299930936692,113,127,01/20/2020,AMGN,2019-10-08,09:44:00
205,.AMGN200120C205,CALL,15.96,17.19,755,263,0.466473867808347,52,146,01/20/2020,AMGN,2019-10-08,09:44:00
200,.AMGN200120P200,PUT,8.96,10.34,830,2409,0.2244902003829109,93,80,01/20/2020,AMGN,2019-10-08,09:45:00
205,.AMGN200120P205,PUT,20.96,22.34,83,2808,0.9897411704582487,35,80,01/20/2020,AMGN,2019-10-08,09:45:00
200,.AMGN200120C200,CALL,11.96,13.190000000000001,473,839,0.8383875928396981,54,42,01/20/2020,AMGN,2019-10-08,09:45:00
205,.AMGN200120C205,CALL,17.96,19.19,447,1058,0.8576953606767892,131,9,01/20/2020,AMGN,2019-10-08,09:45:00
200,.AMGN200120P200,PUT,11.96,13.34,536,4193,0.31625913032362907,111,48,01/20/2020,AMGN,2019-10-08,09:46:00
205,.AMGN200120P205,PUT,19.96,21.34,334,2275,0.9325367920250359,194,71,01/20/2020,AMGN,2019-10-08,09:46:00
200,.AMGN200120C200,CALL,11.96,13.190000000000001,800,1737,0.6097651526472562,10,168,01/20/2020,AMGN,2019-10-08,09:46:00
205,.AMGN200120C205,CALL,20.96,22.19,175,1133,0.54953474940172,53,38,01/20/2020,AMGN,2019-10-08,09:46:00
200,.AMGN200120P200,PUT,10.96,12.34,170,4469,0.1990303489927494,131,194,01/20/2020,AMGN,2019-10-08,09:47:00
205,.AMGN200120P205,PUT,16.96,18.34,431,1457,0.10817185519154227,167,37,01/20/2020,AMGN,2019-10-08,09:47:00
200,.AMGN200120C200,CALL,10.96,12.190000000000001,196,4984,0.029235613035555996,64,14,01/20/2020,AMGN,2019-10-08,09:47:00
205,.AMGN200120C205,CALL,20.96,22.19,974,4913,0.41732143989880643,28,55,01/20/2020,AMGN,2019-10-08,09:47:00
200,.AMGN200120P200,PUT,13.96,15.34,693,4412,0.6030266069582534,51,128,01/20/2020,AMGN,2019-10-08,09:48:00
205,.AMGN200120P205,PUT,18.96,20.34,101,2057,0.33286514343484896,187,112,01/20/2020,AMGN,2019-10-08,09:48:00
200,.AMGN200120C200,CALL,12.96,14.190000000000001,183,482,0.3039670105453016,142,6,01/20/2020,AMGN,2019-10-08,09:48:00
205,.AMGN200120C205,CALL,17.96,19.19,298,1378,0.19987478620145027,118,195,01/20/2020,AMGN,2019-10-08,09:48:00
200,.AMGN200120P200,PUT,13.96,15.34,523,2112,0.9539723873060333,128,86,01/20/2020,AMGN,2019-10-08,09:49:00
205,.AMGN200120P205,PUT,17.96,19.34,363,2269,0.4116514402422453,196,151,01/20/2020,AMGN,2019-10-08,09:49:00
200,.AMGN200120C200,CALL,13.96,15.190000000000001,520,4799,0.6358747471290375,19,48,01/20/2020,AMGN,2019-10-08,09:49:00
205,.AMGN200120C205,CALL,15.96,17.19,26,3544,0.7599014137693059,60,4,01/20/2020,AMGN,2019-10-08,09:49:00
200,.AMGN200120P200,PUT,10.96,12.34,823,1866,0.9829579394650086,72,93,01/20/2020,AMGN,2019-10-08,09:50:00
205,.AMGN200120P205,PUT,18.96,20.34,596,4653,0.050522041148651775,70,36,01/20/2020,AMGN,2019-10-08,09:50:00
200,.AMGN200120C200,CALL,8.96,10.190000000000001,767,3756,0.4725101662134972,55,47,01/20/2020,AMGN,2019-10-08,09:50:00
205,.AMGN200120C205,CALL,13.96,15.190000000000001,475,1410,0.5085822124561469,69,157,01/20/2020,AMGN,2019-10-08,09:50:00
200,.AMGN200120P200,PUT,11.96,13.34,322,2142,0.5864545933103804,175,7,01/20/2020,AMGN,2019-10-08,09:51:00
205,.AMGN200120P205,PUT,19.96,21.34,75,3393,0.7986028743402334,159,44,01/20/2020,AMGN,2019-10-08,09:51:00
200,.AMGN200120C200,CALL,9.96,11.190000000000001,925,1947,0.6746556463414372,30,126,01/20/2020,AMGN,2019-10-08,09:51:00
