o_strike,o_symbol,o_position,o_ask_price,o_bid_price,o_volume,o_open_interest,o_implied_volatility,o_ask_size,o_bid_size,o_expiry,ticker,curr_date,curr_time
60,.ATVI200120P60,PUT,11.54,12.919999999999998,719,4908,0.9537845366827896,100,43,01/20/2020,ATVI,2019-10-09,11:13:00
65,.ATVI200120P65,PUT,17.54,18.919999999999998,69,4967,0.15709010238489896,194,11,01/20/2020,ATVI,2019-10-09,11:13:00
60,.ATVI200120C60,CALL,9.54,10.77,815,4379,0.7666677617441505,63,14,01/20/2020,ATVI,2019-10-09,11:13:00
65,.ATVI200120C65,CALL,16.54,17.77,820,809,0.679639912155821,187,54,01/20/2020,ATVI,2019-10-09,11:13:00
60,.ATVI200120P60,PUT,13.54,14.919999999999998,239,894,0.4193580920087012,152,26,01/20/2020,ATVI,2019-10-09,11:14:00
65,.ATVI200120P65,PUT,15.54,16.919999999999998,981,4065,0.5388738239320109,2,113,01/20/2020,ATVI,2019-10-09,11:14:00
60,.ATVI200120C60,CALL,7.54,8.77,644,2043,0.2804833326265872,38,77,01/20/2020,ATVI,2019-10-09,11:14:00
65,.ATVI200120C65,CALL,15.54,16.77,821,1100,0.6360249086709712,10,128,01/20/2020,ATVI,2019-10-09,11:14:00
60,.ATVI200120P60,PUT,14.54,15.919999999999998,478,630,0.3333497851170042,170,182,01/20/2020,ATVI,2019-10-09,11:15:00
65,.ATVI200120P65,PUT,14.54,15.919999999999998,285,4241,0.5181519178164402,165,149,01/20/2020,ATVI,2019-10-09,11:15:00
60,.ATVI200120C60,CALL,8.54,9.77,604,3610,0.2279669944740087,70,114,01/20/2020,ATVI,2019-10-09,11:15:00
65,.ATVI200120C65,CALL,12.54,13.77,168,2862,0.015670785596684,62,175,01/20/2020,ATVI,2019-10-09,11:15:00
60,.ATVI200120P60,PUT,7.54,8.92,974,2940,0.7892492843289978,148,61,01/20/2020,ATVI,2019-10-09,11:16:00
65,.ATVI200120P65,PUT,19.54,20.919999999999998,518,2033,0.8224240587330351,5,112,01/20/2020,ATVI,2019-10-09,11:16:00
60,.ATVI200120C60,CALL,9.54,10.77,685,841,0.22081110075781452,61,28,01/20/2020,ATVI,2019-10-09,11:16:00
65,.ATVI200120C65,CALL,16.54,17.77,625,2803,0.3927239103786514,141,172,01/20/2020,ATVI,2019-10-09,11:16:00
60,.ATVI200120P60,PUT,12.54,13.919999999999998,759,1865,0.43915948176284103,120,62,01/20/2020,ATVI,2019-10-09,11:17:00
65,.ATVI200120P65,PUT,14.54,15.919999999999998,366,2940,0.7337462833700799,121,80,01/20/2020,ATVI,2019-10-09,11:17:00
60,.ATVI200120C60,CALL,13.54,14.77,438,2983,0.051499418698771726,33,120,01/20/2020,ATVI,2019-10-09,11:17:00
65,.ATVI200120C65,CALL,15.54,16.77,639,3088,0.026606131782603737,45,176,01/20/2020,ATVI,2019-10-09,11:17:00
60,.ATVI200120P60,PUT,14.54,15.919999999999998,997,2279,0.8467642402973732,65,65,01/20/2020,ATVI,2019-10-09,11:18:00
65,.ATVI200120P65,PUT,16.54,17.919999999999998,699,4567,0.43934148638989345,71,139,01/20/2020,ATVI,2019-10-09,11:18:00
60,.ATVI200120C60,CALL,7.54,8.77,458,2000,0.8909629439973114,1,182,01/20/2020,ATVI,2019-10-09,11:18:00
65,.ATVI200120C65,CALL,12.54,13.77,473,4085,0.15931326656502787,92,175,01/20/2020,ATVI,2019-10-09,11:18:00
60,.ATVI200120P60,PUT,8.54,9.919999999999998,143,908,0.9946339866833691,178,28,01/20/2020,ATVI,2019-10-09,11:19:00
65,.ATVI200120P65,PUT,18.54,19.919999999999998,141,3115,0.30665216048144484,96,46,01/20/2020,ATVI,2019-10-09,11:19:00
60,.ATVI200120C60,CALL,7.54,8.77,862,2527,0.8334486135087485,164,4,01/20/2020,ATVI,2019-10-09,11:19:00
65,.ATVI200120C65,CALL,19.54,20.77,829,2995,0.7506269393203574,137,25,01/20/2020,ATVI,2019-10-09,11:19:00
