o_strike,o_symbol,o_position,o_ask_price,o_bid_price,o_volume,o_open_interest,o_implied_volatility,o_ask_size,o_bid_size,o_expiry,ticker,curr_date,curr_time
125,.CAT200120P125,PUT,15.19,16.57,98,1249,0.19808218707274106,104,2,01/20/2020,CAT,2019-10-09,14:01:00
130,.CAT200120P130,PUT,19.19,20.57,873,4887,0.1261461899924997,199,188,01/20/2020,CAT,2019-10-09,14:01:00
125,.CAT200120C125,CALL,14.19,15.42,482,603,0.2464712067144782,107,122,01/20/2020,CAT,2019-10-09,14:01:00
130,.CAT200120C130,CALL,16.19,17.42,576,87,0.1783427543155015,20,194,01/20/2020,CAT,2019-10-09,14:01:00
125,.CAT200120P125,PUT,12.19,13.57,907,4151,0.30889876928919513,136,168,01/20/2020,CAT,2019-10-09,14:35:00
130,.CAT200120P130,PUT,19.19,20.57,629,4591,0.6799402116669707,160,192,01/20/2020,CAT,2019-10-09,14:35:00
125,.CAT200120C125,CALL,15.19,16.419999999999998,433,3504,0.23473389055284555,109,9,01/20/2020,CAT,2019-10-09,14:35:00
130,.CAT200120C130,CALL,19.19,20.42,928,1684,0.595156410339738,80,28,01/20/2020,CAT,2019-10-09,14:35:00
125,.CAT200120P125,PUT,10.19,11.57,530,250,0.7469750204387927,85,188,01/20/2020,CAT,2019-10-09,14:36:00
130,.CAT200120P130,PUT,18.19,19.57,773,798,0.6969025330579368,101,23,01/20/2020,CAT,2019-10-09,14:36:00
125,.CAT200120C125,CALL,12.19,13.42,372,2320,0.5341140008481481,163,51,01/20/2020,CAT,2019-10-09,14:36:00
130,.CAT200120C130,CALL,19.19,20.42,930,1199,0.3604784160999356,167,147,01/20/2020,CAT,2019-10-09,14:36:00
125,.CAT200120P125,PUT,8.19,9.57,823,4527,0.6078534587235079,179,116,01/20/2020,CAT,2019-10-09,14:37:00
130,.CAT200120P130,PUT,18.19,19.57,932,4581,0.412360463534986,126,70,01/20/2020,CAT,2019-10-09,14:37:00
125,.CAT200120C125,CALL,9.19,10.42,210,2479,0.9405649834972675,192,99,01/20/2020,CAT,2019-10-09,14:37:00
