o_strike,o_symbol,o_position,o_ask_price,o_bid_price,o_volume,o_open_interest,o_implied_volatility,o_ask_size,o_bid_size,o_expiry,ticker,curr_date,curr_time
305,.COST200120P305,PUT,15.98,17.36,812,3568,0.15379619258915467,96,47,01/20/2020,COST,2019-10-11,10:44:00
310,.COST200120P310,PUT,20.98,22.36,310,4698,0.23416207873429062,14,43,01/20/2020,COST,2019-10-11,10:44:00
305,.COST200120C305,CALL,13.98,15.21,489,1025,0.9501691448438239,121,29,01/20/2020,COST,2019-10-11,10:44:00
310,.COST200120C310,CALL,21.98,23.21,337,1273,0.3480136314874429,32,36,01/20/2020,COST,2019-10-11,10:44:00
300,.COST200120P300,PUT,11.93,13.309999999999999,207,3783,0.9354703009418893,130,192,01/20/2020,COST,2019-10-08,11:03:00
305,.COST200120P305,PUT,21.93,23.31,481,3657,0.2902427196772498,159,73,01/20/2020,COST,2019-10-08,11:03:00
300,.COST200120C300,CALL,16.93,18.16,468,2317,0.10993165196976884,152,29,01/20/2020,COST,2019-10-08,11:03:00
305,.COST200120C305,CALL,20.93,22.16,714,1245,0.6957981607830119,31,176,01/20/2020,COST,2019-10-08,11:03:00
300,.COST200120P300,PUT,15.93,17.31,868,1653,0.8663268523571898,171,102,01/20/2020,COST,2019-10-08,11:04:00
305,.COST200120P305,PUT,15.93,17.31,747,2237,0.8380501339279699,155,46,01/20/2020,COST,2019-10-08,11:04:00
300,.COST200120C300,CALL,13.93,15.16,17,3623,0.11885665286753777,12,133,01/20/2020,COST,2019-10-08,11:04:00
305,.COST200120C305,CALL,21.93,23.16,762,1638,0.24845422909147474,37,39,01/20/2020,COST,2019-10-08,11:04:00
300,.COST200120P300,PUT,15.93,17.31,950,4968,0.9988781257118078,15,95,01/20/2020,COST,2019-10-08,11:05:00
305,.COST200120P305,PUT,21.93,23.31,656,4820,0.16834197939785,90,91,01/20/2020,COST,2019-10-08,11:05:00
300,.COST200120C300,CALL,13.93,15.16,245,4453,0.30609514787635816,182,176,01/20/2020,COST,2019-10-08,11:05:00
305,.COST200120C305,CALL,16.93,18.16,793,4950,0.45997353644809735,115,108,01/20/2020,COST,2019-10-08,11:05:00
300,.COST200120P300,PUT,14.93,16.31,620,3193,0.20548983651151598,5,78,01/20/2020,COST,2019-10-08,11:06:00
305,.COST200120P305,PUT,18.93,20.31,231,3133,0.3919029097046216,66,58,01/20/2020,COST,2019-10-08,11:06:00
300,.COST200120C300,CALL,12.93,14.16,27,4968,0.2746793022436821,79,0,01/20/2020,COST,2019-10-08,11:06:00
305,.COST200120C305,CALL,21.93,23.16,448,2137,0.9319553483550128,153,47,01/20/2020,COST,2019-10-08,11:06:00
300,.COST200120P300,PUT,9.93,11.309999999999999,643,966,0.7850310848110956,93,6,01/20/2020,COST,2019-10-08,11:07:00
305,.COST200120P305,PUT,14.93,16.31,6,4179,0.7775080374208061,158,68,01/20/2020,COST,2019-10-08,11:07:00
300,.COST200120C300,CALL,9.93,11.16,641,1252,0.2172106203468519,80,159,01/20/2020,COST,2019-10-08,11:07:00
305,.COST200120C305,CALL,16.93,18.16,502,1109,0.793404862814482,165,5,01/20/2020,COST,2019-10-08,11:07:00
300,.COST200120P300,PUT,10.93,12.309999999999999,751,1971,0.6771525384910414,24,6,01/20/2020,COST,2019-10-08,11:08:00
305,.COST200120P305,PUT,20.93,22.31,24,457,0.4545058154275271,63,61,01/20/2020,COST,2019-10-08,11:08:00
300,.COST200120C300,CALL,10.93,12.16,265,4419,0.7156495037423477,81,70,01/20/2020,COST,2019-10-08,11:08:00
305,.COST200120C305,CALL,15.93,17.16,328,1629,0.9291493464173458,65,95,01/20/2020,COST,2019-10-08,11:08:00
300,.COST200120P300,PUT,9.93,11.309999999999999,214,892,0.4168090405778836,175,89,01/20/2020,COST,2019-10-08,11:09:00
305,.COST200120P305,PUT,18.93,20.31,589,1745,0.32640624491343617,187,106,01/20/2020,COST,2019-10-08,11:09:00
300,.COST200120C300,CALL,15.93,17.16,631,1861,0.01274223521050366,80,41,01/20/2020,COST,2019-10-08,11:09:00
