o_strike,o_symbol,o_position,o_ask_price,o_bid_price,o_volume,o_open_interest,o_implied_volatility,o_ask_size,o_bid_size,o_expiry,ticker,curr_date,curr_time
150,.CRM200120P150,PUT,9.46,10.84,172,207,0.36145904723761335,71,143,01/20/2020,CRM,2019-10-10,15:12:00
155,.CRM200120P155,PUT,19.46,20.84,528,399,0.3933414584021271,110,35,01/20/2020,CRM,2019-10-10,15:12:00
150,.CRM200120C150,CALL,9.46,10.690000000000001,960,3970,0.08493553964730882,17,130,01/20/2020,CRM,2019-10-10,15:12:00
155,.CRM200120C155,CALL,13.46,14.690000000000001,797,1995,0.6363843019999306,33,89,01/20/2020,CRM,2019-10-10,15:12:00
150,.CRM200120P150,PUT,8.46,9.84,795,3614,0.36050826619952625,134,34,01/20/2020,CRM,2019-10-09,11:11:00
155,.CRM200120P155,PUT,16.46,17.84,355,3160,0.4219626564491268,96,144,01/20/2020,CRM,2019-10-09,11:11:00
150,.CRM200120C150,CALL,12.46,13.690000000000001,459,1152,0.3414875353902139,112,109,01/20/2020,CRM,2019-10-09,11:11:00
155,.CRM200120C155,CALL,15.46,16.69,799,4029,0.6532029482041005,24,179,01/20/2020,CRM,2019-10-09,11:11:00
150,.CRM200120P150,PUT,11.46,12.84,812,3461,0.21996603913606627,48,144,01/20/2020,CRM,2019-10-09,11:12:00
155,.CRM200120P155,PUT,19.46,20.84,375,2610,0.5319112939951889,36,135,01/20/2020,CRM,2019-10-09,11:12:00
150,.CRM200120C150,CALL,8.46,9.690000000000001,93,1983,0.4182290357659654,53,57,01/20/2020,CRM,2019-10-09,11:12:00
155,.CRM200120C155,CALL,16.46,17.69,618,1542,0.14063063385677688,101,114,01/20/2020,CRM,2019-10-09,11:12:00
150,.CRM200120P150,PUT,8.46,9.84,554,986,0.6829460584744813,5,45,01/20/2020,CRM,2019-10-09,11:00:00
155,.CRM200120P155,PUT,16.46,17.84,451,1458,0.9995559444375218,130,149,01/20/2020,CRM,2019-10-09,11:00:00
150,.CRM200120C150,CALL,10.46,11.690000000000001,846,1007,0.22564392501173502,166,59,01/20/2020,CRM,2019-10-09,11:00:00
155,.CRM200120C155,CALL,18.46,19.69,626,300,0.16521919522980688,105,141,01/20/2020,CRM,2019-10-09,11:00:00
150,.CRM200120P150,PUT,9.46,10.84,950,2277,0.6773768148458859,189,101,01/20/2020,CRM,2019-10-09,11:01:00
155,.CRM200120P155,PUT,18.46,19.84,527,2335,0.08652707466803167,114,54,01/20/2020,CRM,2019-10-09,11:01:00
150,.CRM200120C150,CALL,12.46,13.690000000000001,441,1380,0.9860691633338571,131,31,01/20/2020,CRM,2019-10-09,11:01:00
