o_strike,o_symbol,o_position,o_ask_price,o_bid_price,o_volume,o_open_interest,o_implied_volatility,o_ask_size,o_bid_size,o_expiry,ticker,curr_date,curr_time
65,.CVS200120P65,PUT,8.62,10.0,495,1393,0.27591508639962337,115,188,01/20/2020,CVS,2019-10-10,13:23:00
70,.CVS200120P70,PUT,18.62,20.0,565,4909,0.3909255527665506,191,179,01/20/2020,CVS,2019-10-10,13:23:00
65,.CVS200120C65,CALL,7.62,8.85,218,3502,0.27369218695898134,37,58,01/20/2020,CVS,2019-10-10,13:23:00
70,.CVS200120C70,CALL,18.62,19.85,332,2508,0.11339983708961587,41,188,01/20/2020,CVS,2019-10-10,13:23:00
65,.CVS200120P65,PUT,8.6,9.98,258,4157,0.10212131284962922,123,88,01/20/2020,CVS,2019-10-08,16:37:00
70,.CVS200120P70,PUT,15.6,16.98,753,3776,0.3945382063011029,63,24,01/20/2020,CVS,2019-10-08,16:37:00
65,.CVS200120C65,CALL,7.6,8.83,9301,3099,0.23441821140844643,161,133,01/20/2020,CVS,2019-10-08,16:37:00
70,.CVS200120C70,CALL,18.6,19.830000000000002,347,4370,0.6009953352959758,96,46,01/20/2020,CVS,2019-10-08,16:37:00
65,.CVS200120P65,PUT,9.6,10.98,7360,704,0.624367818916165,19,167,01/20/2020,CVS,2019-10-08,16:48:00
70,.CVS200120P70,PUT,19.6,20.98,865,312,0.6452784669955747,119,132,01/20/2020,CVS,2019-10-08,16:48:00
65,.CVS200120C65,CALL,7.6,8.83,477,337,0.08602457077112802,112,103,01/20/2020,CVS,2019-10-08,16:48:00
70,.CVS200120C70,CALL,14.6,15.83,831,4321,0.10732491911852593,63,21,01/20/2020,CVS,2019-10-08,16:48:00
65,.CVS200120P65,PUT,8.6,9.98,692,1135,0.9790670506206984,7,197,01/20/2020,CVS,2019-10-08,16:54:00
70,.CVS200120P70,PUT,12.6,13.98,873,4549,0.7582071100598012,98,45,01/20/2020,CVS,2019-10-08,16:54:00
65,.CVS200120C65,CALL,13.6,14.83,700,3841,0.8299519110136339,146,25,01/20/2020,CVS,2019-10-08,16:54:00
70,.CVS200120C70,CALL,19.6,20.830000000000002,284,4097,0.11852063953904934,5,125,01/20/2020,CVS,2019-10-08,16:54:00
65,.CVS200120P65,PUT,8.6,9.98,760,1901,0.5767231269338515,166,126,01/20/2020,CVS,2019-10-08,17:16:00
70,.CVS200120P70,PUT,12.6,13.98,361,2963,0.44978266027388814,97,162,01/20/2020,CVS,2019-10-08,17:16:00
65,.CVS200120C65,CALL,14.6,15.83,361,3874,0.49174127459401396,11,53,01/20/2020,CVS,2019-10-08,17:16:00
70,.CVS200120C70,CALL,12.6,13.83,587,1150,0.5186642449060653,87,186,01/20/2020,CVS,2019-10-08,17:16:00
65,.CVS200120P65,PUT,12.6,13.98,431,4099,0.02194250807049336,126,42,01/20/2020,CVS,2019-10-08,17:34:00
70,.CVS200120P70,PUT,13.6,14.98,35,1048,0.5343975731820931,3,19,01/20/2020,CVS,2019-10-08,17:34:00
65,.CVS200120C65,CALL,11.6,12.83,352,510,0.7190070473648318,167,133,01/20/2020,CVS,2019-10-08,17:34:00
70,.CVS200120C70,CALL,18.6,19.830000000000002,891,3341,0.7195028966761813,59,10,01/20/2020,CVS,2019-10-08,17:34:00
65,.CVS200120P65,PUT,9.6,10.98,868,1560,0.8612654825136818,109,191,01/20/2020,CVS,2019-10-08,17:36:00
70,.CVS200120P70,PUT,19.6,20.98,221,343,0.9869060525285049,193,69,01/20/2020,CVS,2019-10-08,17:36:00
65,.CVS200120C65,CALL,12.6,13.83,29,4487,0.784417140420947,51,36,01/20/2020,CVS,2019-10-08,17:36:00
70,.CVS200120C70,CALL,19.6,20.830000000000002,590,1995,0.9637929580540775,34,174,01/20/2020,CVS,2019-10-08,17:36:00
65,.CVS200120P65,PUT,13.6,14.98,801,1071,0.8042195957566545,47,181,01/20/2020,CVS,2019-10-08,17:43:00
70,.CVS200120P70,PUT,16.6,17.98,543,4032,0.5013099334184227,40,105,01/20/2020,CVS,2019-10-08,17:43:00
65,.CVS200120C65,CALL,7.6,8.83,865,508,0.6412549030438417,17,174,01/20/2020,CVS,2019-10-08,17:43:00
70,.CVS200120C70,CALL,19.6,20.830000000000002,41,601,0.3803918036652628,157,50,01/20/2020,CVS,2019-10-08,17:43:00
65,.CVS200120P65,PUT,13.6,14.98,221,4798,0.5361167752212764,10,21,01/20/2020,CVS,2019-10-08,17:47:00
70,.CVS200120P70,PUT,14.6,15.98,5,3741,0.39919462830177455,168,77,01/20/2020,CVS,2019-10-08,17:47:00
65,.CVS200120C65,CALL,10.6,11.83,539,669,0.9100511623123952,112,89,01/20/2020,CVS,2019-10-08,17:47:00
70,.CVS200120C70,CALL,12.6,13.83,276,2216,0.9137537211275523,170,35,01/20/2020,CVS,2019-10-08,17:47:00
65,.CVS200120P65,PUT,7.6,8.98,117,4112,0.8957378022960771,19,17,01/20/2020,CVS,2019-10-08,18:41:00
70,.CVS200120P70,PUT,18.6,19.98,539,1118,0.8368150663892973,93,14,01/20/2020,CVS,2019-10-08,18:41:00
65,.CVS200120C65,CALL,11.6,12.83,51,2438,0.0512272814429634,179,9,01/20/2020,CVS,2019-10-08,18:41:00
70,.CVS200120C70,CALL,16.6,17.830000000000002,468,2206,0.5039964021235621,114,27,01/20/2020,CVS,2019-10-08,18:41:00
65,.CVS200120P65,PUT,12.6,13.98,834,3240,0.8141826657169989,117,87,01/20/2020,CVS,2019-10-08,18:55:00
70,.CVS200120P70,PUT,19.6,20.98,11,3656,0.023886867282489677,71,152,01/20/2020,CVS,2019-10-08,18:55:00
65,.CVS200120C65,CALL,9.6,10.83,320,2915,0.9566799640670989,94,36,01/20/2020,CVS,2019-10-08,18:55:00
70,.CVS200120C70,CALL,15.6,16.83,701,1077,0.9603509037919367,115,64,01/20/2020,CVS,2019-10-08,18:55:00
65,.CVS200120P65,PUT,11.6,12.98,545,3903,0.915212136262955,85,73,01/20/2020,CVS,2019-10-08,19:01:00
70,.CVS200120P70,PUT,18.6,19.98,640,3633,0.8923035723197551,98,157,01/20/2020,CVS,2019-10-08,19:01:00
65,.CVS200120C65,CALL,12.6,13.83,182,153,0.0736165198098474,84,93,01/20/2020,CVS,2019-10-08,19:01:00
70,.CVS200120C70,CALL,14.6,15.83,884,3466,0.6126812777538619,41,197,01/20/2020,CVS,2019-10-08,19:01:00
65,.CVS200120P65,PUT,10.6,11.98,575,3964,0.10870110907864505,77,192,01/20/2020,CVS,2019-10-08,19:32:00
70,.CVS200120P70,PUT,14.6,15.98,3031,541,0.21155628608738164,26,154,01/20/2020,CVS,2019-10-08,19:32:00
65,.CVS200120C65,CALL,8.6,9.83,951,4268,0.45308576385835575,120,122,01/20/2020,CVS,2019-10-08,19:32:00
70,.CVS200120C70,CALL,14.6,15.83,382,450,0.6930858756346818,184,83,01/20/2020,CVS,2019-10-08,19:32:00
65,.CVS200120P65,PUT,10.6,11.98,625,3849,0.1519393675938373,61,57,01/20/2020,CVS,2019-10-08,19:36:00
70,.CVS200120P70,PUT,16.6,17.98,331,1207,0.11759276724331857,89,14,01/20/2020,CVS,2019-10-08,19:36:00
65,.CVS200120C65,CALL,7.6,8.83,203,2010,0.8223904426633736,158,177,01/20/2020,CVS,2019-10-08,19:36:00
70,.CVS200120C70,CALL,18.6,19.830000000000002,285,4396,0.24503077859913402,79,58,01/20/2020,CVS,2019-10-08,19:36:00
65,.CVS200120P65,PUT,10.6,11.98,861,1006,0.5933515310176279,78,105,01/20/2020,CVS,2019-10-09,06:11:00
70,.CVS200120P70,PUT,15.6,16.98,308,235,0.4573684709775163,17,170,01/20/2020,CVS,2019-10-09,06:11:00
65,.CVS200120C65,CALL,8.6,9.83,81,1109,0.2914681783756903,173,114,01/20/2020,CVS,2019-10-09,06:11:00
70,.CVS200120C70,CALL,16.6,17.830000000000002,984,627,0.5888714964528928,106,122,01/20/2020,CVS,2019-10-09,06:11:00
65,.CVS200120P65,PUT,9.6,10.98,600,1151,0.9740233045231924,190,160,01/20/2020,CVS,2019-10-09,07:22:00
70,.CVS200120P70,PUT,13.6,14.98,304,3519,0.6874569859624978,73,75,01/20/2020,CVS,2019-10-09,07:22:00
65,.CVS200120C65,CALL,9.6,10.83,417,4629,0.791459654115299,104,119,01/20/2020,CVS,2019-10-09,07:22:00
70,.CVS200120C70,CALL,13.6,14.83,267,2122,0.010435700244770474,79,29,01/20/2020,CVS,2019-10-09,07:22:00
65,.CVS200120P65,PUT,13.6,14.98,73,3249,0.29428131241140565,49,68,01/20/2020,CVS,2019-10-09,07:25:00
70,.CVS200120P70,PUT,18.6,19.98,602,2390,0.4685280019742212,197,184,01/20/2020,CVS,2019-10-09,07:25:00
65,.CVS200120C65,CALL,13.6,14.83,194,1867,0.27675018283344155,80,125,01/20/2020,CVS,2019-10-09,07:25:00
70,.CVS200120C70,CALL,14.6,15.83,145,1988,0.8861407853905207,39,34,01/20/2020,CVS,2019-10-09,07:25:00
65,.CVS200120P65,PUT,13.6,14.98,211,4271,0.726910782817591,50,58,01/20/2020,CVS,2019-10-09,08:00:00
70,.CVS200120P70,PUT,18.6,19.98,144,4682,0.995872501603616,100,98,01/20/2020,CVS,2019-10-09,08:00:00
65,.CVS200120C65,CALL,12.6,13.83,662,3546,0.9835723598995054,75,40,01/20/2020,CVS,2019-10-09,08:00:00
70,.CVS200120C70,CALL,13.6,14.83,536,3170,0.3765159924144095,162,154,01/20/2020,CVS,2019-10-09,08:00:00
65,.CVS200120P65,PUT,13.6,14.98,234,3016,0.2934364720890431,16,189,01/20/2020,CVS,2019-10-09,08:02:00
70,.CVS200120P70,PUT,12.6,13.98,699,4394,0.6594462899335578,43,128,01/20/2020,CVS,2019-10-09,08:02:00
65,.CVS200120C65,CALL,13.6,14.83,867,2536,0.08774665868297049,169,44,01/20/2020,CVS,2019-10-09,08:02:00
70,.CVS200120C70,CALL,15.6,16.83,215,2416,0.8780185267921075,15,175,01/20/2020,CVS,2019-10-09,08:02:00
65,.CVS200120P65,PUT,12.6,13.98,36,428,0.695494321413052,74,167,01/20/2020,CVS,2019-10-09,08:06:00
