o_strike,o_symbol,o_position,o_ask_price,o_bid_price,o_volume,o_open_interest,o_implied_volatility,o_ask_size,o_bid_size,o_expiry,ticker,curr_date,curr_time
85,.D200120P85,PUT,13.81,15.190000000000001,43,4306,0.3042797315860508,173,180,01/20/2020,D,2019-10-07,14:31:00
90,.D200120P90,PUT,16.81,18.189999999999998,367,4310,0.1901292415514313,20,30,01/20/2020,D,2019-10-07,14:31:00
85,.D200120C85,CALL,13.81,15.040000000000001,438,2101,0.9687147066082591,122,50,01/20/2020,D,2019-10-07,14:31:00
90,.D200120C90,CALL,12.81,14.040000000000001,7934,3433,0.3315108945260896,90,138,01/20/2020,D,2019-10-07,14:31:00
85,.D200120P85,PUT,13.81,15.190000000000001,709,1589,0.2935635128040778,23,76,01/20/2020,D,2019-10-07,15:05:00
90,.D200120P90,PUT,19.81,21.189999999999998,391,1757,0.7593222473611074,106,52,01/20/2020,D,2019-10-07,15:05:00
85,.D200120C85,CALL,7.81,9.04,804,510,0.22083977282548228,144,93,01/20/2020,D,2019-10-07,15:05:00
90,.D200120C90,CALL,15.81,17.04,587,8,0.23639438383373224,5,54,01/20/2020,D,2019-10-07,15:05:00
85,.D200120P85,PUT,7.81,9.19,629,3983,0.21748441437418753,128,199,01/20/2020,D,2019-10-07,15:06:00
90,.D200120P90,PUT,12.81,14.190000000000001,4981,4194,0.1680142323106073,60,49,01/20/2020,D,2019-10-07,15:06:00
85,.D200120C85,CALL,11.81,13.040000000000001,583,2738,0.5241279109454267,72,166,01/20/2020,D,2019-10-07,15:06:00
90,.D200120C90,CALL,16.81,18.04,533,3448,0.1890725106751483,83,29,01/20/2020,D,2019-10-07,15:06:00
85,.D200120P85,PUT,9.81,11.190000000000001,171,284,0.5962282931028428,58,17,01/20/2020,D,2019-10-07,15:07:00
90,.D200120P90,PUT,19.81,21.189999999999998,248,146,0.683682233702775,139,123,01/20/2020,D,2019-10-07,15:07:00
85,.D200120C85,CALL,14.81,16.04,301,4634,0.9238872894992166,65,77,01/20/2020,D,2019-10-07,15:07:00
90,.D200120C90,CALL,13.81,15.040000000000001,952,1100,0.09519921690201982,143,3,01/20/2020,D,2019-10-07,15:07:00
85,.D200120P85,PUT,10.81,12.190000000000001,950,1418,0.15769282879089153,148,45,01/20/2020,D,2019-10-07,15:08:00
90,.D200120P90,PUT,19.81,21.189999999999998,863,3590,0.7626514321451673,7,141,01/20/2020,D,2019-10-07,15:08:00
85,.D200120C85,CALL,11.81,13.040000000000001,514,313,0.5785092123738568,135,172,01/20/2020,D,2019-10-07,15:08:00
90,.D200120C90,CALL,13.81,15.040000000000001,551,4711,0.01642497264270637,8,62,01/20/2020,D,2019-10-07,15:08:00
85,.D200120P85,PUT,8.81,10.190000000000001,331,1702,0.9454421810171304,166,12,01/20/2020,D,2019-10-07,15:09:00
90,.D200120P90,PUT,17.81,19.189999999999998,407,3537,0.02330679912535205,55,27,01/20/2020,D,2019-10-07,15:09:00
85,.D200120C85,CALL,8.81,10.040000000000001,247,2713,0.22827205926730498,108,29,01/20/2020,D,2019-10-07,15:09:00
90,.D200120C90,CALL,16.81,18.04,530,4531,0.6497267704041003,105,84,01/20/2020,D,2019-10-07,15:09:00
85,.D200120P85,PUT,13.81,15.190000000000001,994,2338,0.7894012656396253,89,141,01/20/2020,D,2019-10-07,15:10:00
90,.D200120P90,PUT,17.81,19.189999999999998,680,3406,0.3547360781754887,91,181,01/20/2020,D,2019-10-07,15:10:00
85,.D200120C85,CALL,12.81,14.040000000000001,60,2242,0.9424167019701926,119,196,01/20/2020,D,2019-10-07,15:10:00
90,.D200120C90,CALL,15.81,17.04,691,2141,0.25176816017658077,65,39,01/20/2020,D,2019-10-07,15:10:00
85,.D200120P85,PUT,7.81,9.19,857,4300,0.17492663028374256,33,118,01/20/2020,D,2019-10-07,15:11:00
90,.D200120P90,PUT,17.81,19.189999999999998,858,750,0.18996349861467265,127,8,01/20/2020,D,2019-10-07,15:11:00
85,.D200120C85,CALL,14.81,16.04,179,3626,0.6393803032556815,90,59,01/20/2020,D,2019-10-07,15:11:00
90,.D200120C90,CALL,14.81,16.04,914,4691,0.9055491330595099,53,172,01/20/2020,D,2019-10-07,15:11:00
85,.D200120P85,PUT,14.81,16.19,886,647,0.16627771934967372,83,179,01/20/2020,D,2019-10-07,15:12:00
90,.D200120P90,PUT,19.81,21.189999999999998,885,4328,0.7871780885171806,32,26,01/20/2020,D,2019-10-07,15:12:00
85,.D200120C85,CALL,9.81,11.040000000000001,242,4081,0.029658937038001598,81,31,01/20/2020,D,2019-10-07,15:12:00
