o_strike,o_symbol,o_position,o_ask_price,o_bid_price,o_volume,o_open_interest,o_implied_volatility,o_ask_size,o_bid_size,o_expiry,ticker,curr_date,curr_time
270,.DIA200120P270,PUT,12.63,14.010000000000002,661,964,0.7756978801964783,128,156,01/20/2020,DIA,2019-10-09,15:00:00
275,.DIA200120P275,PUT,19.63,21.009999999999998,750,2000,0.04086810145171127,149,173,01/20/2020,DIA,2019-10-09,15:00:00
270,.DIA200120C270,CALL,9.63,10.860000000000001,547,1600,0.11122322710902732,91,82,01/20/2020,DIA,2019-10-09,15:00:00
275,.DIA200120C275,CALL,14.63,15.860000000000001,975,1324,0.9808103484052886,60,185,01/20/2020,DIA,2019-10-09,15:00:00
270,.DIA200120P270,PUT,15.63,17.01,251,4881,0.3582303511956888,126,142,01/20/2020,DIA,2019-10-09,14:55:00
275,.DIA200120P275,PUT,14.63,16.01,714,2383,0.13625121664433348,108,155,01/20/2020,DIA,2019-10-09,14:55:00
270,.DIA200120C270,CALL,14.63,15.860000000000001,275,4510,0.010813086328891108,133,162,01/20/2020,DIA,2019-10-09,14:55:00
275,.DIA200120C275,CALL,14.63,15.860000000000001,65,2381,0.8035226735007726,193,121,01/20/2020,DIA,2019-10-09,14:55:00
270,.DIA200120P270,PUT,9.63,11.010000000000002,488,4456,0.023521429189390486,119,174,01/20/2020,DIA,2019-10-09,14:56:00
275,.DIA200120P275,PUT,15.63,17.01,897,1152,0.07016487637700342,11,146,01/20/2020,DIA,2019-10-09,14:56:00
270,.DIA200120C270,CALL,16.63,17.86,535,4051,0.22160622261405283,106,42,01/20/2020,DIA,2019-10-09,14:56:00
275,.DIA200120C275,CALL,20.63,21.86,54,456,0.19582526825396895,43,189,01/20/2020,DIA,2019-10-09,14:56:00
270,.DIA200120P270,PUT,13.63,15.010000000000002,17,954,0.6755873423197941,188,192,01/20/2020,DIA,2019-10-09,14:57:00
275,.DIA200120P275,PUT,17.63,19.009999999999998,460,927,0.9281552496193153,22,136,01/20/2020,DIA,2019-10-09,14:57:00
270,.DIA200120C270,CALL,10.63,11.860000000000001,244,1828,0.17406351618204285,183,52,01/20/2020,DIA,2019-10-09,14:57:00
275,.DIA200120C275,CALL,20.63,21.86,996,4927,0.2624113876176668,106,177,01/20/2020,DIA,2019-10-09,14:57:00
270,.DIA200120P270,PUT,12.63,14.010000000000002,805,12,0.31242028424749235,197,73,01/20/2020,DIA,2019-10-09,14:58:00
275,.DIA200120P275,PUT,19.63,21.009999999999998,223,1122,0.7490745224549585,102,53,01/20/2020,DIA,2019-10-09,14:58:00
270,.DIA200120C270,CALL,13.63,14.860000000000001,50,4907,0.0071939617776826115,147,149,01/20/2020,DIA,2019-10-09,14:58:00
275,.DIA200120C275,CALL,19.63,20.86,561,2420,0.20437379844136527,183,49,01/20/2020,DIA,2019-10-09,14:58:00
270,.DIA200120P270,PUT,13.63,15.010000000000002,668,954,0.691653890224142,172,65,01/20/2020,DIA,2019-10-09,14:59:00
275,.DIA200120P275,PUT,17.63,19.009999999999998,932,3714,0.6047643006823634,9,122,01/20/2020,DIA,2019-10-09,14:59:00
270,.DIA200120C270,CALL,13.63,14.860000000000001,443,3601,0.1470122263837328,131,177,01/20/2020,DIA,2019-10-09,14:59:00
275,.DIA200120C275,CALL,17.63,18.86,39,1637,0.06247258553615875,22,121,01/20/2020,DIA,2019-10-09,14:59:00
265,.DIA200120P265,PUT,14.61,15.989999999999998,445,4488,0.9188829550924553,28,168,01/20/2020,DIA,2019-10-09,18:33:00
270,.DIA200120P270,PUT,16.61,17.99,363,3531,0.10510281207654981,8,1,01/20/2020,DIA,2019-10-09,18:33:00
265,.DIA200120C265,CALL,12.61,13.84,168,2799,0.8231875478097078,92,87,01/20/2020,DIA,2019-10-09,18:33:00
270,.DIA200120C270,CALL,21.61,22.84,651,1123,0.8157877898658183,149,106,01/20/2020,DIA,2019-10-09,18:33:00
265,.DIA200120P265,PUT,10.6,11.98,8602,2724,0.013949726530408935,24,2,01/20/2020,DIA,2019-10-09,18:34:00
270,.DIA200120P270,PUT,14.6,15.98,847,2913,0.7384892097833081,157,172,01/20/2020,DIA,2019-10-09,18:34:00
265,.DIA200120C265,CALL,9.6,10.83,4,3426,0.6799946956820132,166,162,01/20/2020,DIA,2019-10-09,18:34:00
270,.DIA200120C270,CALL,20.6,21.830000000000002,901,4615,0.7553867895540317,20,13,01/20/2020,DIA,2019-10-09,18:34:00
265,.DIA200120P265,PUT,16.6,17.98,990,1220,0.3056972374124647,105,88,01/20/2020,DIA,2019-10-09,18:35:00
270,.DIA200120P270,PUT,14.6,15.98,782,2375,0.7156780938156999,72,199,01/20/2020,DIA,2019-10-09,18:35:00
265,.DIA200120C265,CALL,15.6,16.83,930,3874,0.025730912334398615,29,38,01/20/2020,DIA,2019-10-09,18:35:00
270,.DIA200120C270,CALL,15.6,16.83,508,2382,0.8448948940047808,116,120,01/20/2020,DIA,2019-10-09,18:35:00
265,.DIA200120P265,PUT,15.6,16.98,826,373,0.9307033150754566,8,65,01/20/2020,DIA,2019-10-09,18:36:00
270,.DIA200120P270,PUT,19.6,20.98,100,3861,0.5632572878021602,128,192,01/20/2020,DIA,2019-10-09,18:36:00
265,.DIA200120C265,CALL,9.6,10.83,391,2884,0.1443831020544586,95,156,01/20/2020,DIA,2019-10-09,18:36:00
270,.DIA200120C270,CALL,17.6,18.830000000000002,791,2090,0.239713068620105,167,107,01/20/2020,DIA,2019-10-09,18:36:00
265,.DIA200120P265,PUT,13.6,14.98,970,4233,0.32743059856369083,75,68,01/20/2020,DIA,2019-10-09,18:37:00
270,.DIA200120P270,PUT,20.6,21.98,279,2754,0.6073253088029545,166,60,01/20/2020,DIA,2019-10-09,18:37:00
265,.DIA200120C265,CALL,9.6,10.83,144,1724,0.1268589942224988,80,37,01/20/2020,DIA,2019-10-09,18:37:00
270,.DIA200120C270,CALL,14.6,15.83,419,1637,0.032475725012570344,186,114,01/20/2020,DIA,2019-10-09,18:37:00
265,.DIA200120P265,PUT,9.6,10.98,32,3800,0.9331310939385121,114,45,01/20/2020,DIA,2019-10-09,18:38:00
270,.DIA200120P270,PUT,16.6,17.98,815,1,0.8566381657526297,163,160,01/20/2020,DIA,2019-10-09,18:38:00
265,.DIA200120C265,CALL,16.6,17.830000000000002,884,144,0.3570762620059227,152,64,01/20/2020,DIA,2019-10-09,18:38:00
270,.DIA200120C270,CALL,18.6,19.830000000000002,694,2016,0.4479121096694082,94,97,01/20/2020,DIA,2019-10-09,18:38:00
265,.DIA200120P265,PUT,11.6,12.98,803,708,0.005171772657001972,97,103,01/20/2020,DIA,2019-10-09,18:40:00
270,.DIA200120P270,PUT,19.6,20.98,969,4771,0.49927600580889475,130,123,01/20/2020,DIA,2019-10-09,18:40:00
265,.DIA200120C265,CALL,16.6,17.830000000000002,297,2581,0.1185997399886436,105,66,01/20/2020,DIA,2019-10-09,18:40:00
270,.DIA200120C270,CALL,14.6,15.83,389,4137,0.5118188345040159,96,141,01/20/2020,DIA,2019-10-09,18:40:00
265,.DIA200120P265,PUT,12.6,13.98,897,262,0.3667852567851466,64,186,01/20/2020,DIA,2019-10-09,18:41:00
270,.DIA200120P270,PUT,21.6,22.98,930,2183,0.008466475944743035,7,97,01/20/2020,DIA,2019-10-09,18:41:00
265,.DIA200120C265,CALL,10.6,11.83,927,1888,0.22667748989064018,113,118,01/20/2020,DIA,2019-10-09,18:41:00
270,.DIA200120C270,CALL,17.6,18.830000000000002,584,1988,0.24948307021036886,195,167,01/20/2020,DIA,2019-10-09,18:41:00
265,.DIA200120P265,PUT,14.6,15.98,467,1372,0.6903801753403589,49,13,01/20/2020,DIA,2019-10-09,18:42:00
270,.DIA200120P270,PUT,14.6,15.98,58,3242,0.4936529424227294,77,156,01/20/2020,DIA,2019-10-09,18:42:00
