o_strike,o_symbol,o_position,o_ask_price,o_bid_price,o_volume,o_open_interest,o_implied_volatility,o_ask_size,o_bid_size,o_expiry,ticker,curr_date,curr_time
135,.DIS200120P135,PUT,10.29,11.669999999999998,70,182,0.41739394545725395,23,159,01/20/2020,DIS,2019-10-15,10:37:00
140,.DIS200120P140,PUT,20.29,21.669999999999998,721,400,0.6544597718234407,153,138,01/20/2020,DIS,2019-10-15,10:37:00
135,.DIS200120C135,CALL,10.29,11.52,786,4341,0.7245439303266638,30,72,01/20/2020,DIS,2019-10-15,10:37:00
140,.DIS200120C140,CALL,17.29,18.52,376,55,0.2491580398650095,156,129,01/20/2020,DIS,2019-10-15,10:37:00
135,.DIS200120P135,PUT,12.29,13.669999999999998,278,3823,0.5462860647515829,86,194,01/20/2020,DIS,2019-10-10,10:41:00
140,.DIS200120P140,PUT,19.29,20.669999999999998,886,115,0.12138364894170917,60,30,01/20/2020,DIS,2019-10-10,10:41:00
135,.DIS200120C135,CALL,12.29,13.52,449,2552,0.8143582718023875,195,66,01/20/2020,DIS,2019-10-10,10:41:00
140,.DIS200120C140,CALL,18.29,19.52,141,1732,0.4823967206426828,33,83,01/20/2020,DIS,2019-10-10,10:41:00
135,.DIS200120P135,PUT,14.29,15.669999999999998,839,3042,0.5749809231887626,70,53,01/20/2020,DIS,2019-10-10,10:42:00
140,.DIS200120P140,PUT,20.29,21.669999999999998,653,3322,0.437420318051568,164,101,01/20/2020,DIS,2019-10-10,10:42:00
135,.DIS200120C135,CALL,11.29,12.52,388,2748,0.5033515245728087,140,52,01/20/2020,DIS,2019-10-10,10:42:00
140,.DIS200120C140,CALL,17.29,18.52,178,4629,0.6238371303985145,135,134,01/20/2020,DIS,2019-10-10,10:42:00
135,.DIS200120P135,PUT,13.29,14.669999999999998,699,1273,0.3346571772453206,65,102,01/20/2020,DIS,2019-10-10,10:43:00
140,.DIS200120P140,PUT,17.29,18.669999999999998,724,884,0.28809925858168983,152,111,01/20/2020,DIS,2019-10-10,10:43:00
135,.DIS200120C135,CALL,11.29,12.52,703,4767,0.08412119941562657,187,21,01/20/2020,DIS,2019-10-10,10:43:00
140,.DIS200120C140,CALL,20.29,21.52,769,4350,0.7403489177877223,108,6,01/20/2020,DIS,2019-10-10,10:43:00
135,.DIS200120P135,PUT,10.29,11.669999999999998,131,701,0.1750842443090529,100,159,01/20/2020,DIS,2019-10-10,10:44:00
140,.DIS200120P140,PUT,16.29,17.669999999999998,104,35,0.9969995635194921,2,139,01/20/2020,DIS,2019-10-10,10:44:00
135,.DIS200120C135,CALL,9.29,10.52,833,4524,0.18323775968999234,176,184,01/20/2020,DIS,2019-10-10,10:44:00
140,.DIS200120C140,CALL,20.29,21.52,791,4782,0.030477535666789235,175,99,01/20/2020,DIS,2019-10-10,10:44:00
