o_strike,o_symbol,o_position,o_ask_price,o_bid_price,o_volume,o_open_interest,o_implied_volatility,o_ask_size,o_bid_size,o_expiry,ticker,curr_date,curr_time
40,.GM200120P40,PUT,7.33,8.71,227,1625,0.09509670787119551,19,196,01/20/2020,GM,2019-10-09,09:29:00
45,.GM200120P45,PUT,15.33,16.71,148,666,0.9372942522060698,111,20,01/20/2020,GM,2019-10-09,09:29:00
40,.GM200120C40,CALL,7.33,8.56,161,2595,0.023448521381540854,152,199,01/20/2020,GM,2019-10-09,09:29:00
45,.GM200120C45,CALL,15.33,16.56,772,2257,0.283412549627712,176,2,01/20/2020,GM,2019-10-09,09:29:00
40,.GM200120P40,PUT,7.34,8.719999999999999,877,4998,0.0634438051022993,75,85,01/20/2020,GM,2019-10-09,10:24:00
45,.GM200120P45,PUT,14.34,15.719999999999999,856,806,0.8679477762405228,143,122,01/20/2020,GM,2019-10-09,10:24:00
40,.GM200120C40,CALL,7.34,8.57,528,1444,0.34894293271079946,122,184,01/20/2020,GM,2019-10-09,10:24:00
45,.GM200120C45,CALL,19.34,20.57,376,3560,0.5316907642908453,137,10,01/20/2020,GM,2019-10-09,10:24:00
40,.GM200120P40,PUT,12.34,13.719999999999999,887,1113,0.1721112066107614,166,104,01/20/2020,GM,2019-10-09,10:25:00
45,.GM200120P45,PUT,16.34,17.72,318,3623,0.8249766715110831,79,176,01/20/2020,GM,2019-10-09,10:25:00
40,.GM200120C40,CALL,14.34,15.57,734,108,0.8364563492506722,82,84,01/20/2020,GM,2019-10-09,10:25:00
45,.GM200120C45,CALL,14.34,15.57,533,2438,0.06677367713071192,55,11,01/20/2020,GM,2019-10-09,10:25:00
40,.GM200120P40,PUT,11.34,12.719999999999999,232,4364,0.7996921276534503,73,126,01/20/2020,GM,2019-10-09,10:26:00
45,.GM200120P45,PUT,12.34,13.719999999999999,165,3723,0.7052835015224266,155,194,01/20/2020,GM,2019-10-09,10:26:00
40,.GM200120C40,CALL,14.34,15.57,630,4583,0.9634792742408281,162,13,01/20/2020,GM,2019-10-09,10:26:00
45,.GM200120C45,CALL,19.34,20.57,472,2632,0.07117333145387483,121,105,01/20/2020,GM,2019-10-09,10:26:00
40,.GM200120P40,PUT,10.34,11.719999999999999,80,829,0.7373192340236937,24,124,01/20/2020,GM,2019-10-09,10:27:00
45,.GM200120P45,PUT,14.34,15.719999999999999,345,1402,0.7584808207568704,168,138,01/20/2020,GM,2019-10-09,10:27:00
40,.GM200120C40,CALL,8.34,9.57,244,788,0.44927693979598915,193,95,01/20/2020,GM,2019-10-09,10:27:00
45,.GM200120C45,CALL,15.34,16.57,744,195,0.7150695298646144,5,77,01/20/2020,GM,2019-10-09,10:27:00
40,.GM200120P40,PUT,10.34,11.719999999999999,730,1586,0.5120912503605425,148,166,01/20/2020,GM,2019-10-09,10:28:00
45,.GM200120P45,PUT,18.34,19.72,207,3994,0.860034173892757,78,35,01/20/2020,GM,2019-10-09,10:28:00
40,.GM200120C40,CALL,13.34,14.57,397,4158,0.9810226821938555,97,50,01/20/2020,GM,2019-10-09,10:28:00
45,.GM200120C45,CALL,17.34,18.57,653,2561,0.3061850010599739,124,183,01/20/2020,GM,2019-10-09,10:28:00
40,.GM200120P40,PUT,11.34,12.719999999999999,951,1347,0.9202739690716725,154,196,01/20/2020,GM,2019-10-09,10:29:00
