o_strike,o_symbol,o_position,o_ask_price,o_bid_price,o_volume,o_open_interest,o_implied_volatility,o_ask_size,o_bid_size,o_expiry,ticker,curr_date,curr_time
205,.GS200120P205,PUT,10.98,12.36,174,2150,0.3823642625706887,130,138,01/20/2020,GS,2019-10-08,14:04:00
210,.GS200120P210,PUT,20.98,22.36,6713,1812,0.9257645970120101,48,36,01/20/2020,GS,2019-10-08,14:04:00
205,.GS200120C205,CALL,14.98,16.21,497,4831,0.22890847425689953,196,40,01/20/2020,GS,2019-10-08,14:04:00
210,.GS200120C210,CALL,15.98,17.21,573,1293,0.7081784601252079,158,19,01/20/2020,GS,2019-10-08,14:04:00
205,.GS200120P205,PUT,13.98,15.36,374,153,0.16030689369528617,107,20,01/20/2020,GS,2019-10-08,13:51:00
210,.GS200120P210,PUT,20.98,22.36,15,69,0.5266116744707109,74,122,01/20/2020,GS,2019-10-08,13:51:00
205,.GS200120C205,CALL,8.98,10.21,304,876,0.6320461103383257,140,101,01/20/2020,GS,2019-10-08,13:51:00
210,.GS200120C210,CALL,14.98,16.21,503,4767,0.45200169222391307,112,38,01/20/2020,GS,2019-10-08,13:51:00
205,.GS200120P205,PUT,9.98,11.36,161,4770,0.11704361130149477,141,57,01/20/2020,GS,2019-10-08,13:52:00
210,.GS200120P210,PUT,20.98,22.36,134,657,0.3146341283721158,160,100,01/20/2020,GS,2019-10-08,13:52:00
205,.GS200120C205,CALL,11.98,13.21,193,711,0.4751813264261934,196,177,01/20/2020,GS,2019-10-08,13:52:00
210,.GS200120C210,CALL,17.98,19.21,146,75,0.37227411434800795,99,186,01/20/2020,GS,2019-10-08,13:52:00
205,.GS200120P205,PUT,15.98,17.36,61,4263,0.16618319596739317,159,13,01/20/2020,GS,2019-10-08,13:53:00
210,.GS200120P210,PUT,15.98,17.36,504,991,0.9033522167143454,27,175,01/20/2020,GS,2019-10-08,13:53:00
205,.GS200120C205,CALL,9.98,11.21,786,4370,0.22663059655744344,29,97,01/20/2020,GS,2019-10-08,13:53:00
210,.GS200120C210,CALL,17.98,19.21,808,4068,0.37154824155355126,75,97,01/20/2020,GS,2019-10-08,13:53:00
205,.GS200120P205,PUT,14.98,16.36,345,1322,0.9056577574215676,96,49,01/20/2020,GS,2019-10-08,13:54:00
210,.GS200120P210,PUT,16.98,18.36,836,217,0.21839275487107923,61,145,01/20/2020,GS,2019-10-08,13:54:00
205,.GS200120C205,CALL,8.98,10.21,122,467,0.2799473999559656,31,56,01/20/2020,GS,2019-10-08,13:54:00
210,.GS200120C210,CALL,20.98,22.21,338,2706,0.5221224536228001,63,133,01/20/2020,GS,2019-10-08,13:54:00
205,.GS200120P205,PUT,15.98,17.36,840,3823,0.058976174582892504,173,143,01/20/2020,GS,2019-10-08,13:55:00
210,.GS200120P210,PUT,17.98,19.36,219,2167,0.09223553347627444,193,184,01/20/2020,GS,2019-10-08,13:55:00
205,.GS200120C205,CALL,11.98,13.21,160,1100,0.7229964375302653,80,184,01/20/2020,GS,2019-10-08,13:55:00
210,.GS200120C210,CALL,18.98,20.21,7545,2482,0.4107721415046406,16,183,01/20/2020,GS,2019-10-08,13:55:00
205,.GS200120P205,PUT,10.98,12.36,325,71,0.011212406473439573,138,136,01/20/2020,GS,2019-10-08,13:56:00
210,.GS200120P210,PUT,14.98,16.36,616,1825,0.47743648211219003,130,90,01/20/2020,GS,2019-10-08,13:56:00
205,.GS200120C205,CALL,13.98,15.21,441,3541,0.5195808922507215,107,128,01/20/2020,GS,2019-10-08,13:56:00
210,.GS200120C210,CALL,13.98,15.21,176,2395,0.9323406881514885,40,14,01/20/2020,GS,2019-10-08,13:56:00
205,.GS200120P205,PUT,9.98,11.36,641,789,0.7452183612934912,44,113,01/20/2020,GS,2019-10-08,13:57:00
210,.GS200120P210,PUT,14.98,16.36,665,4819,0.9975656946414808,50,24,01/20/2020,GS,2019-10-08,13:57:00
205,.GS200120C205,CALL,10.98,12.21,753,4131,0.6160457393455844,103,81,01/20/2020,GS,2019-10-08,13:57:00
210,.GS200120C210,CALL,20.98,22.21,478,216,0.5568472921943973,107,135,01/20/2020,GS,2019-10-08,13:57:00
205,.GS200120P205,PUT,8.98,10.36,967,3439,0.8651931965781601,119,165,01/20/2020,GS,2019-10-08,13:58:00
