o_strike,o_symbol,o_position,o_ask_price,o_bid_price,o_volume,o_open_interest,o_implied_volatility,o_ask_size,o_bid_size,o_expiry,ticker,curr_date,curr_time
240,.HD200120P240,PUT,13.35,14.73,770,236,0.9507487925236768,171,45,01/20/2020,HD,2019-10-11,11:13:00
245,.HD200120P245,PUT,21.35,22.73,981,4023,0.02593113778164391,3,51,01/20/2020,HD,2019-10-11,11:13:00
240,.HD200120C240,CALL,16.35,17.580000000000002,375,1320,0.14263520682421837,14,42,01/20/2020,HD,2019-10-11,11:13:00
245,.HD200120C245,CALL,18.35,19.580000000000002,929,2932,0.42657135553389414,42,161,01/20/2020,HD,2019-10-11,11:13:00
230,.HD200120P230,PUT,16.26,17.64,598,3884,0.4347426202606417,55,63,01/20/2020,HD,2019-10-08,10:00:00
235,.HD200120P235,PUT,21.26,22.64,159,3178,0.6218768476797292,32,92,01/20/2020,HD,2019-10-08,10:00:00
230,.HD200120C230,CALL,12.26,13.49,627,477,0.37763074953119413,132,9,01/20/2020,HD,2019-10-08,10:00:00
235,.HD200120C235,CALL,14.26,15.49,389,4607,0.04026387428127687,39,49,01/20/2020,HD,2019-10-08,10:00:00
230,.HD200120P230,PUT,16.26,17.64,340,1701,0.14228550691193065,120,128,01/20/2020,HD,2019-10-08,10:01:00
235,.HD200120P235,PUT,19.26,20.64,95,4540,0.9774324994369499,113,40,01/20/2020,HD,2019-10-08,10:01:00
230,.HD200120C230,CALL,12.26,13.49,533,234,0.29997071395900754,156,162,01/20/2020,HD,2019-10-08,10:01:00
235,.HD200120C235,CALL,21.26,22.490000000000002,475,4172,0.8451928718893734,185,154,01/20/2020,HD,2019-10-08,10:01:00
230,.HD200120P230,PUT,11.25,12.629999999999999,747,730,0.017674593182666842,19,66,01/20/2020,HD,2019-10-08,10:02:00
235,.HD200120P235,PUT,17.25,18.63,921,4909,0.7914980807621755,25,88,01/20/2020,HD,2019-10-08,10:02:00
230,.HD200120C230,CALL,10.25,11.48,765,3478,0.03497021456425764,122,129,01/20/2020,HD,2019-10-08,10:02:00
235,.HD200120C235,CALL,20.25,21.48,106,386,0.6121347511462559,136,58,01/20/2020,HD,2019-10-08,10:02:00
230,.HD200120P230,PUT,10.26,11.64,627,289,0.248310573551367,83,160,01/20/2020,HD,2019-10-08,10:03:00
235,.HD200120P235,PUT,20.26,21.64,984,1344,0.4047383565355397,142,196,01/20/2020,HD,2019-10-08,10:03:00
230,.HD200120C230,CALL,13.26,14.49,255,1385,0.5799431576086367,63,138,01/20/2020,HD,2019-10-08,10:03:00
235,.HD200120C235,CALL,17.26,18.490000000000002,94,574,0.7033131881714457,170,152,01/20/2020,HD,2019-10-08,10:03:00
230,.HD200120P230,PUT,13.26,14.64,720,2759,0.1538718940522289,168,127,01/20/2020,HD,2019-10-08,10:04:00
235,.HD200120P235,PUT,15.26,16.64,585,1096,0.7744248130678749,25,12,01/20/2020,HD,2019-10-08,10:04:00
230,.HD200120C230,CALL,13.26,14.49,182,1395,0.36882132316436567,55,37,01/20/2020,HD,2019-10-08,10:04:00
235,.HD200120C235,CALL,16.26,17.490000000000002,944,1638,0.3301034665160959,107,129,01/20/2020,HD,2019-10-08,10:04:00
230,.HD200120P230,PUT,12.26,13.64,896,2026,0.6452802910351396,100,11,01/20/2020,HD,2019-10-08,10:05:00
235,.HD200120P235,PUT,15.26,16.64,919,2523,0.44332299665983366,103,179,01/20/2020,HD,2019-10-08,10:05:00
230,.HD200120C230,CALL,11.26,12.49,656,2255,0.43361541535325754,119,133,01/20/2020,HD,2019-10-08,10:05:00
235,.HD200120C235,CALL,16.26,17.490000000000002,663,634,0.4920017478807487,88,169,01/20/2020,HD,2019-10-08,10:05:00
230,.HD200120P230,PUT,9.26,10.64,917,816,0.22004363430879859,162,38,01/20/2020,HD,2019-10-08,10:06:00
235,.HD200120P235,PUT,21.26,22.64,581,4480,0.4768693490511775,199,70,01/20/2020,HD,2019-10-08,10:06:00
230,.HD200120C230,CALL,14.26,15.49,26,3538,0.09868926894974539,182,49,01/20/2020,HD,2019-10-08,10:06:00
235,.HD200120C235,CALL,14.26,15.49,785,3736,0.9082096511604728,72,134,01/20/2020,HD,2019-10-08,10:06:00
230,.HD200120P230,PUT,14.26,15.64,194,4136,0.7754652496445074,88,140,01/20/2020,HD,2019-10-08,10:07:00
235,.HD200120P235,PUT,16.26,17.64,185,1470,0.7924931847058739,191,145,01/20/2020,HD,2019-10-08,10:07:00
230,.HD200120C230,CALL,9.26,10.49,371,2746,0.466120668586291,36,127,01/20/2020,HD,2019-10-08,10:07:00
235,.HD200120C235,CALL,20.26,21.490000000000002,958,4734,0.03274520861126706,128,125,01/20/2020,HD,2019-10-08,10:07:00
230,.HD200120P230,PUT,15.26,16.64,128,488,0.33389179485753895,9,181,01/20/2020,HD,2019-10-08,10:08:00
235,.HD200120P235,PUT,20.26,21.64,673,4256,0.4253799617283752,140,32,01/20/2020,HD,2019-10-08,10:08:00
230,.HD200120C230,CALL,10.26,11.49,871,2723,0.7826200730979649,161,28,01/20/2020,HD,2019-10-08,10:08:00
235,.HD200120C235,CALL,17.26,18.490000000000002,752,2808,0.6193121528654699,178,3,01/20/2020,HD,2019-10-08,10:08:00
230,.HD200120P230,PUT,14.26,15.64,202,2862,0.8505643361734582,125,68,01/20/2020,HD,2019-10-08,10:09:00
235,.HD200120P235,PUT,20.26,21.64,959,3759,0.49110053391427966,155,106,01/20/2020,HD,2019-10-08,10:09:00
230,.HD200120C230,CALL,9.26,10.49,835,2732,0.2207137264153215,119,52,01/20/2020,HD,2019-10-08,10:09:00
235,.HD200120C235,CALL,20.26,21.490000000000002,140,3324,0.8851383315785832,117,142,01/20/2020,HD,2019-10-08,10:09:00
230,.HD200120P230,PUT,15.26,16.64,662,4726,0.3366972474864227,194,94,01/20/2020,HD,2019-10-08,10:10:00
235,.HD200120P235,PUT,15.26,16.64,173,4658,0.8170449172522618,7,89,01/20/2020,HD,2019-10-08,10:10:00
230,.HD200120C230,CALL,12.26,13.49,279,2205,0.8636602760223197,96,164,01/20/2020,HD,2019-10-08,10:10:00
235,.HD200120C235,CALL,16.26,17.490000000000002,694,4681,0.5583629823342273,173,173,01/20/2020,HD,2019-10-08,10:10:00
230,.HD200120P230,PUT,10.26,11.64,228,2718,0.849577047340781,120,159,01/20/2020,HD,2019-10-08,10:11:00
235,.HD200120P235,PUT,17.26,18.64,869,3454,0.474950304569965,56,146,01/20/2020,HD,2019-10-08,10:11:00
230,.HD200120C230,CALL,13.26,14.49,954,1650,0.3645430715595569,144,83,01/20/2020,HD,2019-10-08,10:11:00
235,.HD200120C235,CALL,19.26,20.490000000000002,521,963,0.08839689286963259,111,80,01/20/2020,HD,2019-10-08,10:11:00
230,.HD200120P230,PUT,10.26,11.64,464,3312,0.763664100642619,171,19,01/20/2020,HD,2019-10-08,10:12:00
235,.HD200120P235,PUT,14.26,15.64,948,3263,0.02301977640717323,11,66,01/20/2020,HD,2019-10-08,10:12:00
230,.HD200120C230,CALL,15.26,16.49,647,3749,0.8676009361307396,111,94,01/20/2020,HD,2019-10-08,10:12:00
235,.HD200120C235,CALL,17.26,18.490000000000002,911,2023,0.09244209700772987,115,135,01/20/2020,HD,2019-10-08,10:12:00
230,.HD200120P230,PUT,16.26,17.64,807,4376,0.17996320110290753,63,161,01/20/2020,HD,2019-10-08,10:13:00
235,.HD200120P235,PUT,21.26,22.64,756,837,0.2968291151813396,32,22,01/20/2020,HD,2019-10-08,10:13:00
230,.HD200120C230,CALL,9.26,10.49,179,2616,0.07250402169627268,149,191,01/20/2020,HD,2019-10-08,10:13:00
235,.HD200120C235,CALL,17.26,18.490000000000002,137,4271,0.46508897209234856,4,17,01/20/2020,HD,2019-10-08,10:13:00
230,.HD200120P230,PUT,9.26,10.64,713,4490,0.3182280924828066,34,147,01/20/2020,HD,2019-10-08,10:14:00
235,.HD200120P235,PUT,17.26,18.64,964,4537,0.892532943097629,122,160,01/20/2020,HD,2019-10-08,10:14:00
230,.HD200120C230,CALL,11.26,12.49,251,2550,0.7971084826065096,53,83,01/20/2020,HD,2019-10-08,10:14:00
235,.HD200120C235,CALL,15.26,16.49,777,1520,0.7503291723939324,182,164,01/20/2020,HD,2019-10-08,10:14:00
230,.HD200120P230,PUT,16.26,17.64,122,2181,0.4266779408203789,17,22,01/20/2020,HD,2019-10-08,10:15:00
235,.HD200120P235,PUT,16.26,17.64,704,2388,0.8101868073857093,194,107,01/20/2020,HD,2019-10-08,10:15:00
230,.HD200120C230,CALL,13.26,14.49,626,3619,0.8706359776165773,168,145,01/20/2020,HD,2019-10-08,10:15:00
235,.HD200120C235,CALL,18.26,19.490000000000002,71,4023,0.7431960521798696,86,12,01/20/2020,HD,2019-10-08,10:15:00
230,.HD200120P230,PUT,14.26,15.64,902,840,0.6148866398864489,53,31,01/20/2020,HD,2019-10-08,10:16:00
235,.HD200120P235,PUT,15.26,16.64,150,4463,0.06117093071031232,129,64,01/20/2020,HD,2019-10-08,10:16:00
230,.HD200120C230,CALL,13.26,14.49,598,3385,0.8903167594703847,97,142,01/20/2020,HD,2019-10-08,10:16:00
235,.HD200120C235,CALL,15.26,16.49,819,1292,0.6008844282995639,77,173,01/20/2020,HD,2019-10-08,10:16:00
230,.HD200120P230,PUT,11.26,12.64,998,4075,0.23586819003907034,77,38,01/20/2020,HD,2019-10-08,10:17:00
235,.HD200120P235,PUT,14.26,15.64,992,2112,0.2484764038310352,55,19,01/20/2020,HD,2019-10-08,10:17:00
230,.HD200120C230,CALL,13.26,14.49,68,1966,0.5641870001116362,71,169,01/20/2020,HD,2019-10-08,10:17:00
235,.HD200120C235,CALL,16.26,17.490000000000002,403,3460,0.9006421442436255,51,178,01/20/2020,HD,2019-10-08,10:17:00
230,.HD200120P230,PUT,11.26,12.64,231,3938,0.2377114003594084,119,74,01/20/2020,HD,2019-10-08,10:18:00
235,.HD200120P235,PUT,21.26,22.64,491,3119,0.4095618063896026,18,178,01/20/2020,HD,2019-10-08,10:18:00
230,.HD200120C230,CALL,16.26,17.490000000000002,764,3347,0.5036315208944478,191,21,01/20/2020,HD,2019-10-08,10:18:00
235,.HD200120C235,CALL,17.26,18.490000000000002,881,2907,0.1687307975951361,81,94,01/20/2020,HD,2019-10-08,10:18:00
230,.HD200120P230,PUT,13.26,14.64,479,3837,0.465264352238583,89,137,01/20/2020,HD,2019-10-08,10:19:00
235,.HD200120P235,PUT,18.26,19.64,181,1555,0.6540223853649882,187,152,01/20/2020,HD,2019-10-08,10:19:00
230,.HD200120C230,CALL,10.26,11.49,442,1581,0.6112802422013882,188,150,01/20/2020,HD,2019-10-08,10:19:00
235,.HD200120C235,CALL,17.26,18.490000000000002,678,2653,0.6958425695980767,21,90,01/20/2020,HD,2019-10-08,10:19:00
230,.HD200120P230,PUT,16.26,17.64,967,1797,0.10818116483791129,58,196,01/20/2020,HD,2019-10-08,10:20:00
235,.HD200120P235,PUT,18.26,19.64,473,2219,0.5864560720073875,120,104,01/20/2020,HD,2019-10-08,10:20:00
