o_strike,o_symbol,o_position,o_ask_price,o_bid_price,o_volume,o_open_interest,o_implied_volatility,o_ask_size,o_bid_size,o_expiry,ticker,curr_date,curr_time
55,.INTC200120P55,PUT,12.52,13.899999999999999,697,1482,0.4609389978909576,173,134,01/20/2020,INTC,2019-10-16,11:22:00
60,.INTC200120P60,PUT,19.52,20.9,896,3324,0.23605607176159504,8,183,01/20/2020,INTC,2019-10-16,11:22:00
55,.INTC200120C55,CALL,10.52,11.75,338,2524,0.3550065125178906,182,177,01/20/2020,INTC,2019-10-16,11:22:00
60,.INTC200120C60,CALL,19.52,20.75,90,3188,0.3472975770368,5,164,01/20/2020,INTC,2019-10-16,11:22:00
55,.INTC200120P55,PUT,11.52,12.899999999999999,378,1025,0.5884845079315032,187,46,01/20/2020,INTC,2019-10-11,13:43:00
60,.INTC200120P60,PUT,14.52,15.899999999999999,743,1247,0.3974514089421265,30,117,01/20/2020,INTC,2019-10-11,13:43:00
55,.INTC200120C55,CALL,13.52,14.75,903,2405,0.5486155486557674,85,32,01/20/2020,INTC,2019-10-11,13:43:00
60,.INTC200120C60,CALL,13.52,14.75,499,1421,0.7122616166339099,63,181,01/20/2020,INTC,2019-10-11,13:43:00
55,.INTC200120P55,PUT,9.52,10.899999999999999,98,1965,0.2585322046523584,2,134,01/20/2020,INTC,2019-10-11,13:44:00
60,.INTC200120P60,PUT,14.52,15.899999999999999,964,3566,0.6916382332658811,18,39,01/20/2020,INTC,2019-10-11,13:44:00
55,.INTC200120C55,CALL,8.52,9.75,836,2386,0.9497029041245381,103,100,01/20/2020,INTC,2019-10-11,13:44:00
60,.INTC200120C60,CALL,19.52,20.75,563,1023,0.049970886125237146,181,153,01/20/2020,INTC,2019-10-11,13:44:00
55,.INTC200120P55,PUT,10.52,11.899999999999999,419,7,0.9632154689590557,66,195,01/20/2020,INTC,2019-10-11,13:45:00
60,.INTC200120P60,PUT,18.52,19.9,327,3975,0.4693658557497832,122,41,01/20/2020,INTC,2019-10-11,13:45:00
55,.INTC200120C55,CALL,12.52,13.75,568,3421,0.24565834856341995,35,55,01/20/2020,INTC,2019-10-11,13:45:00
60,.INTC200120C60,CALL,12.52,13.75,382,4664,0.6556564444507206,159,21,01/20/2020,INTC,2019-10-11,13:45:00
55,.INTC200120P55,PUT,7.52,8.899999999999999,946,1927,0.4837557165640757,109,99,01/20/2020,INTC,2019-10-11,13:46:00
60,.INTC200120P60,PUT,18.52,19.9,707,51,0.616625539612738,174,73,01/20/2020,INTC,2019-10-11,13:46:00
55,.INTC200120C55,CALL,9.52,10.75,537,2553,0.27076540761453904,157,67,01/20/2020,INTC,2019-10-11,13:46:00
60,.INTC200120C60,CALL,18.52,19.75,2,3454,0.6932710810755843,162,68,01/20/2020,INTC,2019-10-11,13:46:00
55,.INTC200120P55,PUT,12.52,13.899999999999999,698,2331,0.38947680985150357,79,3,01/20/2020,INTC,2019-10-11,13:47:00
60,.INTC200120P60,PUT,15.52,16.9,547,3205,0.3345245604195489,137,124,01/20/2020,INTC,2019-10-11,13:47:00
55,.INTC200120C55,CALL,7.52,8.75,669,827,0.7357814498646753,129,68,01/20/2020,INTC,2019-10-11,13:47:00
60,.INTC200120C60,CALL,19.52,20.75,16,4233,0.5597498253179362,146,190,01/20/2020,INTC,2019-10-11,13:47:00
55,.INTC200120P55,PUT,11.52,12.899999999999999,157,4750,0.9352787217775895,114,141,01/20/2020,INTC,2019-10-11,13:48:00
60,.INTC200120P60,PUT,17.52,18.9,86,1448,0.6285033400882761,183,12,01/20/2020,INTC,2019-10-11,13:48:00
55,.INTC200120C55,CALL,14.52,15.75,228,1489,0.9649843678557195,127,165,01/20/2020,INTC,2019-10-11,13:48:00
60,.INTC200120C60,CALL,12.52,13.75,100,3484,0.11734258904345185,179,15,01/20/2020,INTC,2019-10-11,13:48:00
55,.INTC200120P55,PUT,13.52,14.899999999999999,755,908,0.3647139409518172,124,20,01/20/2020,INTC,2019-10-11,13:49:00
60,.INTC200120P60,PUT,19.52,20.9,343,3934,0.12980872964951218,139,105,01/20/2020,INTC,2019-10-11,13:49:00
55,.INTC200120C55,CALL,11.52,12.75,970,1614,0.1558095581570107,164,82,01/20/2020,INTC,2019-10-11,13:49:00
