o_strike,o_symbol,o_position,o_ask_price,o_bid_price,o_volume,o_open_interest,o_implied_volatility,o_ask_size,o_bid_size,o_expiry,ticker,curr_date,curr_time
135,.JNJ200120P135,PUT,10.29,11.669999999999998,674,3702,0.11266387699762903,129,132,01/20/2020,JNJ,2019-10-10,10:16:00
140,.JNJ200120P140,PUT,19.29,20.669999999999998,51,4610,0.7934088479258962,19,137,01/20/2020,JNJ,2019-10-10,10:16:00
135,.JNJ200120C135,CALL,13.29,14.52,436,3610,0.6042006575293081,66,176,01/20/2020,JNJ,2019-10-10,10:16:00
140,.JNJ200120C140,CALL,16.29,17.52,621,3096,0.2078908452168834,57,162,01/20/2020,JNJ,2019-10-10,10:16:00
135,.JNJ200120P135,PUT,13.31,14.690000000000001,432,59,0.34296453080397316,137,73,01/20/2020,JNJ,2019-10-11,13:58:00
140,.JNJ200120P140,PUT,18.31,19.689999999999998,289,2347,0.5869984228633577,7,6,01/20/2020,JNJ,2019-10-11,13:58:00
135,.JNJ200120C135,CALL,13.31,14.540000000000001,126,2638,0.8540382539346766,100,194,01/20/2020,JNJ,2019-10-11,13:58:00
140,.JNJ200120C140,CALL,18.31,19.54,331,3058,0.9044147634108209,88,147,01/20/2020,JNJ,2019-10-11,13:58:00
135,.JNJ200120P135,PUT,13.29,14.669999999999998,131,3518,0.1865856659947851,62,143,01/20/2020,JNJ,2019-10-10,09:54:00
140,.JNJ200120P140,PUT,18.29,19.669999999999998,411,2682,0.38407949352283377,153,104,01/20/2020,JNJ,2019-10-10,09:54:00
135,.JNJ200120C135,CALL,13.29,14.52,328,2859,0.2789544525157489,182,166,01/20/2020,JNJ,2019-10-10,09:54:00
140,.JNJ200120C140,CALL,20.29,21.52,105,3266,0.0011131524969271167,142,109,01/20/2020,JNJ,2019-10-10,09:54:00
135,.JNJ200120P135,PUT,9.29,10.669999999999998,859,741,0.9935840590834832,95,183,01/20/2020,JNJ,2019-10-10,09:55:00
140,.JNJ200120P140,PUT,17.29,18.669999999999998,341,4507,0.17296859081247162,179,69,01/20/2020,JNJ,2019-10-10,09:55:00
135,.JNJ200120C135,CALL,14.29,15.52,2823,3404,0.9028124507640617,196,119,01/20/2020,JNJ,2019-10-10,09:55:00
140,.JNJ200120C140,CALL,17.29,18.52,928,4289,0.7822483320775299,171,10,01/20/2020,JNJ,2019-10-10,09:55:00
135,.JNJ200120P135,PUT,10.29,11.669999999999998,94,3461,0.6450436272153361,55,36,01/20/2020,JNJ,2019-10-10,09:56:00
140,.JNJ200120P140,PUT,14.29,15.669999999999998,21,4207,0.015593923800923726,6,168,01/20/2020,JNJ,2019-10-10,09:56:00
135,.JNJ200120C135,CALL,8.29,9.52,758,3938,0.4086845593790567,130,170,01/20/2020,JNJ,2019-10-10,09:56:00
140,.JNJ200120C140,CALL,15.29,16.52,636,4186,0.3444538909647198,100,74,01/20/2020,JNJ,2019-10-10,09:56:00
135,.JNJ200120P135,PUT,13.29,14.669999999999998,91,258,0.938299857527623,25,9,01/20/2020,JNJ,2019-10-10,09:57:00
140,.JNJ200120P140,PUT,19.29,20.669999999999998,755,160,0.9771135474454095,83,49,01/20/2020,JNJ,2019-10-10,09:57:00
135,.JNJ200120C135,CALL,9.29,10.52,574,4588,0.31217801019698455,120,9,01/20/2020,JNJ,2019-10-10,09:57:00
140,.JNJ200120C140,CALL,15.29,16.52,931,1607,0.9634656021684305,98,31,01/20/2020,JNJ,2019-10-10,09:57:00
