o_strike,o_symbol,o_position,o_ask_price,o_bid_price,o_volume,o_open_interest,o_implied_volatility,o_ask_size,o_bid_size,o_expiry,ticker,curr_date,curr_time
120,.JPM200120P120,PUT,8.13,9.510000000000002,487,1580,0.25673036727566356,90,137,01/20/2020,JPM,2019-10-10,10:10:00
125,.JPM200120P125,PUT,18.13,19.509999999999998,484,706,0.16731277873206019,118,93,01/20/2020,JPM,2019-10-10,10:10:00
120,.JPM200120C120,CALL,10.13,11.360000000000001,110,2326,0.4273229596275834,21,22,01/20/2020,JPM,2019-10-10,10:10:00
125,.JPM200120C125,CALL,16.13,17.36,484,1052,0.3303225853613603,54,145,01/20/2020,JPM,2019-10-10,10:10:00
120,.JPM200120P120,PUT,15.14,16.52,565,3162,0.3690162989310587,99,196,01/20/2020,JPM,2019-10-10,11:08:00
125,.JPM200120P125,PUT,19.14,20.52,893,1178,0.6137147291548737,61,187,01/20/2020,JPM,2019-10-10,11:08:00
120,.JPM200120C120,CALL,14.14,15.370000000000001,359,3685,0.013860056231414397,56,104,01/20/2020,JPM,2019-10-10,11:08:00
125,.JPM200120C125,CALL,18.14,19.37,351,3623,0.901071603004149,66,41,01/20/2020,JPM,2019-10-10,11:08:00
120,.JPM200120P120,PUT,10.14,11.52,917,3822,0.6432758230650814,124,27,01/20/2020,JPM,2019-10-10,11:09:00
125,.JPM200120P125,PUT,16.14,17.52,50,1982,0.8561260183363513,116,19,01/20/2020,JPM,2019-10-10,11:09:00
120,.JPM200120C120,CALL,14.14,15.370000000000001,227,1199,0.8974524076108185,167,157,01/20/2020,JPM,2019-10-10,11:09:00
125,.JPM200120C125,CALL,19.14,20.37,824,3903,0.6212378853743615,2,141,01/20/2020,JPM,2019-10-10,11:09:00
120,.JPM200120P120,PUT,11.14,12.52,865,2900,0.926196256772697,92,101,01/20/2020,JPM,2019-10-10,11:10:00
125,.JPM200120P125,PUT,14.14,15.52,618,2292,0.2784390744990931,168,23,01/20/2020,JPM,2019-10-10,11:10:00
120,.JPM200120C120,CALL,11.14,12.370000000000001,931,2993,0.8366933414044909,49,105,01/20/2020,JPM,2019-10-10,11:10:00
125,.JPM200120C125,CALL,19.14,20.37,136,1819,0.22830239465638602,59,20,01/20/2020,JPM,2019-10-10,11:10:00
120,.JPM200120P120,PUT,10.14,11.52,868,991,0.19811855525556088,153,191,01/20/2020,JPM,2019-10-10,11:11:00
125,.JPM200120P125,PUT,14.14,15.52,440,62,0.9825288975123561,123,175,01/20/2020,JPM,2019-10-10,11:11:00
120,.JPM200120C120,CALL,8.14,9.370000000000001,388,623,0.2775012927407515,20,152,01/20/2020,JPM,2019-10-10,11:11:00
125,.JPM200120C125,CALL,20.14,21.37,384,1450,0.36333462747317824,88,196,01/20/2020,JPM,2019-10-10,11:11:00
120,.JPM200120P120,PUT,9.14,10.52,254,258,0.4803630308586664,76,92,01/20/2020,JPM,2019-10-10,11:12:00
125,.JPM200120P125,PUT,18.14,19.52,801,642,0.627727980213322,6,47,01/20/2020,JPM,2019-10-10,11:12:00
120,.JPM200120C120,CALL,11.14,12.370000000000001,241,3005,0.030194543899898285,54,0,01/20/2020,JPM,2019-10-10,11:12:00
125,.JPM200120C125,CALL,18.14,19.37,94,444,0.022992803233604198,41,162,01/20/2020,JPM,2019-10-10,11:12:00
120,.JPM200120P120,PUT,10.15,11.530000000000001,811,2987,0.7812855972556179,159,184,01/20/2020,JPM,2019-10-10,11:13:00
125,.JPM200120P125,PUT,19.15,20.529999999999998,405,2640,0.7371385750638031,94,46,01/20/2020,JPM,2019-10-10,11:13:00
