o_strike,o_symbol,o_position,o_ask_price,o_bid_price,o_volume,o_open_interest,o_implied_volatility,o_ask_size,o_bid_size,o_expiry,ticker,curr_date,curr_time
215,.MCD200120P215,PUT,10.07,11.45,868,1975,0.9857999789656858,182,125,01/20/2020,MCD,2019-10-15,10:31:00
220,.MCD200120P220,PUT,18.07,19.45,492,3949,0.6610702538595188,137,114,01/20/2020,MCD,2019-10-15,10:31:00
215,.MCD200120C215,CALL,11.07,12.3,448,4859,0.12881779714592478,136,142,01/20/2020,MCD,2019-10-15,10:31:00
220,.MCD200120C220,CALL,16.07,17.3,3257,4757,0.2111193308280167,48,121,01/20/2020,MCD,2019-10-15,10:31:00
220,.MCD200120P220,PUT,11.12,12.5,612,4094,0.9659489780117179,98,144,01/20/2020,MCD,2019-10-10,10:09:00
225,.MCD200120P225,PUT,19.12,20.5,847,1131,0.0026765071626807524,80,152,01/20/2020,MCD,2019-10-10,10:09:00
220,.MCD200120C220,CALL,9.12,10.35,602,4897,0.7003194912899388,98,175,01/20/2020,MCD,2019-10-10,10:09:00
225,.MCD200120C225,CALL,20.12,21.35,261,4648,0.908786405687727,67,70,01/20/2020,MCD,2019-10-10,10:09:00
220,.MCD200120P220,PUT,16.12,17.5,325,1909,0.46695696922782515,172,148,01/20/2020,MCD,2019-10-10,10:10:00
225,.MCD200120P225,PUT,18.12,19.5,717,3559,0.22373809293031466,116,49,01/20/2020,MCD,2019-10-10,10:10:00
220,.MCD200120C220,CALL,10.12,11.35,95,4512,0.6394934322730361,168,168,01/20/2020,MCD,2019-10-10,10:10:00
225,.MCD200120C225,CALL,21.12,22.35,735,2291,0.2980534215556654,39,98,01/20/2020,MCD,2019-10-10,10:10:00
220,.MCD200120P220,PUT,10.12,11.5,226,2852,0.6384020757721329,191,153,01/20/2020,MCD,2019-10-10,10:11:00
225,.MCD200120P225,PUT,17.12,18.5,972,2581,0.5275351648195971,114,70,01/20/2020,MCD,2019-10-10,10:11:00
220,.MCD200120C220,CALL,11.12,12.35,533,4035,0.8163078437405696,28,35,01/20/2020,MCD,2019-10-10,10:11:00
225,.MCD200120C225,CALL,19.12,20.35,342,2196,0.7619122425110472,191,191,01/20/2020,MCD,2019-10-10,10:11:00
220,.MCD200120P220,PUT,10.12,11.5,982,375,0.5734840472295654,3,73,01/20/2020,MCD,2019-10-10,10:12:00
