o_strike,o_symbol,o_position,o_ask_price,o_bid_price,o_volume,o_open_interest,o_implied_volatility,o_ask_size,o_bid_size,o_expiry,ticker,curr_date,curr_time
145,.MSFT200120P145,PUT,12.39,13.77,713,3242,0.6734434358041782,122,95,01/20/2020,MSFT,2019-10-17,19:54:00
150,.MSFT200120P150,PUT,13.39,14.77,863,899,0.376252452119498,150,112,01/20/2020,MSFT,2019-10-17,19:54:00
145,.MSFT200120C145,CALL,15.39,16.62,138,1637,0.21661960641621536,74,20,01/20/2020,MSFT,2019-10-17,19:54:00
150,.MSFT200120C150,CALL,13.39,14.620000000000001,579,203,0.36622110141032205,149,5,01/20/2020,MSFT,2019-10-17,19:54:00
145,.MSFT200120P145,PUT,14.4,15.780000000000001,427,688,0.38091928544393716,102,86,01/20/2020,MSFT,2019-10-16,15:45:00
150,.MSFT200120P150,PUT,18.4,19.779999999999998,118,4582,0.20607199095756756,93,137,01/20/2020,MSFT,2019-10-16,15:45:00
145,.MSFT200120C145,CALL,15.4,16.63,750,279,0.36164137813159114,14,71,01/20/2020,MSFT,2019-10-16,15:45:00
150,.MSFT200120C150,CALL,19.4,20.63,576,1819,0.13114996165799553,131,53,01/20/2020,MSFT,2019-10-16,15:45:00
145,.MSFT200120P145,PUT,9.4,10.780000000000001,891,2087,0.08076340897786782,84,25,01/20/2020,MSFT,2019-10-16,15:46:00
150,.MSFT200120P150,PUT,13.4,14.780000000000001,459,1646,0.24099045862485557,28,52,01/20/2020,MSFT,2019-10-16,15:46:00
145,.MSFT200120C145,CALL,9.4,10.63,266,479,0.5229887926427983,24,134,01/20/2020,MSFT,2019-10-16,15:46:00
150,.MSFT200120C150,CALL,13.4,14.63,767,2750,0.4409621075715586,117,48,01/20/2020,MSFT,2019-10-16,15:46:00
145,.MSFT200120P145,PUT,12.4,13.780000000000001,745,1493,0.2333376636430058,38,51,01/20/2020,MSFT,2019-10-16,15:47:00
150,.MSFT200120P150,PUT,15.4,16.78,56,2066,0.7625163198911941,5,184,01/20/2020,MSFT,2019-10-16,15:47:00
145,.MSFT200120C145,CALL,13.4,14.63,81,580,0.6118701915608378,179,147,01/20/2020,MSFT,2019-10-16,15:47:00
150,.MSFT200120C150,CALL,18.4,19.63,301,2566,0.4303660657569276,94,30,01/20/2020,MSFT,2019-10-16,15:47:00
145,.MSFT200120P145,PUT,8.4,9.780000000000001,860,1099,0.7331095928680484,25,36,01/20/2020,MSFT,2019-10-16,15:48:00
150,.MSFT200120P150,PUT,15.4,16.78,123,137,0.6627219717870148,4,54,01/20/2020,MSFT,2019-10-16,15:48:00
145,.MSFT200120C145,CALL,10.4,11.63,529,210,0.1217533492181122,141,67,01/20/2020,MSFT,2019-10-16,15:48:00
150,.MSFT200120C150,CALL,17.4,18.63,900,146,0.1541460297472954,55,196,01/20/2020,MSFT,2019-10-16,15:48:00
145,.MSFT200120P145,PUT,12.4,13.780000000000001,554,66,0.47316060915471314,170,122,01/20/2020,MSFT,2019-10-16,15:49:00
150,.MSFT200120P150,PUT,19.4,20.779999999999998,854,439,0.9809653236722985,9,91,01/20/2020,MSFT,2019-10-16,15:49:00
145,.MSFT200120C145,CALL,15.4,16.63,416,48,0.7376469461015711,88,94,01/20/2020,MSFT,2019-10-16,15:49:00
150,.MSFT200120C150,CALL,19.4,20.63,67,2263,0.3885153159056147,16,116,01/20/2020,MSFT,2019-10-16,15:49:00
145,.MSFT200120P145,PUT,9.4,10.780000000000001,963,2035,0.905155366973947,63,165,01/20/2020,MSFT,2019-10-16,15:50:00
150,.MSFT200120P150,PUT,14.4,15.780000000000001,698,981,0.15102099673081404,159,112,01/20/2020,MSFT,2019-10-16,15:50:00
145,.MSFT200120C145,CALL,9.4,10.63,971,3124,0.13195075696094116,149,186,01/20/2020,MSFT,2019-10-16,15:50:00
150,.MSFT200120C150,CALL,17.4,18.63,179,932,0.5103694975333605,81,165,01/20/2020,MSFT,2019-10-16,15:50:00
145,.MSFT200120P145,PUT,11.4,12.780000000000001,208,4662,0.857084242464556,187,133,01/20/2020,MSFT,2019-10-16,15:51:00
150,.MSFT200120P150,PUT,14.4,15.780000000000001,383,426,0.7013250314545411,143,137,01/20/2020,MSFT,2019-10-16,15:51:00
145,.MSFT200120C145,CALL,8.4,9.63,999,3259,0.931270175932707,139,174,01/20/2020,MSFT,2019-10-16,15:51:00
150,.MSFT200120C150,CALL,13.4,14.63,448,3906,0.41640283007376677,17,6,01/20/2020,MSFT,2019-10-16,15:51:00
145,.MSFT200120P145,PUT,15.4,16.78,822,527,0.6464626093153308,106,62,01/20/2020,MSFT,2019-10-16,15:52:00
150,.MSFT200120P150,PUT,15.4,16.78,763,2881,0.512279277917052,178,139,01/20/2020,MSFT,2019-10-16,15:52:00
145,.MSFT200120C145,CALL,14.4,15.63,821,733,0.9046757617749913,89,147,01/20/2020,MSFT,2019-10-16,15:52:00
150,.MSFT200120C150,CALL,14.4,15.63,405,1847,0.3318710681484701,153,126,01/20/2020,MSFT,2019-10-16,15:52:00
145,.MSFT200120P145,PUT,8.4,9.780000000000001,122,1582,0.7451278035573352,83,11,01/20/2020,MSFT,2019-10-16,15:53:00
150,.MSFT200120P150,PUT,17.4,18.779999999999998,604,483,0.1467398362961001,8,148,01/20/2020,MSFT,2019-10-16,15:53:00
145,.MSFT200120C145,CALL,12.4,13.63,407,1434,0.8538547111865861,177,55,01/20/2020,MSFT,2019-10-16,15:53:00
150,.MSFT200120C150,CALL,14.4,15.63,384,1455,0.9886409385888658,46,24,01/20/2020,MSFT,2019-10-16,15:53:00
145,.MSFT200120P145,PUT,12.4,13.780000000000001,637,849,0.9221622709758593,113,19,01/20/2020,MSFT,2019-10-16,15:54:00
150,.MSFT200120P150,PUT,13.4,14.780000000000001,802,4513,0.18266098732558322,64,10,01/20/2020,MSFT,2019-10-16,15:54:00
145,.MSFT200120C145,CALL,12.4,13.63,936,2881,0.9005559873483764,87,141,01/20/2020,MSFT,2019-10-16,15:54:00
150,.MSFT200120C150,CALL,18.4,19.63,851,4680,0.0003193502912627322,107,145,01/20/2020,MSFT,2019-10-16,15:54:00
145,.MSFT200120P145,PUT,9.4,10.780000000000001,930,4167,0.7481576906427104,104,66,01/20/2020,MSFT,2019-10-16,15:55:00
150,.MSFT200120P150,PUT,17.4,18.779999999999998,113,1281,0.7889560183631963,23,12,01/20/2020,MSFT,2019-10-16,15:55:00
145,.MSFT200120C145,CALL,11.4,12.63,546,1324,0.7792097897006927,160,31,01/20/2020,MSFT,2019-10-16,15:55:00
150,.MSFT200120C150,CALL,20.4,21.63,824,269,0.8318306114046843,164,127,01/20/2020,MSFT,2019-10-16,15:55:00
145,.MSFT200120P145,PUT,15.4,16.78,845,728,0.8853859951403515,139,63,01/20/2020,MSFT,2019-10-16,15:56:00
150,.MSFT200120P150,PUT,18.4,19.779999999999998,529,3550,0.08783622309266559,38,139,01/20/2020,MSFT,2019-10-16,15:56:00
145,.MSFT200120C145,CALL,13.4,14.63,205,3070,0.849914009545833,199,146,01/20/2020,MSFT,2019-10-16,15:56:00
150,.MSFT200120C150,CALL,20.4,21.63,3958,764,0.15115505105096272,182,178,01/20/2020,MSFT,2019-10-16,15:56:00
145,.MSFT200120P145,PUT,14.4,15.780000000000001,569,149,0.0768278068421111,194,86,01/20/2020,MSFT,2019-10-16,15:57:00
150,.MSFT200120P150,PUT,20.4,21.779999999999998,481,933,0.6954688926462526,58,109,01/20/2020,MSFT,2019-10-16,15:57:00
145,.MSFT200120C145,CALL,15.4,16.63,675,4247,0.5242106684946877,131,132,01/20/2020,MSFT,2019-10-16,15:57:00
150,.MSFT200120C150,CALL,15.4,16.63,16,2050,0.26553894359545704,97,95,01/20/2020,MSFT,2019-10-16,15:57:00
145,.MSFT200120P145,PUT,12.4,13.780000000000001,215,4382,0.5275008286208687,149,133,01/20/2020,MSFT,2019-10-16,15:58:00
150,.MSFT200120P150,PUT,14.4,15.780000000000001,881,894,0.27447909001524484,27,141,01/20/2020,MSFT,2019-10-16,15:58:00
145,.MSFT200120C145,CALL,14.4,15.63,883,408,0.07195794563051106,58,152,01/20/2020,MSFT,2019-10-16,15:58:00
150,.MSFT200120C150,CALL,16.4,17.63,582,1495,0.7983073438588141,170,63,01/20/2020,MSFT,2019-10-16,15:58:00
145,.MSFT200120P145,PUT,14.4,15.780000000000001,100,888,0.8537573666441072,101,84,01/20/2020,MSFT,2019-10-16,15:59:00
150,.MSFT200120P150,PUT,19.4,20.779999999999998,505,2848,0.02897558186123872,98,83,01/20/2020,MSFT,2019-10-16,15:59:00
145,.MSFT200120C145,CALL,14.4,15.63,403,244,0.3705666609001258,39,90,01/20/2020,MSFT,2019-10-16,15:59:00
150,.MSFT200120C150,CALL,16.4,17.63,182,921,0.9510377521311258,56,161,01/20/2020,MSFT,2019-10-16,15:59:00
145,.MSFT200120P145,PUT,14.4,15.780000000000001,726,2911,0.177146889319031,150,44,01/20/2020,MSFT,2019-10-16,16:00:00
150,.MSFT200120P150,PUT,18.4,19.779999999999998,942,175,0.7863018180805424,0,42,01/20/2020,MSFT,2019-10-16,16:00:00
145,.MSFT200120C145,CALL,11.4,12.63,413,1490,0.7297953453142753,74,44,01/20/2020,MSFT,2019-10-16,16:00:00
150,.MSFT200120C150,CALL,13.4,14.63,547,3985,0.6104316427871422,38,146,01/20/2020,MSFT,2019-10-16,16:00:00
145,.MSFT200120P145,PUT,10.4,11.780000000000001,124,4967,0.21212820375674846,81,81,01/20/2020,MSFT,2019-10-16,16:01:00
150,.MSFT200120P150,PUT,16.4,17.779999999999998,116,1969,0.4206050879961656,119,74,01/20/2020,MSFT,2019-10-16,16:01:00
145,.MSFT200120C145,CALL,9.4,10.63,505,4479,0.49841923245063746,50,49,01/20/2020,MSFT,2019-10-16,16:01:00
150,.MSFT200120C150,CALL,19.4,20.63,410,1207,0.4729487015812842,183,21,01/20/2020,MSFT,2019-10-16,16:01:00
145,.MSFT200120P145,PUT,10.4,11.780000000000001,106,995,0.024205279806736257,118,132,01/20/2020,MSFT,2019-10-16,16:03:00
150,.MSFT200120P150,PUT,13.4,14.780000000000001,351,1908,0.9877763221329577,68,110,01/20/2020,MSFT,2019-10-16,16:03:00
145,.MSFT200120C145,CALL,11.4,12.63,242,3556,0.4073466414424728,122,198,01/20/2020,MSFT,2019-10-16,16:03:00
150,.MSFT200120C150,CALL,13.4,14.63,546,1212,0.25996190701415123,17,89,01/20/2020,MSFT,2019-10-16,16:03:00
145,.MSFT200120P145,PUT,15.4,16.78,416,4315,0.7695192695242472,28,138,01/20/2020,MSFT,2019-10-16,16:05:00
150,.MSFT200120P150,PUT,14.4,15.780000000000001,309,3355,0.0011071157715538682,119,50,01/20/2020,MSFT,2019-10-16,16:05:00
145,.MSFT200120C145,CALL,13.4,14.63,331,1679,0.09517745748301265,161,118,01/20/2020,MSFT,2019-10-16,16:05:00
150,.MSFT200120C150,CALL,14.4,15.63,674,2861,0.6324240652755007,11,189,01/20/2020,MSFT,2019-10-16,16:05:00
145,.MSFT200120P145,PUT,12.4,13.780000000000001,178,965,0.6384326842808005,150,130,01/20/2020,MSFT,2019-10-16,16:06:00
150,.MSFT200120P150,PUT,17.4,18.779999999999998,11,3848,0.4380086041218322,175,165,01/20/2020,MSFT,2019-10-16,16:06:00
145,.MSFT200120C145,CALL,10.4,11.63,840,2682,0.8496699711055854,32,122,01/20/2020,MSFT,2019-10-16,16:06:00
150,.MSFT200120C150,CALL,20.4,21.63,330,358,0.3815034416841413,54,105,01/20/2020,MSFT,2019-10-16,16:06:00
145,.MSFT200120P145,PUT,11.4,12.780000000000001,2549,3397,0.8444714005629287,187,115,01/20/2020,MSFT,2019-10-16,16:07:00
150,.MSFT200120P150,PUT,20.4,21.779999999999998,167,1811,0.3341445979833576,135,49,01/20/2020,MSFT,2019-10-16,16:07:00
145,.MSFT200120C145,CALL,13.4,14.63,119,705,0.30805880071334435,182,102,01/20/2020,MSFT,2019-10-16,16:07:00
150,.MSFT200120C150,CALL,18.4,19.63,841,1919,0.39137598844107024,108,82,01/20/2020,MSFT,2019-10-16,16:07:00
145,.MSFT200120P145,PUT,10.4,11.780000000000001,720,731,0.31800986283811417,179,183,01/20/2020,MSFT,2019-10-16,16:08:00
150,.MSFT200120P150,PUT,18.4,19.779999999999998,268,4697,0.3797671218526627,45,169,01/20/2020,MSFT,2019-10-16,16:08:00
145,.MSFT200120C145,CALL,10.4,11.63,353,2471,0.1213189803711141,3,4,01/20/2020,MSFT,2019-10-16,16:08:00
150,.MSFT200120C150,CALL,14.4,15.63,403,3863,0.6427466354160616,105,47,01/20/2020,MSFT,2019-10-16,16:08:00
145,.MSFT200120P145,PUT,13.4,14.780000000000001,802,1022,0.21595484593258674,117,44,01/20/2020,MSFT,2019-10-16,16:10:00
150,.MSFT200120P150,PUT,14.4,15.780000000000001,286,4412,0.19994489385773428,29,18,01/20/2020,MSFT,2019-10-16,16:10:00
145,.MSFT200120C145,CALL,14.4,15.63,971,2976,0.7117079802077563,89,91,01/20/2020,MSFT,2019-10-16,16:10:00
150,.MSFT200120C150,CALL,20.4,21.63,381,3670,0.630497188742103,80,173,01/20/2020,MSFT,2019-10-16,16:10:00
145,.MSFT200120P145,PUT,14.4,15.780000000000001,900,734,0.012977858849082091,171,41,01/20/2020,MSFT,2019-10-16,16:11:00
