o_strike,o_symbol,o_position,o_ask_price,o_bid_price,o_volume,o_open_interest,o_implied_volatility,o_ask_size,o_bid_size,o_expiry,ticker,curr_date,curr_time
100,.NKE200120P100,PUT,10.93,12.309999999999999,518,3654,0.6628578301567536,53,107,01/20/2020,NKE,2019-10-11,15:59:00
105,.NKE200120P105,PUT,15.93,17.31,6774,3644,0.6720674299300513,66,54,01/20/2020,NKE,2019-10-11,15:59:00
100,.NKE200120C100,CALL,10.93,12.16,9497,2156,0.3657276563842897,84,162,01/20/2020,NKE,2019-10-11,15:59:00
105,.NKE200120C105,CALL,17.93,19.16,362,4751,0.7279057714729754,53,130,01/20/2020,NKE,2019-10-11,15:59:00
95,.NKE200120P95,PUT,11.92,13.3,162,4081,0.20835476996888858,118,194,01/20/2020,NKE,2019-10-08,15:26:00
100,.NKE200120P100,PUT,16.92,18.3,4802,805,0.11643930231551958,16,186,01/20/2020,NKE,2019-10-08,15:26:00
95,.NKE200120C95,CALL,13.92,15.15,194,4595,0.7500405821332808,143,4,01/20/2020,NKE,2019-10-08,15:26:00
100,.NKE200120C100,CALL,17.92,19.150000000000002,419,1020,0.7443132831533046,186,157,01/20/2020,NKE,2019-10-08,15:26:00
95,.NKE200120P95,PUT,10.92,12.3,270,722,0.4493977931743349,17,125,01/20/2020,NKE,2019-10-08,15:27:00
100,.NKE200120P100,PUT,13.92,15.3,765,3298,0.28415692136519,64,122,01/20/2020,NKE,2019-10-08,15:27:00
95,.NKE200120C95,CALL,14.92,16.15,53,3469,0.026750415334523603,178,177,01/20/2020,NKE,2019-10-08,15:27:00
100,.NKE200120C100,CALL,19.92,21.150000000000002,424,2622,0.8578859455354804,165,17,01/20/2020,NKE,2019-10-08,15:27:00
95,.NKE200120P95,PUT,7.92,9.3,144,4008,0.613420112045553,120,149,01/20/2020,NKE,2019-10-08,15:28:00
100,.NKE200120P100,PUT,12.92,14.3,957,1017,0.35034252597525395,130,11,01/20/2020,NKE,2019-10-08,15:28:00
95,.NKE200120C95,CALL,13.92,15.15,404,4916,0.38817659932714355,49,145,01/20/2020,NKE,2019-10-08,15:28:00
100,.NKE200120C100,CALL,14.92,16.15,32,807,0.0681796298546572,82,138,01/20/2020,NKE,2019-10-08,15:28:00
95,.NKE200120P95,PUT,8.92,10.3,200,14,0.9199381449238678,26,137,01/20/2020,NKE,2019-10-08,15:29:00
100,.NKE200120P100,PUT,14.92,16.3,5474,1571,0.02802494243349196,78,173,01/20/2020,NKE,2019-10-08,15:29:00
95,.NKE200120C95,CALL,10.92,12.15,667,2773,0.8009457235403442,139,196,01/20/2020,NKE,2019-10-08,15:29:00
100,.NKE200120C100,CALL,12.92,14.15,645,4018,0.5560620859836407,40,130,01/20/2020,NKE,2019-10-08,15:29:00
95,.NKE200120P95,PUT,12.92,14.3,254,2016,0.6938165131168739,88,61,01/20/2020,NKE,2019-10-08,15:30:00
100,.NKE200120P100,PUT,18.92,20.3,690,2467,0.20054336332801703,197,3,01/20/2020,NKE,2019-10-08,15:30:00
95,.NKE200120C95,CALL,9.92,11.15,689,501,0.6721065926009395,106,133,01/20/2020,NKE,2019-10-08,15:30:00
100,.NKE200120C100,CALL,12.92,14.15,897,2090,0.03769512238625938,115,105,01/20/2020,NKE,2019-10-08,15:30:00
95,.NKE200120P95,PUT,10.92,12.3,823,158,0.4782056404317655,139,150,01/20/2020,NKE,2019-10-08,15:31:00
100,.NKE200120P100,PUT,13.92,15.3,297,905,0.2250945526805831,61,157,01/20/2020,NKE,2019-10-08,15:31:00
95,.NKE200120C95,CALL,12.92,14.15,326,3908,0.8974007652240138,131,149,01/20/2020,NKE,2019-10-08,15:31:00
100,.NKE200120C100,CALL,14.92,16.15,373,2048,0.6748788871058086,193,195,01/20/2020,NKE,2019-10-08,15:31:00
95,.NKE200120P95,PUT,10.92,12.3,293,655,0.6935367526651182,1,95,01/20/2020,NKE,2019-10-08,15:32:00
100,.NKE200120P100,PUT,19.92,21.3,781,3959,0.3978186987215794,13,48,01/20/2020,NKE,2019-10-08,15:32:00
95,.NKE200120C95,CALL,14.92,16.15,310,2401,0.6706565577658344,31,193,01/20/2020,NKE,2019-10-08,15:32:00
100,.NKE200120C100,CALL,17.92,19.150000000000002,315,2180,0.3205646527834456,121,18,01/20/2020,NKE,2019-10-08,15:32:00
95,.NKE200120P95,PUT,14.92,16.3,166,3464,0.7925804886110783,132,179,01/20/2020,NKE,2019-10-08,15:33:00
100,.NKE200120P100,PUT,19.92,21.3,908,2138,0.4185573663526747,52,69,01/20/2020,NKE,2019-10-08,15:33:00
95,.NKE200120C95,CALL,10.92,12.15,349,2616,0.7938505493684954,134,146,01/20/2020,NKE,2019-10-08,15:33:00
100,.NKE200120C100,CALL,18.92,20.150000000000002,144,4744,0.2865055298187884,140,91,01/20/2020,NKE,2019-10-08,15:33:00
95,.NKE200120P95,PUT,7.92,9.3,393,558,0.6937701080394926,16,11,01/20/2020,NKE,2019-10-08,15:34:00
100,.NKE200120P100,PUT,14.92,16.3,127,545,0.16593242949358944,161,65,01/20/2020,NKE,2019-10-08,15:34:00
95,.NKE200120C95,CALL,8.92,10.15,860,2706,0.9849035799816924,137,114,01/20/2020,NKE,2019-10-08,15:34:00
100,.NKE200120C100,CALL,16.92,18.150000000000002,722,2653,0.8728962248818054,194,190,01/20/2020,NKE,2019-10-08,15:34:00
95,.NKE200120P95,PUT,9.91,11.29,128,2971,0.6434196307699616,14,181,01/20/2020,NKE,2019-10-08,15:35:00
100,.NKE200120P100,PUT,12.91,14.29,563,4941,0.36203485105901245,128,58,01/20/2020,NKE,2019-10-08,15:35:00
95,.NKE200120C95,CALL,12.91,14.14,677,3767,0.874895749935899,53,17,01/20/2020,NKE,2019-10-08,15:35:00
100,.NKE200120C100,CALL,12.91,14.14,913,1050,0.07595148192511914,115,67,01/20/2020,NKE,2019-10-08,15:35:00
95,.NKE200120P95,PUT,7.91,9.29,711,4849,0.7491921713940413,101,64,01/20/2020,NKE,2019-10-08,15:36:00
100,.NKE200120P100,PUT,18.91,20.29,48,36,0.3255489384138971,25,120,01/20/2020,NKE,2019-10-08,15:36:00
95,.NKE200120C95,CALL,14.91,16.14,182,4552,0.3644096238777691,191,56,01/20/2020,NKE,2019-10-08,15:36:00
