o_strike,o_symbol,o_position,o_ask_price,o_bid_price,o_volume,o_open_interest,o_implied_volatility,o_ask_size,o_bid_size,o_expiry,ticker,curr_date,curr_time
200,.NVDA200120P200,PUT,14.93,16.31,815,4066,0.5065890611299159,103,137,01/20/2020,NVDA,2019-10-15,10:23:00
205,.NVDA200120P205,PUT,16.93,18.31,44,4214,0.46436429802892587,178,57,01/20/2020,NVDA,2019-10-15,10:23:00
200,.NVDA200120C200,CALL,11.93,13.16,101,3764,0.012675106806592118,67,110,01/20/2020,NVDA,2019-10-15,10:23:00
205,.NVDA200120C205,CALL,18.93,20.16,898,3129,0.07622345400452346,57,190,01/20/2020,NVDA,2019-10-15,10:23:00
205,.NVDA200120P205,PUT,12.99,14.370000000000001,120,4034,0.6679157918761183,107,98,01/20/2020,NVDA,2019-10-22,07:29:00
210,.NVDA200120P210,PUT,13.99,15.370000000000001,744,4331,0.9777538573954758,32,33,01/20/2020,NVDA,2019-10-22,07:29:00
205,.NVDA200120C205,CALL,10.99,12.22,157,4960,0.058494271902777006,180,25,01/20/2020,NVDA,2019-10-22,07:29:00
210,.NVDA200120C210,CALL,13.99,15.22,6140,661,0.16038114932648861,38,193,01/20/2020,NVDA,2019-10-22,07:29:00
200,.NVDA200120P200,PUT,12.93,14.309999999999999,325,1643,0.2840881958893594,134,54,01/20/2020,NVDA,2019-10-15,10:07:00
205,.NVDA200120P205,PUT,14.93,16.31,287,2153,0.9698722431477704,155,95,01/20/2020,NVDA,2019-10-15,10:07:00
200,.NVDA200120C200,CALL,15.93,17.16,362,4676,0.06773898190037164,131,36,01/20/2020,NVDA,2019-10-15,10:07:00
205,.NVDA200120C205,CALL,13.93,15.16,367,2238,0.8152642957239071,159,160,01/20/2020,NVDA,2019-10-15,10:07:00
200,.NVDA200120P200,PUT,8.93,10.309999999999999,283,3028,0.7622198078543724,136,59,01/20/2020,NVDA,2019-10-15,10:08:00
205,.NVDA200120P205,PUT,20.93,22.31,732,740,0.43994630885326824,145,25,01/20/2020,NVDA,2019-10-15,10:08:00
200,.NVDA200120C200,CALL,11.93,13.16,206,3796,0.09879662847732629,141,3,01/20/2020,NVDA,2019-10-15,10:08:00
205,.NVDA200120C205,CALL,20.93,22.16,722,1255,0.20982780284963298,0,143,01/20/2020,NVDA,2019-10-15,10:08:00
200,.NVDA200120P200,PUT,14.93,16.31,724,3884,0.727947068145663,131,152,01/20/2020,NVDA,2019-10-15,10:09:00
205,.NVDA200120P205,PUT,13.93,15.309999999999999,119,540,0.9755193136374738,68,174,01/20/2020,NVDA,2019-10-15,10:09:00
