o_strike,o_symbol,o_position,o_ask_price,o_bid_price,o_volume,o_open_interest,o_implied_volatility,o_ask_size,o_bid_size,o_expiry,ticker,curr_date,curr_time
195,.QQQ200120P195,PUT,15.92,17.3,89,2036,0.7189625475520478,79,154,01/20/2020,QQQ,2019-10-21,07:35:00
200,.QQQ200120P200,PUT,15.92,17.3,393,4103,0.5396317065938041,68,70,01/20/2020,QQQ,2019-10-21,07:35:00
195,.QQQ200120C195,CALL,11.92,13.15,408,4510,0.9447454397607792,68,182,01/20/2020,QQQ,2019-10-21,07:35:00
200,.QQQ200120C200,CALL,15.92,17.15,464,1921,0.7623322259723618,53,140,01/20/2020,QQQ,2019-10-21,07:35:00
200,.QQQ200120P200,PUT,9.92,11.3,42,1330,0.7269658608623788,64,117,01/20/2020,QQQ,2019-10-21,09:03:00
205,.QQQ200120P205,PUT,13.92,15.3,367,3135,0.17887694732371906,13,23,01/20/2020,QQQ,2019-10-21,09:03:00
200,.QQQ200120C200,CALL,14.92,16.15,723,1191,0.9565375241671973,91,38,01/20/2020,QQQ,2019-10-21,09:03:00
205,.QQQ200120C205,CALL,16.92,18.150000000000002,991,3750,0.822603452615902,12,124,01/20/2020,QQQ,2019-10-21,09:03:00
200,.QQQ200120P200,PUT,10.92,12.3,1,4536,0.33688861972926964,62,198,01/20/2020,QQQ,2019-10-21,09:04:00
205,.QQQ200120P205,PUT,15.92,17.3,18,851,0.2986071312025146,33,116,01/20/2020,QQQ,2019-10-21,09:04:00
200,.QQQ200120C200,CALL,12.92,14.15,864,844,0.39164053967658796,47,70,01/20/2020,QQQ,2019-10-21,09:04:00
205,.QQQ200120C205,CALL,19.92,21.150000000000002,107,3881,0.16090310137624453,154,17,01/20/2020,QQQ,2019-10-21,09:04:00
200,.QQQ200120P200,PUT,14.92,16.3,769,4677,0.2214931238774298,124,9,01/20/2020,QQQ,2019-10-21,09:05:00
205,.QQQ200120P205,PUT,20.92,22.3,163,4876,0.6496927897330018,106,25,01/20/2020,QQQ,2019-10-21,09:05:00
200,.QQQ200120C200,CALL,11.92,13.15,426,4404,0.09120107634764862,108,158,01/20/2020,QQQ,2019-10-21,09:05:00
205,.QQQ200120C205,CALL,20.92,22.150000000000002,844,3490,0.80107018834049,28,129,01/20/2020,QQQ,2019-10-21,09:05:00
200,.QQQ200120P200,PUT,12.92,14.3,657,159,0.6623301970621744,69,6,01/20/2020,QQQ,2019-10-21,09:06:00
205,.QQQ200120P205,PUT,13.92,15.3,161,2725,0.14922953813602413,7,194,01/20/2020,QQQ,2019-10-21,09:06:00
200,.QQQ200120C200,CALL,12.92,14.15,240,1725,0.7390229321571982,199,90,01/20/2020,QQQ,2019-10-21,09:06:00
205,.QQQ200120C205,CALL,19.92,21.150000000000002,473,4213,0.22589779826235545,38,126,01/20/2020,QQQ,2019-10-21,09:06:00
200,.QQQ200120P200,PUT,12.92,14.3,701,1625,0.030002482344863135,137,34,01/20/2020,QQQ,2019-10-21,09:07:00
205,.QQQ200120P205,PUT,20.92,22.3,792,322,0.31167870669931763,83,181,01/20/2020,QQQ,2019-10-21,09:07:00
200,.QQQ200120C200,CALL,14.92,16.15,821,223,0.8326487196682624,59,88,01/20/2020,QQQ,2019-10-21,09:07:00
205,.QQQ200120C205,CALL,18.92,20.150000000000002,396,1196,0.38213517756206006,2,7,01/20/2020,QQQ,2019-10-21,09:07:00
200,.QQQ200120P200,PUT,8.92,10.3,40,4783,0.9299746645935079,64,8,01/20/2020,QQQ,2019-10-21,09:08:00
205,.QQQ200120P205,PUT,13.92,15.3,235,1521,0.3748572970070705,53,186,01/20/2020,QQQ,2019-10-21,09:08:00
200,.QQQ200120C200,CALL,10.92,12.15,334,436,0.049071531748411834,33,147,01/20/2020,QQQ,2019-10-21,09:08:00
205,.QQQ200120C205,CALL,18.92,20.150000000000002,594,3850,0.30093132131561284,97,27,01/20/2020,QQQ,2019-10-21,09:08:00
200,.QQQ200120P200,PUT,14.92,16.3,435,191,0.6293175480739915,151,10,01/20/2020,QQQ,2019-10-21,09:09:00
205,.QQQ200120P205,PUT,17.92,19.3,502,2500,0.07099029810641011,138,74,01/20/2020,QQQ,2019-10-21,09:09:00
200,.QQQ200120C200,CALL,14.92,16.15,627,2208,0.7390586131585516,11,44,01/20/2020,QQQ,2019-10-21,09:09:00
205,.QQQ200120C205,CALL,17.92,19.150000000000002,460,503,0.4069827705157145,17,196,01/20/2020,QQQ,2019-10-21,09:09:00
200,.QQQ200120P200,PUT,9.92,11.3,305,610,0.8840842730837893,90,133,01/20/2020,QQQ,2019-10-21,09:10:00
205,.QQQ200120P205,PUT,16.92,18.3,798,3262,0.18136597792579068,149,130,01/20/2020,QQQ,2019-10-21,09:10:00
200,.QQQ200120C200,CALL,10.92,12.15,957,321,0.4466129175591036,112,59,01/20/2020,QQQ,2019-10-21,09:10:00
205,.QQQ200120C205,CALL,15.92,17.15,756,2437,0.669655456375625,131,51,01/20/2020,QQQ,2019-10-21,09:10:00
200,.QQQ200120P200,PUT,15.92,17.3,806,1061,0.40312960272248255,59,131,01/20/2020,QQQ,2019-10-21,09:11:00
205,.QQQ200120P205,PUT,19.92,21.3,379,2855,0.9736550860083698,83,6,01/20/2020,QQQ,2019-10-21,09:11:00
200,.QQQ200120C200,CALL,11.92,13.15,388,1268,0.6157262620486678,84,110,01/20/2020,QQQ,2019-10-21,09:11:00
205,.QQQ200120C205,CALL,15.92,17.15,402,272,0.28193070200120274,192,115,01/20/2020,QQQ,2019-10-21,09:11:00
200,.QQQ200120P200,PUT,14.92,16.3,163,1714,0.37033976848317895,6,19,01/20/2020,QQQ,2019-10-21,09:12:00
205,.QQQ200120P205,PUT,13.92,15.3,157,1265,0.05136886133818952,40,128,01/20/2020,QQQ,2019-10-21,09:12:00
200,.QQQ200120C200,CALL,10.92,12.15,709,791,0.44970092057152644,98,28,01/20/2020,QQQ,2019-10-21,09:12:00
205,.QQQ200120C205,CALL,13.92,15.15,795,4528,0.8101920617107434,160,121,01/20/2020,QQQ,2019-10-21,09:12:00
200,.QQQ200120P200,PUT,11.92,13.3,657,1440,0.2206597817172118,33,132,01/20/2020,QQQ,2019-10-21,09:13:00
205,.QQQ200120P205,PUT,13.92,15.3,347,1151,0.24318691927015545,146,100,01/20/2020,QQQ,2019-10-21,09:13:00
200,.QQQ200120C200,CALL,10.92,12.15,177,862,0.7140396278211067,115,81,01/20/2020,QQQ,2019-10-21,09:13:00
205,.QQQ200120C205,CALL,15.92,17.15,68,1230,0.40013039786222626,124,152,01/20/2020,QQQ,2019-10-21,09:13:00
200,.QQQ200120P200,PUT,11.92,13.3,975,2319,0.054522865789645825,141,4,01/20/2020,QQQ,2019-10-21,09:14:00
205,.QQQ200120P205,PUT,14.92,16.3,777,2550,0.44768677900955023,59,194,01/20/2020,QQQ,2019-10-21,09:14:00
200,.QQQ200120C200,CALL,15.92,17.15,591,4105,0.38195813795559674,186,71,01/20/2020,QQQ,2019-10-21,09:14:00
205,.QQQ200120C205,CALL,14.92,16.15,679,3056,0.5565367704560898,95,159,01/20/2020,QQQ,2019-10-21,09:14:00
200,.QQQ200120P200,PUT,8.92,10.3,274,106,0.9965641793817118,82,134,01/20/2020,QQQ,2019-10-21,09:15:00
205,.QQQ200120P205,PUT,15.92,17.3,635,1886,0.6444508627350698,165,14,01/20/2020,QQQ,2019-10-21,09:15:00
200,.QQQ200120C200,CALL,10.92,12.15,675,1881,0.2785402758027624,173,130,01/20/2020,QQQ,2019-10-21,09:15:00
205,.QQQ200120C205,CALL,18.92,20.150000000000002,221,756,0.8160023596075082,8,14,01/20/2020,QQQ,2019-10-21,09:15:00
200,.QQQ200120P200,PUT,12.92,14.3,43,2722,0.7314683267056493,114,63,01/20/2020,QQQ,2019-10-21,09:16:00
205,.QQQ200120P205,PUT,16.92,18.3,880,156,0.484870701525144,95,61,01/20/2020,QQQ,2019-10-21,09:16:00
200,.QQQ200120C200,CALL,10.92,12.15,145,215,0.5253647331699616,154,155,01/20/2020,QQQ,2019-10-21,09:16:00
205,.QQQ200120C205,CALL,15.92,17.15,461,3678,0.5281948345226904,137,115,01/20/2020,QQQ,2019-10-21,09:16:00
200,.QQQ200120P200,PUT,14.92,16.3,6388,4208,0.4015305502308346,93,134,01/20/2020,QQQ,2019-10-21,09:17:00
205,.QQQ200120P205,PUT,17.92,19.3,733,3750,0.32234233522606726,197,103,01/20/2020,QQQ,2019-10-21,09:17:00
200,.QQQ200120C200,CALL,11.92,13.15,392,900,0.8458063936255524,36,195,01/20/2020,QQQ,2019-10-21,09:17:00
205,.QQQ200120C205,CALL,19.92,21.150000000000002,366,1776,0.5993122616381318,112,28,01/20/2020,QQQ,2019-10-21,09:17:00
200,.QQQ200120P200,PUT,12.92,14.3,837,2076,0.14960046863982035,37,138,01/20/2020,QQQ,2019-10-21,09:18:00
205,.QQQ200120P205,PUT,15.92,17.3,548,2516,0.2261233907040553,84,33,01/20/2020,QQQ,2019-10-21,09:18:00
200,.QQQ200120C200,CALL,14.92,16.15,408,2730,0.9979226187856051,33,79,01/20/2020,QQQ,2019-10-21,09:18:00
205,.QQQ200120C205,CALL,14.92,16.15,512,2600,0.053144206033181596,199,18,01/20/2020,QQQ,2019-10-21,09:18:00
200,.QQQ200120P200,PUT,12.92,14.3,449,1005,0.17822185826666614,87,71,01/20/2020,QQQ,2019-10-21,09:19:00
205,.QQQ200120P205,PUT,20.92,22.3,19,3982,0.6354740599081539,116,40,01/20/2020,QQQ,2019-10-21,09:19:00
200,.QQQ200120C200,CALL,12.92,14.15,616,172,0.791505762782809,24,21,01/20/2020,QQQ,2019-10-21,09:19:00
205,.QQQ200120C205,CALL,17.92,19.150000000000002,866,2186,0.06135934047371927,189,81,01/20/2020,QQQ,2019-10-21,09:19:00
200,.QQQ200120P200,PUT,15.92,17.3,793,476,0.17049003217262915,89,58,01/20/2020,QQQ,2019-10-21,09:20:00
205,.QQQ200120P205,PUT,19.92,21.3,92,239,0.17928572511846674,121,45,01/20/2020,QQQ,2019-10-21,09:20:00
200,.QQQ200120C200,CALL,8.92,10.15,162,249,0.7952772078148875,34,57,01/20/2020,QQQ,2019-10-21,09:20:00
205,.QQQ200120C205,CALL,14.92,16.15,756,4632,0.7110572162296783,105,147,01/20/2020,QQQ,2019-10-21,09:20:00
200,.QQQ200120P200,PUT,8.92,10.3,256,2789,0.8808451902395248,153,189,01/20/2020,QQQ,2019-10-21,09:21:00
205,.QQQ200120P205,PUT,20.92,22.3,815,1309,0.8503090983966441,52,136,01/20/2020,QQQ,2019-10-21,09:21:00
200,.QQQ200120C200,CALL,12.92,14.15,671,320,0.9443877310789339,11,108,01/20/2020,QQQ,2019-10-21,09:21:00
205,.QQQ200120C205,CALL,19.92,21.150000000000002,248,4966,0.035184380115374725,10,70,01/20/2020,QQQ,2019-10-21,09:21:00
200,.QQQ200120P200,PUT,13.92,15.3,362,2999,0.9391215170112295,185,190,01/20/2020,QQQ,2019-10-21,09:22:00
205,.QQQ200120P205,PUT,13.92,15.3,155,2745,0.627649523996923,123,135,01/20/2020,QQQ,2019-10-21,09:22:00
200,.QQQ200120C200,CALL,10.92,12.15,857,3060,0.6772069769397489,5,164,01/20/2020,QQQ,2019-10-21,09:22:00
205,.QQQ200120C205,CALL,19.92,21.150000000000002,27,4432,0.7116235212406399,114,114,01/20/2020,QQQ,2019-10-21,09:22:00
200,.QQQ200120P200,PUT,11.92,13.3,174,1751,0.9596282463432466,175,155,01/20/2020,QQQ,2019-10-21,09:23:00
205,.QQQ200120P205,PUT,15.92,17.3,347,1476,0.12734546253491585,196,26,01/20/2020,QQQ,2019-10-21,09:23:00
200,.QQQ200120C200,CALL,11.92,13.15,120,2630,0.6610529713877307,158,47,01/20/2020,QQQ,2019-10-21,09:23:00
205,.QQQ200120C205,CALL,15.92,17.15,945,2875,0.8998075615379422,189,25,01/20/2020,QQQ,2019-10-21,09:23:00
200,.QQQ200120P200,PUT,14.92,16.3,642,2675,0.39655090744004895,156,162,01/20/2020,QQQ,2019-10-21,09:24:00
205,.QQQ200120P205,PUT,16.92,18.3,282,4104,0.7419570214252252,139,140,01/20/2020,QQQ,2019-10-21,09:24:00
200,.QQQ200120C200,CALL,11.92,13.15,713,2118,0.49314427504061276,131,198,01/20/2020,QQQ,2019-10-21,09:24:00
205,.QQQ200120C205,CALL,17.92,19.150000000000002,4558,2684,0.49078372470168585,72,133,01/20/2020,QQQ,2019-10-21,09:24:00
200,.QQQ200120P200,PUT,13.92,15.3,975,3517,0.3088761915528696,168,31,01/20/2020,QQQ,2019-10-21,09:25:00
205,.QQQ200120P205,PUT,20.92,22.3,386,3785,0.9065991873188888,164,196,01/20/2020,QQQ,2019-10-21,09:25:00
200,.QQQ200120C200,CALL,12.92,14.15,61,682,0.4370334282491649,151,197,01/20/2020,QQQ,2019-10-21,09:25:00
205,.QQQ200120C205,CALL,20.92,22.150000000000002,928,202,0.17608203048145832,171,136,01/20/2020,QQQ,2019-10-21,09:25:00
200,.QQQ200120P200,PUT,14.92,16.3,648,3960,0.32623743207017375,88,180,01/20/2020,QQQ,2019-10-21,09:26:00
205,.QQQ200120P205,PUT,19.92,21.3,397,2913,0.364579594598996,31,7,01/20/2020,QQQ,2019-10-21,09:26:00
200,.QQQ200120C200,CALL,9.92,11.15,394,4700,0.49229744694364197,11,132,01/20/2020,QQQ,2019-10-21,09:26:00
205,.QQQ200120C205,CALL,17.92,19.150000000000002,540,3303,0.7191541408173,172,169,01/20/2020,QQQ,2019-10-21,09:26:00
200,.QQQ200120P200,PUT,11.92,13.3,629,4723,0.03708664800407868,30,190,01/20/2020,QQQ,2019-10-21,09:27:00
205,.QQQ200120P205,PUT,15.92,17.3,369,1667,0.07831145509471238,58,29,01/20/2020,QQQ,2019-10-21,09:27:00
200,.QQQ200120C200,CALL,8.92,10.15,594,4748,0.7535244048969091,155,127,01/20/2020,QQQ,2019-10-21,09:27:00
205,.QQQ200120C205,CALL,15.92,17.15,486,1165,0.3737751853364286,165,39,01/20/2020,QQQ,2019-10-21,09:27:00
200,.QQQ200120P200,PUT,9.92,11.3,27,4881,0.1486721197956442,63,178,01/20/2020,QQQ,2019-10-21,09:28:00
205,.QQQ200120P205,PUT,20.92,22.3,404,4095,0.3061690021032323,186,127,01/20/2020,QQQ,2019-10-21,09:28:00
200,.QQQ200120C200,CALL,11.92,13.15,4254,3255,0.6530751948208184,181,137,01/20/2020,QQQ,2019-10-21,09:28:00
205,.QQQ200120C205,CALL,14.92,16.15,403,1488,0.07972577001692871,30,158,01/20/2020,QQQ,2019-10-21,09:28:00
200,.QQQ200120P200,PUT,13.92,15.3,469,3167,0.5067120689314251,56,108,01/20/2020,QQQ,2019-10-21,09:29:00
205,.QQQ200120P205,PUT,20.92,22.3,805,1452,0.28136990476595125,116,175,01/20/2020,QQQ,2019-10-21,09:29:00
200,.QQQ200120C200,CALL,15.92,17.15,451,4068,0.24204883102035302,94,111,01/20/2020,QQQ,2019-10-21,09:29:00
205,.QQQ200120C205,CALL,19.92,21.150000000000002,417,3409,0.9937864752731561,32,118,01/20/2020,QQQ,2019-10-21,09:29:00
200,.QQQ200120P200,PUT,12.92,14.3,942,2573,0.49151628591391583,33,8,01/20/2020,QQQ,2019-10-21,09:30:00
205,.QQQ200120P205,PUT,19.92,21.3,269,2608,0.19475381386573898,94,125,01/20/2020,QQQ,2019-10-21,09:30:00
200,.QQQ200120C200,CALL,12.92,14.15,931,81,0.8951689374869609,185,105,01/20/2020,QQQ,2019-10-21,09:30:00
205,.QQQ200120C205,CALL,14.92,16.15,111,1888,0.9639871207115681,41,193,01/20/2020,QQQ,2019-10-21,09:30:00
200,.QQQ200120P200,PUT,12.92,14.3,322,333,0.7046046487342643,119,95,01/20/2020,QQQ,2019-10-21,09:31:00
205,.QQQ200120P205,PUT,13.92,15.3,147,188,0.388185358274899,99,48,01/20/2020,QQQ,2019-10-21,09:31:00
200,.QQQ200120C200,CALL,15.92,17.15,997,721,0.25797917733454845,42,140,01/20/2020,QQQ,2019-10-21,09:31:00
205,.QQQ200120C205,CALL,15.92,17.15,140,3914,0.27696718974054,0,137,01/20/2020,QQQ,2019-10-21,09:31:00
200,.QQQ200120P200,PUT,12.92,14.3,521,1284,0.6459216997236212,50,47,01/20/2020,QQQ,2019-10-21,09:32:00
205,.QQQ200120P205,PUT,14.92,16.3,123,2851,0.22431874193718548,93,196,01/20/2020,QQQ,2019-10-21,09:32:00
200,.QQQ200120C200,CALL,15.92,17.15,888,829,0.12243422294191286,82,165,01/20/2020,QQQ,2019-10-21,09:32:00
205,.QQQ200120C205,CALL,16.92,18.150000000000002,346,3542,0.6241607972089338,146,124,01/20/2020,QQQ,2019-10-21,09:32:00
200,.QQQ200120P200,PUT,12.92,14.3,646,3959,0.6935809173329196,31,6,01/20/2020,QQQ,2019-10-21,09:33:00
205,.QQQ200120P205,PUT,15.92,17.3,175,4601,0.9735086593845271,107,174,01/20/2020,QQQ,2019-10-21,09:33:00
200,.QQQ200120C200,CALL,8.92,10.15,295,887,0.6911803605057543,174,116,01/20/2020,QQQ,2019-10-21,09:33:00
205,.QQQ200120C205,CALL,20.92,22.150000000000002,639,3551,0.19392953470576835,169,105,01/20/2020,QQQ,2019-10-21,09:33:00
200,.QQQ200120P200,PUT,10.92,12.3,963,2664,0.7913310754093212,17,182,01/20/2020,QQQ,2019-10-21,09:34:00
205,.QQQ200120P205,PUT,17.92,19.3,990,2402,0.4566409241021192,100,63,01/20/2020,QQQ,2019-10-21,09:34:00
200,.QQQ200120C200,CALL,9.92,11.15,960,2440,0.08406366844630941,181,123,01/20/2020,QQQ,2019-10-21,09:34:00
205,.QQQ200120C205,CALL,15.92,17.15,983,634,0.6001821172064914,24,32,01/20/2020,QQQ,2019-10-21,09:34:00
200,.QQQ200120P200,PUT,9.92,11.3,472,4305,0.6485783149744724,139,108,01/20/2020,QQQ,2019-10-21,09:35:00
205,.QQQ200120P205,PUT,18.92,20.3,601,4929,0.8804420859712931,127,7,01/20/2020,QQQ,2019-10-21,09:35:00
200,.QQQ200120C200,CALL,8.92,10.15,882,2737,0.424846742903227,160,165,01/20/2020,QQQ,2019-10-21,09:35:00
205,.QQQ200120C205,CALL,16.92,18.150000000000002,817,2263,0.039863988595703614,80,135,01/20/2020,QQQ,2019-10-21,09:35:00
200,.QQQ200120P200,PUT,13.93,15.309999999999999,682,3712,0.8674685887096657,122,108,01/20/2020,QQQ,2019-10-21,09:36:00
205,.QQQ200120P205,PUT,18.93,20.31,272,1221,0.256023208718976,82,69,01/20/2020,QQQ,2019-10-21,09:36:00
200,.QQQ200120C200,CALL,15.93,17.16,676,3124,0.9561439326319251,63,146,01/20/2020,QQQ,2019-10-21,09:36:00
205,.QQQ200120C205,CALL,14.93,16.16,158,374,0.008529878524020762,118,172,01/20/2020,QQQ,2019-10-21,09:36:00
200,.QQQ200120P200,PUT,14.93,16.31,743,1971,0.7803441249767986,79,172,01/20/2020,QQQ,2019-10-21,09:37:00
205,.QQQ200120P205,PUT,16.93,18.31,148,460,0.6703631727332742,116,191,01/20/2020,QQQ,2019-10-21,09:37:00
200,.QQQ200120C200,CALL,15.93,17.16,42,1738,0.38270404193556984,102,145,01/20/2020,QQQ,2019-10-21,09:37:00
205,.QQQ200120C205,CALL,19.93,21.16,485,3157,0.07298869219003257,17,111,01/20/2020,QQQ,2019-10-21,09:37:00
200,.QQQ200120P200,PUT,12.93,14.309999999999999,691,369,0.7830604824423968,22,177,01/20/2020,QQQ,2019-10-21,09:38:00
205,.QQQ200120P205,PUT,20.93,22.31,872,3689,0.456357078762182,17,10,01/20/2020,QQQ,2019-10-21,09:38:00
200,.QQQ200120C200,CALL,14.93,16.16,38,1965,0.5587735391197618,16,155,01/20/2020,QQQ,2019-10-21,09:38:00
205,.QQQ200120C205,CALL,18.93,20.16,322,2225,0.2599043888765368,83,149,01/20/2020,QQQ,2019-10-21,09:38:00
200,.QQQ200120P200,PUT,15.92,17.3,545,1554,0.533513530789029,196,169,01/20/2020,QQQ,2019-10-21,09:39:00
