o_strike,o_symbol,o_position,o_ask_price,o_bid_price,o_volume,o_open_interest,o_implied_volatility,o_ask_size,o_bid_size,o_expiry,ticker,curr_date,curr_time
45,.T200120P45,PUT,7.37,8.75,298,2864,0.5137028594130508,164,186,01/20/2020,T,2019-10-11,13:58:00
50,.T200120P50,PUT,15.37,16.75,798,205,0.6109210974934521,91,68,01/20/2020,T,2019-10-11,13:58:00
45,.T200120C45,CALL,14.37,15.6,279,4509,0.10910688076169417,187,73,01/20/2020,T,2019-10-11,13:58:00
50,.T200120C50,CALL,13.37,14.6,375,4106,0.9794871933012252,139,23,01/20/2020,T,2019-10-11,13:58:00
45,.T200120P45,PUT,8.37,9.75,860,1321,0.7441761089447086,119,87,01/20/2020,T,2019-10-11,13:56:00
50,.T200120P50,PUT,15.37,16.75,397,3368,0.3442954804451227,41,37,01/20/2020,T,2019-10-11,13:56:00
45,.T200120C45,CALL,13.37,14.6,646,4464,0.6299234846717319,97,32,01/20/2020,T,2019-10-11,13:56:00
50,.T200120C50,CALL,15.37,16.599999999999998,68,4542,0.5295530303833806,189,98,01/20/2020,T,2019-10-11,13:56:00
45,.T200120P45,PUT,9.37,10.75,8028,3370,0.706440841354915,197,106,01/20/2020,T,2019-10-11,13:57:00
50,.T200120P50,PUT,17.37,18.75,298,4804,0.9935805029604439,80,119,01/20/2020,T,2019-10-11,13:57:00
45,.T200120C45,CALL,12.37,13.6,939,4389,0.6298494020285844,116,185,01/20/2020,T,2019-10-11,13:57:00
50,.T200120C50,CALL,12.37,13.6,300,4755,0.9874781565311611,51,69,01/20/2020,T,2019-10-11,13:57:00
45,.T200120P45,PUT,12.37,13.75,723,2479,0.8264618150377852,119,70,01/20/2020,T,2019-10-11,13:59:00
50,.T200120P50,PUT,16.37,17.75,250,1306,0.09619010946587958,147,65,01/20/2020,T,2019-10-11,13:59:00
45,.T200120C45,CALL,8.37,9.6,902,3857,0.29066781873266023,3,35,01/20/2020,T,2019-10-11,13:59:00
50,.T200120C50,CALL,16.37,17.6,300,1308,0.9588587608458352,174,24,01/20/2020,T,2019-10-11,13:59:00
45,.T200120P45,PUT,12.37,13.75,278,2197,0.2199352809190419,0,116,01/20/2020,T,2019-10-11,14:00:00
50,.T200120P50,PUT,16.37,17.75,712,3199,0.482183417941485,97,23,01/20/2020,T,2019-10-11,14:00:00
45,.T200120C45,CALL,11.37,12.6,357,4062,0.6977016222322634,48,169,01/20/2020,T,2019-10-11,14:00:00
50,.T200120C50,CALL,17.37,18.6,719,904,0.23140486048159248,12,50,01/20/2020,T,2019-10-11,14:00:00
45,.T200120P45,PUT,9.37,10.75,119,2856,0.029330720185103742,133,32,01/20/2020,T,2019-10-11,14:02:00
50,.T200120P50,PUT,14.37,15.75,841,3780,0.9131621976069738,24,174,01/20/2020,T,2019-10-11,14:02:00
45,.T200120C45,CALL,14.37,15.6,573,3430,0.919216698685779,116,47,01/20/2020,T,2019-10-11,14:02:00
50,.T200120C50,CALL,14.37,15.6,681,4084,0.9835273642614254,1,108,01/20/2020,T,2019-10-11,14:02:00
45,.T200120P45,PUT,11.37,12.75,499,3670,0.331186445431648,74,43,01/20/2020,T,2019-10-11,14:01:00
50,.T200120P50,PUT,19.37,20.75,344,155,0.6358855329774977,108,168,01/20/2020,T,2019-10-11,14:01:00
45,.T200120C45,CALL,7.37,8.6,42,972,0.4505455203123313,142,80,01/20/2020,T,2019-10-11,14:01:00
50,.T200120C50,CALL,19.37,20.6,916,1340,0.5712444015525804,121,63,01/20/2020,T,2019-10-11,14:01:00
45,.T200120P45,PUT,8.37,9.75,384,1326,0.48621153696225683,5,176,01/20/2020,T,2019-10-11,13:09:00
50,.T200120P50,PUT,15.37,16.75,792,2676,0.7806214165789874,85,106,01/20/2020,T,2019-10-11,13:09:00
45,.T200120C45,CALL,8.37,9.6,964,4688,0.8912950343859559,105,168,01/20/2020,T,2019-10-11,13:09:00
