o_strike,o_symbol,o_position,o_ask_price,o_bid_price,o_volume,o_open_interest,o_implied_volatility,o_ask_size,o_bid_size,o_expiry,ticker,curr_date,curr_time
225,.UNH200120P225,PUT,14.18,15.559999999999999,374,1117,0.4015843377417492,188,164,01/20/2020,UNH,2019-10-08,14:06:00
230,.UNH200120P230,PUT,15.18,16.56,96,1044,0.5423005635602041,199,11,01/20/2020,UNH,2019-10-08,14:06:00
225,.UNH200120C225,CALL,15.18,16.41,429,4863,0.0391396143058903,68,109,01/20/2020,UNH,2019-10-08,14:06:00
230,.UNH200120C230,CALL,18.18,19.41,551,1144,0.7884086642527502,20,109,01/20/2020,UNH,2019-10-08,14:06:00
225,.UNH200120P225,PUT,11.19,12.57,963,2290,0.9314752641861658,135,156,01/20/2020,UNH,2019-10-08,13:21:00
230,.UNH200120P230,PUT,18.19,19.57,3,743,0.12147692089230933,107,18,01/20/2020,UNH,2019-10-08,13:21:00
225,.UNH200120C225,CALL,15.19,16.419999999999998,248,3878,0.4401360586404788,150,0,01/20/2020,UNH,2019-10-08,13:21:00
230,.UNH200120C230,CALL,15.19,16.419999999999998,682,2543,0.9285100995226169,45,188,01/20/2020,UNH,2019-10-08,13:21:00
225,.UNH200120P225,PUT,11.19,12.57,167,3911,0.24651078171495866,187,138,01/20/2020,UNH,2019-10-08,13:22:00
230,.UNH200120P230,PUT,19.19,20.57,672,339,0.9158994636481413,149,63,01/20/2020,UNH,2019-10-08,13:22:00
225,.UNH200120C225,CALL,16.19,17.42,765,3571,0.09869401037162695,57,23,01/20/2020,UNH,2019-10-08,13:22:00
230,.UNH200120C230,CALL,19.19,20.42,788,1227,0.0020069375132110157,162,146,01/20/2020,UNH,2019-10-08,13:22:00
225,.UNH200120P225,PUT,10.19,11.57,395,812,0.5546921206735163,145,129,01/20/2020,UNH,2019-10-08,13:23:00
230,.UNH200120P230,PUT,16.19,17.57,5,3536,0.5472923260051201,17,163,01/20/2020,UNH,2019-10-08,13:23:00
225,.UNH200120C225,CALL,16.19,17.42,39,4213,0.6772677240627513,99,36,01/20/2020,UNH,2019-10-08,13:23:00
230,.UNH200120C230,CALL,18.19,19.42,95,1780,0.07873658313840293,145,30,01/20/2020,UNH,2019-10-08,13:23:00
225,.UNH200120P225,PUT,16.19,17.57,188,3028,0.5052295933744506,3,38,01/20/2020,UNH,2019-10-08,13:24:00
230,.UNH200120P230,PUT,15.19,16.57,668,238,0.39295027449567355,154,149,01/20/2020,UNH,2019-10-08,13:24:00
225,.UNH200120C225,CALL,14.19,15.42,972,4835,0.01628827504700614,100,189,01/20/2020,UNH,2019-10-08,13:24:00
230,.UNH200120C230,CALL,15.19,16.419999999999998,564,3293,0.5183481498301986,16,101,01/20/2020,UNH,2019-10-08,13:24:00
225,.UNH200120P225,PUT,11.19,12.57,992,1289,0.23147815274465944,65,136,01/20/2020,UNH,2019-10-08,13:25:00
230,.UNH200120P230,PUT,14.19,15.57,725,2837,0.3993861707934252,66,186,01/20/2020,UNH,2019-10-08,13:25:00
225,.UNH200120C225,CALL,11.19,12.42,355,2322,0.9299359473365723,114,174,01/20/2020,UNH,2019-10-08,13:25:00
230,.UNH200120C230,CALL,18.19,19.42,601,1312,0.3204583901379717,138,139,01/20/2020,UNH,2019-10-08,13:25:00
225,.UNH200120P225,PUT,14.19,15.57,616,2359,0.006463943901327318,170,47,01/20/2020,UNH,2019-10-08,13:26:00
230,.UNH200120P230,PUT,14.19,15.57,241,2175,0.05565313265160621,121,23,01/20/2020,UNH,2019-10-08,13:26:00
