o_strike,o_symbol,o_position,o_ask_price,o_bid_price,o_volume,o_open_interest,o_implied_volatility,o_ask_size,o_bid_size,o_expiry,ticker,curr_date,curr_time
125,.WMT200120P125,PUT,8.2,9.579999999999998,291,2326,0.1120869994909457,60,141,01/20/2020,WMT,2019-10-11,12:54:00
130,.WMT200120P130,PUT,20.2,21.58,42,1164,0.8959512299984315,32,152,01/20/2020,WMT,2019-10-11,12:54:00
125,.WMT200120C125,CALL,15.2,16.43,441,4145,0.8912322996759487,33,4,01/20/2020,WMT,2019-10-11,12:54:00
130,.WMT200120C130,CALL,17.2,18.43,965,800,0.8855393256827594,46,189,01/20/2020,WMT,2019-10-11,12:54:00
125,.WMT200120P125,PUT,9.18,10.559999999999999,234,1891,0.7582882622243624,172,149,01/20/2020,WMT,2019-10-08,13:48:00
130,.WMT200120P130,PUT,13.18,14.559999999999999,463,3701,0.23964437680607864,104,172,01/20/2020,WMT,2019-10-08,13:48:00
125,.WMT200120C125,CALL,8.18,9.41,130,1222,0.21495665469332992,182,45,01/20/2020,WMT,2019-10-08,13:48:00
130,.WMT200120C130,CALL,20.18,21.41,401,4474,0.27804002907352077,120,160,01/20/2020,WMT,2019-10-08,13:48:00
125,.WMT200120P125,PUT,14.18,15.559999999999999,5692,3730,0.052979063106502355,114,22,01/20/2020,WMT,2019-10-08,13:49:00
130,.WMT200120P130,PUT,16.18,17.56,354,2813,0.24525585083777746,40,27,01/20/2020,WMT,2019-10-08,13:49:00
125,.WMT200120C125,CALL,15.18,16.41,599,1356,0.07932871399130281,17,130,01/20/2020,WMT,2019-10-08,13:49:00
130,.WMT200120C130,CALL,18.18,19.41,646,2979,0.5141580086749163,70,190,01/20/2020,WMT,2019-10-08,13:49:00
125,.WMT200120P125,PUT,10.18,11.559999999999999,306,1349,0.5305661767806427,105,37,01/20/2020,WMT,2019-10-08,13:50:00
130,.WMT200120P130,PUT,19.18,20.56,565,2381,0.03299960636114596,13,164,01/20/2020,WMT,2019-10-08,13:50:00
125,.WMT200120C125,CALL,9.18,10.41,93,99,0.17835596198700332,126,113,01/20/2020,WMT,2019-10-08,13:50:00
130,.WMT200120C130,CALL,16.18,17.41,467,2808,0.8377854162393568,137,149,01/20/2020,WMT,2019-10-08,13:50:00
125,.WMT200120P125,PUT,12.18,13.559999999999999,112,1811,0.0038231897449825247,29,62,01/20/2020,WMT,2019-10-08,13:51:00
130,.WMT200120P130,PUT,14.18,15.559999999999999,20,3092,0.2524835667517764,199,39,01/20/2020,WMT,2019-10-08,13:51:00
125,.WMT200120C125,CALL,8.18,9.41,459,1165,0.943961125366889,56,114,01/20/2020,WMT,2019-10-08,13:51:00
130,.WMT200120C130,CALL,14.18,15.41,173,3295,0.2544748453037936,47,138,01/20/2020,WMT,2019-10-08,13:51:00
125,.WMT200120P125,PUT,13.18,14.559999999999999,761,3926,0.4515705161784972,30,101,01/20/2020,WMT,2019-10-08,13:52:00
130,.WMT200120P130,PUT,17.18,18.56,652,4523,0.015913955794220835,58,10,01/20/2020,WMT,2019-10-08,13:52:00
125,.WMT200120C125,CALL,15.18,16.41,670,1133,0.16031730463674976,113,93,01/20/2020,WMT,2019-10-08,13:52:00
130,.WMT200120C130,CALL,16.18,17.41,785,846,0.43397309243286486,55,35,01/20/2020,WMT,2019-10-08,13:52:00
125,.WMT200120P125,PUT,13.18,14.559999999999999,517,4099,0.878248052781081,26,34,01/20/2020,WMT,2019-10-08,13:53:00
130,.WMT200120P130,PUT,18.18,19.56,931,1078,0.36844998657233574,120,26,01/20/2020,WMT,2019-10-08,13:53:00
125,.WMT200120C125,CALL,11.18,12.41,337,653,0.023309094156075738,115,14,01/20/2020,WMT,2019-10-08,13:53:00
130,.WMT200120C130,CALL,17.18,18.41,371,2808,0.3333452769214773,55,73,01/20/2020,WMT,2019-10-08,13:53:00
125,.WMT200120P125,PUT,13.18,14.559999999999999,841,172,0.10842263035687227,85,120,01/20/2020,WMT,2019-10-08,13:54:00
130,.WMT200120P130,PUT,19.18,20.56,428,2136,0.32796326971655176,119,14,01/20/2020,WMT,2019-10-08,13:54:00
125,.WMT200120C125,CALL,10.18,11.41,281,4893,0.9910678015399476,128,9,01/20/2020,WMT,2019-10-08,13:54:00
