o_strike,o_symbol,o_position,o_ask_price,o_bid_price,o_volume,o_open_interest,o_implied_volatility,o_ask_size,o_bid_size,o_expiry,ticker,curr_date,curr_time
70,.XOM200120P70,PUT,12.67,14.05,451,2938,0.48070590266488067,187,77,01/20/2020,XOM,2019-10-09,12:57:00
75,.XOM200120P75,PUT,16.67,18.05,531,3506,0.29718989418140596,9,96,01/20/2020,XOM,2019-10-09,12:57:00
70,.XOM200120C70,CALL,12.67,13.9,820,2012,0.20078673399011993,16,194,01/20/2020,XOM,2019-10-09,12:57:00
75,.XOM200120C75,CALL,19.67,20.900000000000002,65,4907,0.1725915895230159,71,74,01/20/2020,XOM,2019-10-09,12:57:00
70,.XOM200120P70,PUT,10.67,12.05,993,1424,0.40004724275330705,183,149,01/20/2020,XOM,2019-10-09,12:59:00
75,.XOM200120P75,PUT,17.67,19.05,438,3325,0.34264563211640875,193,63,01/20/2020,XOM,2019-10-09,12:59:00
70,.XOM200120C70,CALL,13.67,14.9,2857,131,0.19266553918975649,152,81,01/20/2020,XOM,2019-10-09,12:59:00
75,.XOM200120C75,CALL,15.67,16.9,549,1650,0.25375406477425044,130,79,01/20/2020,XOM,2019-10-09,12:59:00
70,.XOM200120P70,PUT,13.67,15.05,294,1530,0.32717356042802026,179,39,01/20/2020,XOM,2019-10-09,13:00:00
75,.XOM200120P75,PUT,19.67,21.05,864,256,0.20123461063738712,88,66,01/20/2020,XOM,2019-10-09,13:00:00
70,.XOM200120C70,CALL,9.67,10.9,789,2063,0.7623413192099145,81,166,01/20/2020,XOM,2019-10-09,13:00:00
75,.XOM200120C75,CALL,16.67,17.900000000000002,678,3886,0.9620971178982741,2,195,01/20/2020,XOM,2019-10-09,13:00:00
70,.XOM200120P70,PUT,7.67,9.05,761,3475,0.4918605213564796,156,130,01/20/2020,XOM,2019-10-09,13:01:00
75,.XOM200120P75,PUT,17.67,19.05,232,4683,0.02738931963242719,16,13,01/20/2020,XOM,2019-10-09,13:01:00
70,.XOM200120C70,CALL,8.67,9.9,610,4977,0.8892775709196793,55,197,01/20/2020,XOM,2019-10-09,13:01:00
75,.XOM200120C75,CALL,16.67,17.900000000000002,320,1273,0.45597563844537115,115,146,01/20/2020,XOM,2019-10-09,13:01:00
70,.XOM200120P70,PUT,12.67,14.05,53,4803,0.24750924906317717,73,47,01/20/2020,XOM,2019-10-09,13:02:00
75,.XOM200120P75,PUT,16.67,18.05,643,3023,0.9581650076016833,0,46,01/20/2020,XOM,2019-10-09,13:02:00
70,.XOM200120C70,CALL,9.67,10.9,101,3281,0.5640738729190768,19,85,01/20/2020,XOM,2019-10-09,13:02:00
75,.XOM200120C75,CALL,18.67,19.900000000000002,868,2313,0.8532271359039704,33,131,01/20/2020,XOM,2019-10-09,13:02:00
70,.XOM200120P70,PUT,11.67,13.05,802,2698,0.9240241195731286,174,186,01/20/2020,XOM,2019-10-09,13:03:00
75,.XOM200120P75,PUT,14.67,16.05,228,289,0.6156353899840386,140,98,01/20/2020,XOM,2019-10-09,13:03:00
70,.XOM200120C70,CALL,13.67,14.9,127,829,0.20411869200013621,49,122,01/20/2020,XOM,2019-10-09,13:03:00
75,.XOM200120C75,CALL,19.67,20.900000000000002,168,3457,0.5370407261743313,147,61,01/20/2020,XOM,2019-10-09,13:03:00
70,.XOM200120P70,PUT,13.67,15.05,306,3496,0.6442870798584449,167,109,01/20/2020,XOM,2019-10-09,13:04:00
75,.XOM200120P75,PUT,15.67,17.05,284,4810,0.4031449712634213,35,11,01/20/2020,XOM,2019-10-09,13:04:00
70,.XOM200120C70,CALL,9.67,10.9,491,752,0.3359039485724775,55,10,01/20/2020,XOM,2019-10-09,13:04:00
75,.XOM200120C75,CALL,13.67,14.9,948,2110,0.26578313872045534,190,139,01/20/2020,XOM,2019-10-09,13:04:00
70,.XOM200120P70,PUT,11.67,13.05,175,2737,0.262264590448281,112,186,01/20/2020,XOM,2019-10-09,13:05:00
75,.XOM200120P75,PUT,17.67,19.05,234,643,0.35897634372029086,102,58,01/20/2020,XOM,2019-10-09,13:05:00
70,.XOM200120C70,CALL,12.67,13.9,997,2774,0.8504183399033232,85,28,01/20/2020,XOM,2019-10-09,13:05:00
